,Predicted Beta,Calculated Beta,Norms,Times,,,Average Time,Average Predicted Beta,Average Calculated Beta,Average Norm
167,34.32580084,39,0.975436529,56.4537394,,,,,,
168,34.66453365,45,0.936591946,66.89567876,,,,,,
169,34.45343495,52,1.124954806,138.8260481,,,,,,
170,34.25385115,54,1.38618655,182.5293317,,,,,,
171,34.46571606,48,0.871583266,91.55002999,,,,,,
172,34.2982537,41,0.808902526,58.92481327,,,,,,
173,34.45801526,45,1.118783816,72.4140892,,,,,,
174,34.239787,57,1.301266711,261.4450364,,,,,,
175,34.26024786,48,1.155346923,90.78511143,,,,,,
176,34.31550412,51,1.06755207,134.5035479,,,,,,
177,34.45671124,41,0.87611482,60.30269742,,,,,,
178,34.29205865,42,0.843252317,61.52096987,,,,,,
179,34.30055013,46,1.178475176,70.91677427,,,,,,
180,34.3492507,43,0.969193804,59.86196971,,,,,,
181,34.33806088,41,1.031711928,58.44640899,,,,,,
182,34.44939083,50,1.468065952,115.0606248,,,,,,
183,34.52801349,44,0.868149692,63.26224589,,,,,,
184,34.39625937,49,1.317239598,102.7048252,,,,,,
185,34.31731801,51,1.114802401,117.6249499,,,,,,
186,34.2582234,43,1.092986308,61.99197817,,,,,,
187,34.29621743,33,0.58942535,50.91082764,,,,,,
188,34.18582579,45,0.781797197,68.87835336,,,,,,
189,34.38153079,34,0.886298625,48.92405844,,,,,,
190,34.29127497,58,1.09154242,299.6668856,,,,,,
191,34.3254141,35,1.174233883,52.78144598,,,,,,
192,34.46189088,41,0.769588988,59.71643639,,,,,,
193,34.31556045,42,1.068709274,60.4521699,,,,,,
194,34.36766412,42,0.970374751,57.50012946,,,,,,
195,34.22361152,50,1.15398498,115.6360931,,,,,,
196,34.31666605,41,0.944813124,58.39104748,,,,,,
197,34.32228843,50,1.233243633,102.7972527,,,,,,
198,34.35866746,41,0.84373174,56.04714203,,,,,,
199,34.21118128,51,1.25298605,129.6128881,,,,,,
