,Predicted Beta,Calculated Beta,Norms,Times,,,Average Time,Average Predicted Beta,Average Calculated Beta,Average Norm
0,34.40588864,42,1.107998561,58.9174149,,,96.77875182,34.35255557,45.215,1.014291875
1,34.38567971,47,0.99357908,80.50241137,,,,,,
2,34.23610984,42,0.680610635,58.9731214,,,Time Variance,Predicted Beta Variance,Calculated Beta Variance,Norm Variance
3,34.3207602,53,1.358977319,153.1991358,,,2470.633742,0.008377425,37.84801508,2470.633742
4,34.33045874,52,1.003410336,137.9452877,,,,,,
5,34.47191569,49,1.005324202,97.07571316,,,,,,
6,34.3442097,50,0.794271157,111.1399477,,,,,,
7,34.38328967,51,0.866564631,124.0971093,,6.30163E-91,,,,
8,34.39141375,45,1.000516433,72.66596818,,,,,,
9,34.27204807,46,1.313709016,78.00832915,,,,,,
10,34.41269685,33,0.825645352,43.1596849,,,,,,
11,34.5212146,48,1.142515564,94.8471086,,,,,,
12,34.3536669,43,0.832042014,70.28795338,,,,,,
13,34.40494771,52,1.278966854,160.3698266,,,,,,
14,34.33177683,33,0.747807356,54.96395063,,,,,,
15,34.19296446,51,1.357517348,133.7901142,,,,,,
16,34.48607132,51,1.106342531,135.052753,,,,,,
17,34.35121822,48,1.022397879,98.5563457,,,,,,
18,34.46452787,49,0.997482122,111.0733597,,,,,,
19,34.3859492,53,1.214351057,166.4338548,,,,,,
20,34.25504585,50,1.180736996,126.2604022,,,,,,
21,34.53284849,50,1.149799082,114.3489206,,,,,,
22,34.45912432,39,0.906900841,63.68019414,,,,,,
23,34.2621164,54,1.350315009,181.6469574,,,,,,
24,34.23034808,57,1.256038231,253.2722082,,,,,,
25,34.17397011,52,1.3198315,162.0600746,,,,,,
26,34.42802939,48,0.817362907,91.90421867,,,,,,
27,34.47888412,46,0.967369031,76.91117692,,,,,,
28,34.40398231,41,0.950609612,60.70459485,,,,,,
29,34.31207963,43,0.936373168,63.34241223,,,,,,
30,34.37178166,54,1.094680121,190.8115952,,,,,,
31,34.34896284,38,1.007750681,52.97972488,,,,,,
32,34.42056026,51,1.128442502,146.6738596,,,,,,
33,34.43681462,35,0.949186145,54.43111348,,,,,,
34,34.39768274,31,0.87942203,55.20963001,,,,,,
35,34.42035667,41,0.851273863,70.91473365,,,,,,
36,34.46585743,48,1.050655308,99.16811085,,,,,,
37,34.33225411,46,0.828234447,75.07109785,,,,,,
38,34.37201022,49,0.993890782,111.0088561,,,,,,
39,34.33981784,40,0.743372557,61.00030875,,,,,,
40,34.40458437,26,0.841195745,46.16344833,,,,,,
41,34.13966082,45,0.880797501,74.69437981,,,,,,
42,34.31985607,41,0.880021947,64.55067754,,,,,,
43,34.34472501,35,0.839506784,53.33404851,,,,,,
44,34.32901847,48,0.974678844,102.838737,,,,,,
45,34.39721875,44,0.950550386,77.62607598,,,,,,
46,34.22316661,47,0.939230822,99.40463805,,,,,,
47,34.34377667,46,1.35354206,84.19486165,,,,,,
48,34.24861828,42,0.825205496,71.18751359,,,,,,
49,34.32431234,53,0.938408294,172.7718682,,,,,,
50,34.38831188,38,0.984851672,58.5219667,,,,,,
51,34.3058514,41,0.655007909,61.78352332,,,,,,
52,34.38134398,45,0.860934335,72.06523013,,,,,,
53,34.19861643,43,0.814846058,68.31046081,,,,,,
54,34.32954319,46,1.070746698,76.40482736,,,,,,
55,34.26085416,53,1.386915387,172.2870743,,,,,,
56,34.36445396,42,1.126984061,62.89159656,,,,,,
57,34.34322413,38,0.868765693,52.93117833,,,,,,
58,34.34634449,36,0.899681399,46.31253576,,,,,,
59,34.45161667,49,0.896213615,113.6577201,,,,,,
60,34.51663287,53,1.264976759,172.4487829,,,,,,
61,34.33317328,43,1.22425839,66.8120904,,,,,,
62,34.40080298,30,0.770739042,41.0038569,,,,,,
63,34.59100648,50,0.800637184,127.7988336,,,,,,
64,34.33180274,47,0.795865919,108.5955889,,,,,,
65,34.46338026,53,1.273194618,166.2015162,,,,,,
66,34.31381114,39,1.166405075,64.42728949,,,,,,
67,34.33963225,43,0.792158679,62.89881849,,,,,,
68,34.49016472,39,1.050095723,60.71282148,,,,,,
69,34.42485604,51,0.970357901,160.9620502,,,,,,
70,34.36170146,55,1.224138405,225.7326202,,,,,,
71,34.37764191,47,1.11551924,92.86797047,,,,,,
72,34.43062391,55,1.057621508,211.0775466,,,,,,
73,34.32653663,42,0.864035018,71.38514376,,,,,,
74,34.41147077,48,1.367618442,103.3267465,,,,,,
75,34.29820041,46,1.024364588,80.03208089,,,,,,
76,34.29608736,41,0.617780809,67.21869636,,,,,,
77,34.33561612,49,1.072255174,111.6117735,,,,,,
78,34.34710499,33,1.142244962,53.31783462,,,,,,
79,34.32020095,45,1.080145503,71.30263567,,,,,,
80,34.23540673,33,0.746286373,56.15359497,,,,,,
81,34.45015945,43,0.87633411,67.65936923,,,,,,
82,34.3656347,49,1.189426366,113.8524079,,,,,,
83,34.37616612,54,0.951318537,197.0024245,,,,,,
84,34.25230492,53,1.038780243,154.5032949,,,,,,
85,34.32173856,45,0.75451138,66.8002336,,,,,,
86,34.31580932,47,1.09994536,94.45245099,,,,,,
87,34.34280861,41,0.813916055,55.11610651,,,,,,
88,34.39586461,40,0.880372198,64.3832171,,,,,,
89,34.19644398,50,1.152386134,121.8076472,,,,,,
90,34.40568099,42,0.954492997,69.7901125,,,,,,
91,34.24353528,48,0.867973801,99.53283763,,,,,,
92,34.20709815,46,1.135691558,86.33556032,,,,,,
93,34.35458667,41,0.688034049,71.98409009,,,,,,
94,34.23282226,42,0.743838961,65.69116163,,,,,,
95,34.27545199,44,0.94025732,73.09099627,,,,,,
96,34.30732038,46,0.811871484,83.04035592,,,,,,
97,34.41753045,35,0.665826605,53.76586509,,,,,,
98,34.30241802,42,0.991726736,66.49553752,,,,,,
99,34.37473822,44,0.936436733,89.54132605,,,,,,
100,34.44840228,31,0.602827781,52.73647332,,,,,,
101,34.3176411,46,0.98768533,81.55723763,,,,,,
102,34.24003366,39,0.80378382,69.75786805,,,,,,
103,34.35614367,41,1.052114257,59.96510291,,,,,,
104,34.18000015,55,1.002088219,210.0538237,,,,,,
105,34.48664226,50,1.000252213,118.2930121,,,,,,
106,34.35053097,37,1.194718157,55.82292485,,,,,,
107,34.33513155,50,1.021616708,123.1718004,,,,,,
108,34.2170598,54,1.214113643,218.5660746,,,,,,
109,34.41477502,49,0.885553961,113.5867767,,,,,,
110,34.35382173,52,1.292744041,148.0406845,,,,,,
111,34.43596155,50,1.153400634,124.8853323,,,,,,
112,34.50514836,38,0.829858312,59.53128719,,,,,,
113,34.34138766,39,0.681052277,58.37506723,,,,,,
114,34.34086092,54,1.396167404,204.9741371,,,,,,
115,34.32328978,36,0.935808734,46.04594183,,,,,,
116,34.24671906,48,0.855426829,96.33953094,,,,,,
117,34.39758318,43,0.792246752,67.67840624,,,,,,
118,34.43577053,41,0.887400177,67.62236667,,,,,,
119,34.27705232,48,1.218554824,94.7630682,,,,,,
120,34.28395855,42,1.013379191,64.92968488,,,,,,
121,34.30346439,55,1.637000394,219.2588518,,,,,,
122,34.40155685,41,0.863654135,63.2502768,,,,,,
123,34.29854314,44,1.047447914,75.4004848,,,,,,
124,34.31486104,46,0.952496674,79.99577332,,,,,,
125,34.41116189,45,0.853151479,70.21457028,,,,,,
126,34.40664707,48,0.891273608,95.29743743,,,,,,
