,Predicted Beta,Calculated Beta,Norms,Times,,Average Norm,Average Pred Beta,Average Calc,Time Sum
114,39.35971643,35,1.170950889,65.74261308,,,,,
115,46.9668051,44,1.498774033,83.16967344,,,,,
116,46.67009427,45,1.478704211,86.23110366,,,,,
117,45.00304019,37,1.400977437,70.18128371,,,,,
118,46.60936725,34,1.475812399,66.17709231,,,,,
119,52.07162119,45,1.765933895,82.38725758,,,,,
120,46.08647595,47,1.454369071,100.8891666,,,,,
121,50.74621258,51,1.691237837,153.8550153,,,,,
122,44.49941868,40,1.375504093,75.41817594,,,,,
123,49.12398337,50,1.595192485,131.128417,,,,,
124,45.43771737,35,1.424280939,65.31032228,,,,,
125,45.28817226,51,1.412298242,151.5575726,,,,,
126,47.02128206,48,1.500714585,112.4205253,,,,,
127,46.22164227,42,1.45436662,67.117975,,,,,
128,48.0839324,45,1.5465197,82.35747457,,,,,
129,41.39380802,43,1.249838127,81.29963088,,,,,
130,47.69184792,51,1.527742237,153.4437592,,,,,
131,50.72651283,51,1.69399104,156.3120773,,,,,
132,49.76093342,42,1.637136258,69.8910861,,,,,
133,50.28672404,44,1.668109113,77.83400416,,,,,
134,50.15759863,45,1.667375667,84.13090467,,,,,
135,47.76675789,52,1.533348731,161.3592799,,,,,
136,49.27033148,47,1.608176324,100.1103075,,,,,
137,44.90618152,41,1.398206229,75.91471696,,,,,
138,52.32637361,49,1.784624538,118.1372123,,,,,
139,54.04592445,55,1.88101391,228.0030227,,,,,
140,44.09256363,32,1.361159265,63.14691234,,,,,
141,46.93836173,43,1.493510864,77.80729914,,,,,
142,44.84872686,48,1.396412298,105.3153679,,,,,
143,52.40558974,47,1.787424044,103.5165634,,,,,
144,52.06461792,47,1.765578367,97.80146337,,,,,
145,49.92947103,44,1.646106543,78.28506827,,,,,
146,50.9112913,54,1.708855434,205.2698126,,,,,
147,45.7934236,37,1.442900518,70.46011496,,,,,
148,52.19777443,52,1.774048802,170.3912656,,,,,
149,45.62428757,39,1.4283789,74.12099648,,,,,
150,45.6736735,43,1.44267774,82.42994475,,,,,
151,43.74067441,42,1.343928659,80.13719797,,,,,
152,39.96662645,32,1.193725969,63.03715372,,,,,
153,43.15834026,41,1.324190541,76.6247251,,,,,
154,44.93368649,44,1.403427859,82.83374524,,,,,
155,41.43485688,47,1.245705366,104.2726793,,,,,
156,46.69404899,49,1.477840844,122.7822812,,,,,
157,50.7016955,53,1.686920463,184.4861069,,,,,
158,43.91346991,45,1.351588047,87.91894007,,,,,
159,43.72866643,47,1.337268238,106.380584,,,,,
160,43.77478732,35,1.339694704,64.22982121,,,,,
161,49.73472332,48,1.637571827,114.2325547,,,,,
162,42.21023722,40,1.28019747,71.4292047,,,,,
163,51.63597665,42,1.736367441,77.27902889,,,,,
164,51.53604514,45,1.737767326,88.2352159,,,,,
165,45.31630243,38,1.419435757,68.50598311,,,,,
166,52.58157575,57,1.804971401,281.0658205,,,,,
167,42.20581962,45,1.279233626,90.07334518,,,,,
168,37.41890932,39,1.100812229,74.56968045,,,,,
169,56.36686707,48,2.025680163,110.6766365,,,,,
170,41.8817202,47,1.266775571,100.4827089,,,,,
171,48.37965866,43,1.57259381,76.53526115,,,,,
172,43.18108609,43,1.322065457,82.66744494,,,,,
173,47.32970771,46,1.512886307,94.68401217,,,,,
174,38.3395552,37,1.133469224,72.99726987,,,,,
175,46.04613151,47,1.443467988,106.7183657,,,,,
176,45.45941533,42,1.424824733,76.0272007,,,,,
177,52.52736674,56,1.791266689,252.6706882,,,,,
178,41.20835548,41,1.235912325,78.69638085,,,,,
179,49.02335166,44,1.600730938,83.26912618,,,,,
180,43.82790965,36,1.353226314,68.34802055,,,,,
181,52.51849805,54,1.793677875,193.5838394,,,,,
182,47.31874121,48,1.514326242,112.1057765,,,,,
183,45.99280639,52,1.456005978,166.1016188,,,,,
184,49.40351364,46,1.620159847,87.08982778,,,,,
185,52.08615548,45,1.761891209,93.48455286,,,,,
186,48.48694682,50,1.568391454,136.8140528,,,,,
187,43.10324224,38,1.318909052,72.33313704,,,,,
188,54.29033316,48,1.907011463,112.17768,,,,,
189,49.35961072,43,1.609310357,83.2108798,,,,,
190,51.12600379,48,1.716048788,115.3219442,,,,,
191,53.27081718,54,1.834063973,222.1104507,,,,,
192,41.46350596,44,1.249672544,85.58094358,,,,,
193,43.47128946,39,1.331104776,72.92137098,,,,,
194,44.8768508,40,1.395397026,76.89885354,,,,,
195,50.92566322,43,1.708264557,80.21499133,,,,,
196,45.22029749,41,1.408736641,80.68529105,,,,,
197,46.86917902,41,1.494097091,80.94002438,,,,,
198,49.48640477,50,1.625399482,138.8365519,,,,,
199,43.46768256,47,1.327530798,104.143908,,,,,
200,48.53480596,47,1.57112272,106.881448,,,,,
201,43.79688406,41,1.348546575,78.68808222,,,,,
202,50.12401592,45,1.656392339,88.26035881,,,,,
203,37.54768984,41,1.09679133,80.04800296,,,,,
204,45.78786569,42,1.433801408,75.95975304,,,,,
205,43.66217839,42,1.343690369,79.41315031,,,,,
206,46.65463059,35,1.48750576,69.44789433,,,,,
207,48.19985968,52,1.556165497,165.7321277,,,,,
208,46.18689007,47,1.451598393,102.1480277,,,,,
