,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times
0,23.438105115184456,27.7810470506674,41,1.20442333050494,28.52456530809409,30.0647625631424,28,0.8742187499999998,75.51964664459229
1,22.032869897785567,26.9702638896460,35,1.35043698476460,28.54189031489699,30.0727849741773,26,0.8746093749999998,86.26662993431091
2,22.282548453545903,27.1110972169834,30,1.67172197509169,38.93626915559636,36.1287802930970,43,1.1773437499999997,98.50594019889832
3,21.978040233675557,26.9397378742894,35,1.48160322724851,28.714713956356828,30.1529709669652,37,0.8785156249999998,90.32938051223755
4,22.228885253465364,27.0807554493874,43,1.58950048428639,31.41648840928122,31.5002240896272,35,0.9445312499999998,96.17181539535522
5,22.034249365492457,26.9710396302811,28,1.43860293365287,29.140151853583564,30.3531373325709,36,0.8882812499999998,85.61646604537964
6,21.665095717823018,26.7687075911282,48,2.03276431329510,40.015971719089436,36.8907643723216,39,1.2167968749999998,131.1829650402069
7,22.5775843562249,27.2786254581330,47,1.89672102993129,43.94389245099556,39.8665762264026,41,1.3742187499999998,123.97934627532959
8,22.319972755888987,27.1322808943899,36,1.44717992644814,31.729178632559595,31.6674871963369,25,0.9527343749999998,81.374267578125
9,22.52524194288724,27.2488162936117,30,1.54980663753224,36.496651854412086,34.4910715546536,33,1.0937499999999998,91.2183096408844
10,21.237772974784143,26.5372088185394,37,1.20738995965462,24.424833048451443,28.3807496550084,25,0.7929687499999999,83.46027040481567
11,23.749528679913897,27.9670369988690,45,1.80876197325992,44.66566018912106,40.4419254722591,46,1.4054687499999998,119.0224015712738
12,22.342245622013774,27.1448974376715,33,1.56298589534117,33.05619639036504,32.4008937607582,39,0.9890624999999998,84.05438685417175
13,20.646953364059726,26.2259066983137,24,1.10409363307468,18.411433096475687,25.2492791805984,27,0.6472656249999998,73.76876378059387
14,22.994544722972915,27.5188592571077,41,1.66419874147766,34.227534678869795,33.0839644196481,40,1.023046875,93.56521010398865
15,22.00732413893335,26.9559030160606,37,1.10334613671512,20.020543087029928,25.9050441810860,21,0.6769531249999999,81.50487804412842
16,21.69719024734012,26.7861892812712,39,1.48299793170915,26.396645926584963,29.2183854370453,27,0.8332031249999998,81.36459350585938
17,22.289525577711224,27.1150450842895,41,1.54483868397818,33.64125859265354,32.7396126805419,43,1.0058593749999998,104.35556507110596
18,23.094895526840887,27.5778595716559,36,1.39097836478737,30.201982993833763,30.8728096106503,32,0.9136718749999998,86.44832229614258
19,23.053123146344802,27.5532565964271,37,1.30018945827308,30.04441619778645,30.7931057132449,35,0.9097656249999998,94.86883807182312
20,23.12535958191978,27.5958195506844,31,1.66425387029489,34.78749922676818,33.4204548668939,31,1.0398437499999997,80.9852089881897
21,23.15368745038932,27.6125332923740,36,1.19179809547914,27.79504504277506,29.7424676915292,26,0.8585937499999998,83.62007522583008
22,22.90164896320034,27.4653103120361,42,1.67597778140401,35.307898674582475,33.7394760578710,39,1.0558593749999998,96.12393450737
23,23.191435744439765,27.6348248901029,28,1.20292676136728,28.68021098871397,30.1369392805854,26,0.8777343749999998,75.52200889587402
24,22.891106671080955,27.4592415402940,43,1.76598182367832,38.97986831748015,36.1590984343328,40,1.1789062499999998,97.39085531234741
25,22.86136186527464,27.4421276956488,36,1.39904368053854,26.73411804072707,29.3396255864402,35,0.8390624999999998,89.93551063537598
26,23.275127810318434,27.6843281963326,33,1.49527308282684,36.67604306727285,34.6066630576772,38,1.0996093749999998,95.32804894447327
27,22.91026749391389,27.4702728984669,28,1.26703333841260,28.5765166881229,30.0888275707201,34,0.8753906249999999,84.0052444934845
28,23.626706584011018,27.8934999732964,31,1.40026319454967,31.5359275128276,31.5645348302229,26,0.9476562499999999,75.56616473197937
29,23.635597327899845,27.8988150349189,40,1.57010003699764,38.04071272053178,35.5120317009727,40,1.1457031249999998,92.58439111709595
30,23.217244172886026,27.6500785789813,42,1.51138669582537,37.29838330255793,35.0137740408677,45,1.1203124999999998,102.44162774085999
31,23.27936527176032,27.6868375783016,34,1.48106798338841,33.179469220247704,32.4726570524376,41,0.9925781249999999,90.46464610099792
32,23.60054421444892,27.8778669037820,37,1.16769186037257,24.2929217142667,28.2990343650778,22,0.7890624999999999,79.74743294715881
33,22.92979070653133,27.4815185959177,43,1.87118227988543,38.78321518826071,36.0225801746299,41,1.1718749999999998,103.55635809898376
34,22.196565325708768,27.0625006003536,46,1.80652767919335,42.39106865533306,38.6546961302331,39,1.3093749999999997,110.08511471748352
35,22.162360006161613,27.0431965566923,38,1.35117380703448,25.747656512430254,28.9915990393355,27,0.8222656249999999,82.04624629020691
36,21.365079747659397,26.6059323758794,34,1.70083186744446,36.48465815127823,34.4833597819350,37,1.093359375,87.01961350440979
37,23.606363935493633,27.8813434779113,34,1.99984572063167,41.06175289672814,37.6548214954897,45,1.2566406249999997,99.35489463806152
