,Predicted Beta,Calculated Beta,Norms,Times,Average Predicted Beta,Average Calculated Beta,Average Norms,Average Times
149,52.6849165,49,90.34285714,103.9281292,,,,
150,42.00615989,43,77.05714286,69.7643919,,,,
151,50.53393921,51,107.9428571,139.9079349,,,,
152,35.27136134,38,58.82142857,65.50124097,,,,
153,50.21035181,49,103.8214286,108.6431406,,,,
154,37.0189802,40,54.45,64.22830462,,,,
155,40.19335588,48,63.14285714,89.83815479,,,,
156,42.35140946,37,104.7857143,60.93071389,,,,
157,40.70858737,43,56.32857143,61.66127348,,,,
158,39.29591241,31,57.62142857,53.85744643,,,,
159,46.79418439,50,80.75,120.9742856,,,,
160,46.97121139,51,66.21428571,133.0776076,,,,
161,46.81390462,38,88.52142857,59.12128425,,,,
162,45.69027189,44,98.68571429,69.34238601,,,,
163,44.34207697,43,79.6,68.20739865,,,,
164,44.85186,42,65.46428571,63.78573179,,,,
165,40.27982285,44,56.17142857,72.41874719,,,,
166,40.06941368,36,65.13571429,56.82971549,,,,
167,42.13320059,49,47.86428571,112.4482775,,,,
168,38.88170849,32,56.78571429,53.71234298,,,,
169,42.88464787,37,74.32857143,52.61446738,,,,
170,43.75855114,44,55.64285714,68.38595676,,,,
171,39.39853512,31,57.80714286,53.51296687,,,,
172,32.01991145,34,50.75714286,55.4374485,,,,
173,35.16604041,42,44.62142857,68.55597591,,,,
174,46.21672278,47,91.92142857,92.50793433,,,,
175,47.37919136,49,82.50714286,104.8859141,,,,
176,43.67120805,41,79.33571429,68.49522328,,,,
177,43.56167927,37,74.59285714,54.92254329,,,,
178,39.08965451,41,61.72857143,59.52606368,,,,
179,43.36353868,37,87.52142857,55.9411099,,,,
180,39.53909585,42,52.6,67.07791328,,,,
181,47.33091678,47,83.17857143,86.80926609,,,,
182,43.48477598,42,60.20714286,68.62072635,,,,
183,42.63619417,41,64.83571429,67.50123262,,,,
184,38.98597691,38,41.70714286,61.27827764,,,,
185,47.16621106,49,55.57857143,115.6684847,,,,
186,42.37428932,43,58.87857143,68.22016573,,,,
187,46.08578835,45,72.49285714,77.90881681,,,,
188,48.58081049,43,73.33571429,60.53869843,,,,
189,39.38572563,39,78.22857143,63.43906093,,,,
190,43.5287442,39,81.95,63.94034767,,,,
191,48.77508884,49,51.58571429,112.0688329,,,,
192,47.05916326,51,77.75714286,140.0977547,,,,
193,43.57264934,40,71.92142857,67.72664642,,,,
194,33.43335281,38,50.48571429,50.91871262,,,,
195,45.17586059,45,47.52142857,76.41889763,,,,
196,41.28686606,44,49.83571429,73.37802672,,,,
197,39.91927469,35,73.62142857,58.48199439,,,,
198,42.46563927,46,50.76428571,84.13764787,,,,
199,36.33316872,30,58.22142857,52.94933438,,,,
200,43.82389627,44,70.85714286,75.60777307,,,,
201,30.62602969,31,42.67142857,51.88653898,,,,
202,42.72677289,44,52.31428571,72.44173646,,,,
203,42.14472398,44,64.61428571,67.95486403,,,,
204,47.67680742,51,88.29285714,137.306751,,,,
205,41.92449873,37,65.36428571,53.91919112,,,,
206,42.57944755,42,90.98571429,69.41075158,,,,
207,47.19534159,42,75.87857143,70.26055861,,,,
208,45.23804795,42,58.81428571,69.66877389,,,,
209,47.98101941,42,86.50714286,70.75721169,,,,
210,38.3816616,44,51.99285714,72.24212742,,,,
211,37.14432236,38,46.48571429,63.81198621,,,,
212,42.71546529,37,76.3,63.58848906,,,,
213,42.11014125,41,91.90714286,68.3732655,,,,
214,43.64933351,45,55.14285714,74.81052232,,,,
215,46.37710984,36,84.58571429,64.15238333,,,,
216,40.53779022,45,65.57857143,76.92731285,,,,
217,42.74937616,45,84.23571429,78.34945679,,,,
218,47.77219863,41,58.87857143,69.3385849,,,,
219,43.83477348,45,57.15,78.93774748,,,,
220,49.40618262,44,96.05714286,70.91316032,,,,
221,40.86634913,38,81.36428571,63.24313879,,,,
222,45.42385582,42,63.71428571,67.81007791,,,,
223,45.11354704,54,53.96428571,196.0148602,,,,
224,44.60864215,43,64.15,58.43044615,,,,
225,39.75509559,36,49.87857143,62.26547337,,,,
226,42.02929728,38,69.65,63.65245676,,,,
227,46.75470615,42,64.42857143,55.24084044,,,,
228,39.8057038,40,56.31428571,58.70092273,,,,
229,41.10739845,41,62.22857143,66.66292453,,,,
230,46.9515921,44,77.79285714,74.69557834,,,,
231,43.79124104,29,63.79285714,46.87120175,,,,
232,45.11354699,48,53.34285714,102.0175283,,,,
233,43.26398735,43,56.65,68.55950761,,,,
234,43.69306679,29,84.14285714,52.13576841,,,,
235,40.15622488,41,56.88571429,63.62412739,,,,
236,45.42385598,49,79.45,111.0059984,,,,
237,44.23480149,45,86.94285714,72.43124533,,,,
238,45.81245647,44,80.5,68.561589,,,,
239,41.31071721,33,62.94285714,55.88634038,,,,
240,45.13433222,48,58.64285714,95.95169902,,,,
241,38.86865051,34,53.92142857,54.44138432,,,,
242,42.51121308,41,75.52142857,68.31069708,,,,
243,47.78172135,49,68.86428571,115.1857708,,,,
244,46.9417776,48,95.04285714,100.8416133,,,,
245,45.83277352,43,80.07142857,64.91239929,,,,
246,47.35023588,46,95.05714286,80.64382029,,,,
247,41.94786515,42,71.33571429,67.47098351,,,,
248,42.00616005,43,63.30714286,73.34126663,,,,
249,47.02014369,47,82.37857143,89.85232139,,,,
250,45.8733664,47,51.22857143,90.97957587,,,,
251,49.50571669,45,67.75714286,77.17925501,,,,
252,41.41782009,33,87.38571429,55.99382949,,,,
253,41.41782024,44,77.92857143,72.11011744,,,,
254,46.20667064,37,63.39285714,61.15581918,,,,
255,43.6712082,42,62.34285714,69.57712078,,,,
256,44.69345788,43,59.56428571,69.47116351,,,,
257,50.3856886,39,76.39285714,61.05213904,,,,
258,39.93186832,41,50.52857143,64.37589979,,,,
259,38.85558718,37,58.85,56.94555855,,,,
260,47.25351866,47,65.12142857,89.82375813,,,,
261,46.03528013,34,77.89285714,58.41821671,,,,
262,46.75470645,41,63.15,67.47198534,,,,
263,48.15089448,47,111.1785714,93.93873739,,,,
264,45.15510349,46,97.38571429,80.85567307,,,,
265,44.8623914,42,66.65714286,65.48306441,,,,
266,42.22526636,48,54.89285714,96.42882252,,,,
267,41.67808359,47,79.42857143,87.50508308,,,,
268,49.08732261,45,113.6214286,81.63237405,,,,
269,41.11939522,44,62.43571429,71.85189199,,,,
270,49.01397348,44,78.4,70.52606821,,,,
271,41.68986197,36,62.85714286,60.8578012,,,,
272,50.27183396,52,83.8,161.2260923,,,,
273,35.88144965,36,47.79285714,55.79202771,,,,
274,44.60864199,48,83.37857143,94.91665483,,,,
275,40.31680667,44,58.70714286,73.10382414,,,,
276,42.27119629,43,80.1,66.78510523,,,,
277,36.53478829,37,59.8,61.56198597,,,,
278,40.21808519,27,75.32857143,46.98735595,,,,
279,43.92165422,41,67.72857143,66.7267375,,,,
280,45.06152189,40,49.37857143,65.77859521,,,,
281,40.25514273,44,64.9,69.57340884,,,,
282,41.85429341,43,58.54285714,67.05468559,,,,
283,48.84877655,45,76.60714286,73.39437985,,,,
284,44.21330153,43,77.15,67.00460172,,,,
285,45.75142524,49,67.15714286,112.8481402,,,,
286,41.8660052,36,64.22857143,59.51112962,,,,
287,47.36954239,42,102.3642857,67.80663085,,,,
288,43.7694514,39,80.53571429,64.13505626,,,,
289,34.04659069,38,46.29285714,56.38482332,,,,
290,37.53113808,29,64.00714286,48.84052324,,,,
291,46.7941845,39,89.16428571,62.21884918,,,,
292,45.14471974,46,71.42857143,84.2589097,,,,
293,42.30559906,42,50.65714286,67.66465354,,,,
294,43.68213945,43,95.06428571,65.49885058,,,,
295,38.14199529,37,30.16428571,58.48501992,,,,
296,40.46430347,44,70,61.81939673,,,,
297,40.62330627,35,71.61428571,56.99351382,,,,
298,42.05241742,45,92.77142857,81.43762541,,,,
299,42.05241729,39,54.81428571,65.12357879,,,,
300,45.60854419,46,57.55714286,83.03821325,,,,
301,39.89407227,41,52.50714286,61.06212258,,,,
302,40.99921739,41,81.51428571,67.63325715,,,,
303,45.50607691,49,87.64285714,118.0597482,,,,
304,40.193356,39,70.58571429,65.38160157,,,,
305,36.60649012,30,49.22142857,50.26078224,,,,
306,35.70407537,43,40.47857143,68.34534287,,,,
307,35.55551694,32,48.59285714,54.47614717,,,,
308,41.72517031,35,62.86428571,59.61278272,,,,
309,44.5767759,41,55.7,60.83358717,,,,
310,37.25532323,37,59.97142857,61.36463523,,,,
311,39.11551104,39,78.11428571,65.48802471,,,,
312,43.14187483,42,58.62142857,63.39003611,,,,
313,41.88941606,44,65.65714286,72.70634365,,,,
314,44.4062635,42,73.84285714,63.82401299,,,,
315,41.31071718,43,55.37142857,65.98842597,,,,
316,48.17911683,41,87.05714286,68.90248871,,,,
317,44.74634905,39,81.61428571,63.07717013,,,,
318,43.34144387,37,87.16428571,60.30514407,,,,
319,45.71067004,42,88.70714286,69.10953856,,,,
320,49.93631284,49,91.25714286,117.5785599,,,,
321,44.68286872,46,66.73571429,79.67662263,,,,
322,47.43702051,47,63.20714286,94.04530334,,,,
323,44.66167938,50,73.41428571,128.5857234,,,,
324,42.19077415,40,43.68571429,62.13434315,,,,
325,37.54486621,39,51.98571429,55.55234742,,,,
326,43.0081054,37,69.05714286,58.9261322,,,,
327,40.91473045,38,61.50714286,57.79173398,,,,
328,37.48991866,43,47.82142857,67.51171517,,,,
329,41.1313876,40,55,62.32734489,,,,
330,42.00615999,42,69.84285714,66.7244494,,,,
331,38.86865081,41,57.5,61.32051373,,,,
332,41.29879401,31,66.59285714,51.56066108,,,,
333,39.48805542,47,60.33571429,90.00484204,,,,
334,50.836918,49,62.67142857,114.8170826,,,,
335,44.18102345,42,50.87857143,58.22638988,,,,
336,45.05110644,39,62.47857143,64.25104356,,,,
337,47.66725182,37,61.35,61.19845009,,,,
338,42.90713589,42,79.3,68.19108629,,,,
339,36.90590224,28,70.27857143,50.49615979,,,,
340,42.77196212,47,56.34285714,91.65653014,,,,
341,42.16775743,38,47.93571429,60.07892132,,,,
342,45.55735339,50,69.64285714,119.953618,,,,
343,41.64272104,43,55.91428571,69.81749415,,,,
344,45.73105415,47,74.51428571,91.1323247,,,,
345,45.23804802,44,63.60714286,72.9623611,,,,
346,37.8317898,44,50.32857143,73.46750689,,,,
347,43.36353843,34,58.65714286,55.00185752,,,,
348,48.90392609,45,81.45714286,71.56476545,,,,
349,43.85651662,47,66.62857143,86.4119103,,,,
350,42.39715233,46,49.15714286,73.80169725,,,,
351,44.84132522,51,46.52857143,143.5081997,,,,
352,44.59802377,46,80.71428571,82.17856359,,,,
353,40.4029314,39,75.99285714,65.84832144,,,,
354,44.0191222,40,50.39285714,65.69994617,,,,
355,44.05157081,32,51.01428571,51.8837719,,,,
356,38.50081363,39,97.87142857,57.01242828,,,,
357,51.10280622,50,96.15714286,119.3841746,,,,
358,43.82389635,49,68.9,107.7657712,,,,
359,49.71279687,45,104.8785714,80.14395022,,,,
360,35.67441839,40,72.77142857,65.33370757,,,,
361,41.39405132,45,68.83571429,75.70489311,,,,
362,43.35249319,42,80.66428571,70.33000326,,,,
363,46.09588024,39,70.12857143,63.27718258,,,,
364,43.61649213,42,73.01428571,67.24809742,,,,
365,40.36605003,39,61.10714286,64.62500978,,,,
366,45.60854421,48,73.02857143,101.7231565,,,,
367,40.41521548,38,45.36428571,59.78571653,,,,
368,36.36204924,32,47.85,54.92046618,,,,
369,43.26398746,35,63.19285714,59.03167367,,,,
370,44.52359224,44,70.06428571,74.65548229,,,,
371,48.1508944,37,80.88571429,61.3462224,,,,
372,47.44664834,49,66.86428571,114.5991085,,,,
373,48.58081034,43,93.40714286,65.0684104,,,,
374,40.67206682,42,71.44285714,67.01655817,,,,
375,44.01912238,27,81.6,44.65464187,,,,
376,42.9632837,43,65.64285714,62.89332581,,,,
377,44.64047539,49,80.51428571,113.7312925,,,,
378,40.30448371,35,59.89285714,53.21067858,,,,
