,Predicted Beta,Norms,Times
0,53.431309863849165,2.068630252111425,8.556144952774048
1,59.2263309028525,2.6527972519608243,8.46276569366455
2,44.10000040051008,1.5475249050823758,8.795882225036621
3,39.47182694773111,1.1328986138785258,8.701504945755005
4,39.813557739388806,1.2558871549367798,8.713064193725586
5,35.06413522593481,0.9795833437814654,9.115275144577026
6,47.9174582858317,1.66997377791732,8.654176712036133
7,43.35660194775915,1.3757225958348216,10.025456428527832
8,47.81266547354514,1.8836557234366655,9.306000232696533
9,55.589980311158904,2.3014668735045727,9.643703699111938
10,52.2024879213577,2.1064039032910356,9.557649850845337
11,46.37022591659646,1.6164211996357833,11.465780973434448
12,46.53364690494827,1.5951032745144156,9.955106258392334
13,57.05683321996373,2.6313302867909325,9.368864059448242
14,41.97049661448682,1.5469250720581114,9.427619457244873
15,31.499699486990234,1.0067432356601183,9.647923231124878
16,80.76676320007797,4.852168675154698,9.482076406478882
17,47.22326854141422,1.7668506056017437,9.506909608840942
18,35.571365914462774,1.065953004766899,10.452014684677124
19,44.4220703358517,1.4069893937911342,10.801044940948486
20,42.562588501542685,1.47303219955326,9.60443377494812
21,38.025441326127435,1.1272973174368084,9.753999710083008
22,45.55752275291675,1.5633624736503384,9.671061038970947
23,38.128968192417325,1.017629729917386,10.299859285354614
24,37.86144182218366,1.1640936404804778,10.281132698059082
25,40.26242243122248,1.1507852081309593,9.968027830123901
26,50.619478107301425,1.7480587652668051,9.840124130249023
27,48.48596394838939,1.8617281959464074,9.730783462524414
28,32.51281920726252,0.7863253699805266,11.210376977920532
29,49.00290983528112,2.055614713218226,10.92402172088623
30,50.72209119572742,1.880254631111443,11.06165885925293
31,47.46856633824949,1.659942746160024,11.422775745391846
32,43.75026688953837,1.4153433928736525,11.626221895217896
33,68.44882549255163,3.535424351455846,13.046368837356567
34,38.406811774915724,1.197344104742614,13.703691720962524
35,37.37883928468198,1.0772750205532984,12.345727682113647
36,48.710755605375276,1.904481933058048,11.336093187332153
37,40.66571986742088,1.2979564605435847,11.610880374908447
38,34.99046347779276,0.8871567063251725,13.631874084472656
39,37.88147774780725,1.1055008067037786,13.464202880859375
40,30.450143710031323,0.7595490792523655,12.68193793296814
41,44.03490306501286,1.468773503169781,13.874017000198364
42,37.425898780087905,1.0855737403008718,10.731016874313354
43,62.190552804199775,2.803681120557906,11.584237813949585
44,34.73646522839185,1.0311882959901997,10.03758192062378
45,36.45141535075598,1.0979989143397118,9.886187314987183
46,43.9883731907799,1.5001685723882043,9.890085697174072
47,48.16323737020124,1.4584862268881966,9.96799349784851
48,38.50847556368512,1.1679165125727127,9.804057598114014
49,51.56297836803017,1.9080693309998003,10.381631851196289
50,38.646469413146484,1.2282825808833804,12.992464542388916
51,39.65400614669709,1.3423224764755801,9.691899061203003
52,43.50274089651405,1.4941564908590843,10.98563003540039
53,34.28919846761605,1.0420915913785653,9.787367343902588
54,42.874032560426066,1.4195880399707221,9.860060453414917
