,Predicted Beta,Calculated Beta,Norms,Times,,,,,AVG Pred,AVG Calc,AVG Norm,MAX Pred,Total Time Hr
100,31.89497587,31,0.795059611,33.16158485,,,,,,,,,
101,32.77509753,37,0.697985176,36.21877575,,,,,,,,,
102,30.41525976,30,0.876275403,32.84791756,,,,,,,,,
103,42.56275889,41,1.221964478,40.37392306,,,,,,,,,
104,34.62870702,33,0.784133716,33.10126758,,,,,,,,,
105,41.61402357,43,1.366440749,44.03216958,,,,,,,,,
106,46.11548671,43,1.023950282,44.39708853,,,,,,,,,
107,40.75747209,41,1.014362712,39.74020696,,,,,,,,,
108,40.17726727,36,1.159772639,35.52911377,,,,,,,,,
109,26.55654809,20,0.66907068,27.15103316,,,,,,,,,
110,22.82429444,30,0.563254675,34.36216688,,,,,,,,,
111,40.51312666,30,1.22080329,31.80398107,,,,,,,,,
112,36.87700511,44,0.825555542,43.23323035,,,,,,,,,
113,41.25986904,46,1.07134296,52.82105398,,,,,,,,,
114,37.7525066,36,0.885180676,36.6613276,,,,,,,,,
115,39.96452365,37,1.068102512,36.87884808,,,,,,,,,
116,42.05709579,29,1.344200779,30.75807953,,,,,,,,,
117,30.63131042,33,0.80050515,34.26827097,,,,,,,,,
118,27.07416967,26,0.75442667,29.97246337,,,,,,,,,
119,36.98746223,40,1.053164696,38.192626,,,,,,,,,
120,37.7387787,42,1.168280263,41.13114905,,,,,,,,,
121,24.74693644,27,0.666423348,36.12862706,,,,,,,,,
122,34.68484806,28,0.881366051,31.12879682,,,,,,,,,
123,39.96743906,43,1.219633859,43.68439388,,,,,,,,,
124,31.84265125,24,0.777450333,32.98019171,,,,,,,,,
125,28.65637538,35,0.763716459,35.44783211,,,,,,,,,
126,34.55500727,33,0.953860123,35.86415744,,,,,,,,,
127,36.22781897,40,1.013749442,40.74593782,,,,,,,,,
128,37.83086209,28,0.978361687,32.08356714,,,,,,,,,
129,25.1953487,27,0.719907209,30.89832091,,,,,,,,,
130,33.59323605,35,0.956169363,45.1153121,,,,,,,,,
131,36.61204514,38,0.963296818,38.64896441,,,,,,,,,
132,40.9057299,38,1.096640127,46.44165349,,,,,,,,,
133,33.03449852,30,0.810612838,34.39806986,,,,,,,,,
134,35.04916499,40,0.966266361,42.04301476,,,,,,,,,
135,38.4802826,40,1.086676899,40.555825,,,,,,,,,
136,42.94295284,42,1.201565238,42.82345438,,,,,,,,,
137,42.84185617,43,1.365927958,42.71130538,,,,,,,,,
138,31.82308704,42,0.952428646,42.20688605,,,,,,,,,
139,31.69200753,30,0.885201445,32.46538258,,,,,,,,,
140,41.09904608,40,1.206665354,48.4591825,,,,,,,,,
141,36.10076216,41,0.831812566,41.75071669,,,,,,,,,
142,46.46207068,36,1.376203933,38.45457506,,,,,,,,,
143,38.15862009,31,0.97788066,34.36478829,,,,,,,,,
144,39.3141002,43,1.137606276,45.30653358,,,,,,,,,
145,31.79699961,29,0.722388396,32.82057118,,,,,,,,,
146,39.41204755,32,1.324695796,36.08961368,,,,,,,,,
147,39.09854108,34,1.048409088,35.84533477,,,,,,,,,
148,35.50562615,29,0.995937981,33.84181213,,,,,,,,,
149,39.57427701,38,1.085499832,44.39589477,,,,,,,,,
150,33.49512084,23,0.741741589,30.0367763,,,,,,,,,
151,33.6874461,38,0.872191097,39.55206394,,,,,,,,,
152,33.81262032,41,1.017873453,41.3890059,,,,,,,,,
153,36.79021876,43,1.004547307,43.58334923,,,,,,,,,
154,31.60136369,36,0.862308192,37.59170318,,,,,,,,,
155,32.83161748,39,0.919016313,43.55792975,,,,,,,,,
156,37.33165062,44,1.008428819,47.07799745,,,,,,,,,
157,34.71347308,32,0.773935624,34.94883323,,,,,,,,,
158,40.83377879,38,1.199814298,38.81620622,,,,,,,,,
159,33.08896071,34,0.982665281,35.33377552,,,,,,,,,
160,38.7501808,32,0.961253901,34.84812903,,,,,,,,,
161,36.24062564,36,1.09361286,35.98256159,,,,,,,,,
162,32.49477969,32,0.808431263,34.75293732,,,,,,,,,
163,40.76317202,40,1.146155129,41.78316569,,,,,,,,,
164,27.24298095,38,0.674806667,38.6423831,,,,,,,,,
165,34.65900768,25,0.870285311,31.85706353,,,,,,,,,
166,41.92170269,45,1.333183872,49.22246194,,,,,,,,,
167,36.92866334,38,0.946363728,38.25960207,,,,,,,,,
168,35.01878817,35,0.9465821,42.22508764,,,,,,,,,
169,37.21040828,24,0.916740672,30.18695378,,,,,,,,,
170,45.08318643,35,1.280784842,38.05873561,,,,,,,,,
171,44.06927553,44,1.527258219,49.45585346,,,,,,,,,
172,30.30915658,33,0.859581759,35.31898212,,,,,,,,,
173,37.90425003,36,1.154311829,37.2306602,,,,,,,,,
174,34.48030307,38,1.050497206,39.84844637,,,,,,,,,
175,33.54041223,37,0.810664759,39.81255984,,,,,,,,,
176,45.09702149,43,1.12158729,44.41333437,,,,,,,,,
177,37.86529643,28,0.920206209,31.40143275,,,,,,,,,
178,31.05892112,36,0.664523975,36.86682415,,,,,,,,,
179,44.48831857,40,1.14930059,40.61715841,,,,,,,,,
180,39.84816833,37,0.990478393,43.45268846,,,,,,,,,
181,41.68368141,46,1.311364458,52.6601069,,,,,,,,,
182,38.64728142,45,1.08535812,50.89625764,,,,,,,,,
183,39.00022178,41,1.070548882,43.53569555,,,,,,,,,
184,30.78866431,35,0.82379208,36.75136447,,,,,,,,,
185,35.34083945,31,0.882475621,34.119874,,,,,,,,,
186,44.49042971,39,1.356800649,45.33841014,,,,,,,,,
187,35.59966386,27,0.694617678,31.90251231,,,,,,,,,
188,44.1303056,41,1.407848524,42.83821774,,,,,,,,,
189,38.66002588,41,0.832520212,42.76364732,,,,,,,,,
190,39.85193818,42,1.185541978,44.64391065,,,,,,,,,
191,26.84540402,36,0.730180433,36.60323977,,,,,,,,,
192,40.0371414,43,0.936362629,43.95494747,,,,,,,,,
193,44.62909348,42,1.361782264,42.25315404,,,,,,,,,
194,37.06182967,42,0.991249259,45.65267491,,,,,,,,,
195,41.33052131,43,1.335845559,46.4955833,,,,,,,,,
196,29.19118888,39,0.837168313,40.17520881,,,,,,,,,
197,32.16685622,27,0.783379953,31.27269697,,,,,,,,,
198,25.40701156,29,0.673227369,32.01487732,,,,,,,,,
199,35.22508115,38,0.915758154,38.72756219,,,,,,,,,
200,38.00651698,41,1.02385652,41.20756459,,,,,,,,,
201,37.18960661,32,1.028196153,34.40751433,,,,,,,,,
202,31.23363391,33,0.888934219,34.46469259,,,,,,,,,
203,28.0388458,25,0.604427587,28.84286761,,,,,,,,,
204,42.25958287,43,1.162114253,43.90323186,,,,,,,,,
205,34.79248691,44,0.823276235,47.69373941,,,,,,,,,
206,34.20479705,29,0.85220081,31.75261617,,,,,,,,,
207,27.73139961,41,0.714845882,40.56215072,,,,,,,,,
208,27.74571578,34,0.854862495,35.46523857,,,,,,,,,
209,36.92044527,39,0.853057497,38.50624847,,,,,,,,,
210,33.03711084,37,0.79489316,38.14677525,,,,,,,,,
211,30.208983,35,0.745241027,36.11174202,,,,,,,,,
212,38.88804294,41,1.157578237,40.67422199,,,,,,,,,
213,41.45438297,41,1.304971523,40.86287498,,,,,,,,,
214,34.63500061,37,0.935574049,37.15924478,,,,,,,,,
215,44.31754478,40,1.187276732,40.4969728,,,,,,,,,
216,31.17013402,32,0.834527394,33.72645259,,,,,,,,,
217,33.22307127,40,0.858363765,40.78109145,,,,,,,,,
218,43.28464956,36,1.106332452,35.99171448,,,,,,,,,
219,39.49819488,40,1.056378571,40.52763057,,,,,,,,,
220,34.78906895,35,0.814387455,35.84198403,,,,,,,,,
221,42.30745011,46,1.132987798,53.76838851,,,,,,,,,
222,32.3724096,26,0.785463491,29.87470245,,,,,,,,,
223,34.95821332,30,1.036160137,32.26666188,,,,,,,,,
224,34.30603565,30,0.950242492,32.66640067,,,,,,,,,
225,26.38142864,17,0.483913515,25.65103865,,,,,,,,,
226,40.13849723,30,1.067863373,31.53486776,,,,,,,,,
227,35.95660447,40,1.127592958,38.90799594,,,,,,,,,
228,40.45628668,41,1.006880977,41.45057583,,,,,,,,,
229,25.04256776,33,0.644813142,34.60443497,,,,,,,,,
230,29.9861569,39,0.803286558,41.38493824,,,,,,,,,
231,34.30283513,27,0.826160872,30.80180359,,,,,,,,,
232,29.35243242,44,0.711651553,45.09335089,,,,,,,,,
233,40.90574582,40,1.255756745,39.87028813,,,,,,,,,
234,34.07955879,28,1.116406851,32.02051926,,,,,,,,,
235,31.3662993,28,1.038957123,31.65570879,,,,,,,,,
236,34.18980826,33,0.905573803,34.90832448,,,,,,,,,
237,31.00998622,36,0.930301986,36.57999372,,,,,,,,,
238,31.71080936,25,0.879804162,29.92247128,,,,,,,,,
239,32.9403778,30,0.952919449,32.56363082,,,,,,,,,
240,40.80423571,37,1.217818169,38.1342411,,,,,,,,,
241,33.34498202,40,0.868875212,40.64026856,,,,,,,,,
242,36.85743777,40,1.192856042,40.12411213,,,,,,,,,
243,36.99240959,43,0.91419718,45.26160026,,,,,,,,,
244,39.89093551,35,1.087711644,36.1146543,,,,,,,,,
245,30.99154514,36,0.759803185,36.38190341,,,,,,,,,
246,28.77867213,27,0.716454499,32.79461265,,,,,,,,,
247,44.4821369,36,1.412318264,36.67818522,,,,,,,,,
248,39.28247808,41,1.027837903,42.93156552,,,,,,,,,
249,42.4507781,42,1.203831109,42.01517463,,,,,,,,,
250,40.81731123,35,1.218589036,36.72080564,,,,,,,,,
251,36.56392251,37,0.849675644,38.08331728,,,,,,,,,
252,39.7961814,34,1.092466029,35.24168754,,,,,,,,,
253,38.7771915,40,1.058096526,39.97474098,,,,,,,,,
254,38.76131863,34,0.983948328,38.80991054,,,,,,,,,
255,35.42230626,38,0.845681434,37.8611393,,,,,,,,,
256,33.19818859,29,0.891452055,32.01604962,,,,,,,,,
257,40.64101494,41,1.206727046,41.35864139,,,,,,,,,
258,32.43722504,33,0.844858954,33.98239946,,,,,,,,,
259,33.50306352,38,0.889258263,38.87000418,,,,,,,,,
260,25.7192403,36,0.792647141,38.12217426,,,,,,,,,
261,35.65199398,42,0.734509682,42.54177618,,,,,,,,,
262,37.48512708,35,0.91910183,37.11994934,,,,,,,,,
263,33.18422583,22,0.784954365,28.82493067,,,,,,,,,
264,26.3774265,32,0.760922834,33.20577717,,,,,,,,,
265,39.85225644,46,1.077142778,51.94828033,,,,,,,,,
266,35.19970815,30,0.892458702,33.00095654,,,,,,,,,
267,36.39786692,41,0.837503964,41.52878618,,,,,,,,,
268,34.32924924,27,0.958428513,30.89966846,,,,,,,,,
269,35.2575123,37,0.983499674,38.90305924,,,,,,,,,
270,28.29951163,33,0.763957737,35.57572913,,,,,,,,,
271,36.44735196,41,0.963930554,40.57523584,,,,,,,,,
272,40.9405308,43,1.080258924,43.94478083,,,,,,,,,
273,35.75036611,36,0.961128987,37.99400997,,,,,,,,,
274,45.37544628,44,1.305989163,45.62651658,,,,,,,,,
275,34.0502752,34,0.952915782,35.00953722,,,,,,,,,
276,39.55792435,35,0.946573853,35.5681622,,,,,,,,,
277,34.13123317,37,0.687750129,37.28983808,,,,,,,,,
278,33.72210694,28,0.879418728,31.54106975,,,,,,,,,
279,42.37946726,43,1.241610256,44.67017603,,,,,,,,,
280,34.71151182,41,0.90114377,45.94978976,,,,,,,,,
281,34.94673808,26,0.930342302,30.17981362,,,,,,,,,
282,40.11666519,28,1.135521822,31.51128435,,,,,,,,,
283,34.60746441,38,1.047054269,38.91101098,,,,,,,,,
284,39.45536872,43,1.173856823,45.44598699,,,,,,,,,
285,36.88505293,28,0.902060624,31.18104124,,,,,,,,,
286,36.75636517,34,1.162007051,36.81234336,,,,,,,,,
287,39.564339,35,1.041204973,36.93799162,,,,,,,,,
288,36.34233897,36,0.92882317,38.63562703,,,,,,,,,
289,29.51293814,34,0.745939509,35.74882722,,,,,,,,,
290,37.02575758,28,0.899506138,34.99671602,,,,,,,,,
291,31.44304889,28,0.810264054,31.26884341,,,,,,,,,
292,35.78558911,37,0.924089857,38.09878397,,,,,,,,,
293,34.33935775,28,0.952552952,31.87809491,,,,,,,,,
294,48.01896855,50,1.449643874,82.48594594,,,,,,,,,
295,31.47330788,45,0.863533516,51.47871399,,,,,,,,,
296,41.48238021,39,1.105998024,40.60560608,,,,,,,,,
297,41.89388991,41,1.258521966,42.34300041,,,,,,,,,
298,40.32431857,45,1.025740927,50.05799484,,,,,,,,,
299,45.55954494,43,1.334843189,45.04857874,,,,,,,,,
300,38.82961478,38,1.114973847,39.00168681,,,,,,,,,
301,44.18937938,44,1.429483469,46.3965323,,,,,,,,,
302,41.23123757,47,1.230972368,60.57171631,,,,,,,,,
