,Predicted Beta,Calculated Beta,Times
0,35.196167243612805,41,56.12300252914429
1,48.14148080890035,37,56.290083169937134
2,42.35140948692748,41,65.34904384613037
3,35.1811071290258,32,51.633875608444214
4,43.09734968219489,42,73.54506826400757
5,41.071380010795586,33,58.46833395957947
6,34.907290531538585,32,52.378448724746704
7,36.31871883719047,38,63.3042266368866
8,49.17876343055806,49,115.90668296813965
9,44.68286847355845,41,63.83553099632263
10,39.70440568483057,47,86.72899031639099
11,40.62330607597136,36,56.26807117462158
12,41.65451297133634,38,55.773882150650024
13,36.79216900203304,38,60.20640587806702
14,43.616492253825626,47,86.46452260017395
15,48.2167069455722,48,93.91555428504944
16,45.19660367305706,38,67.32682061195374
17,44.51294440721776,40,67.00130534172058
18,39.154255969437415,40,64.64675831794739
19,41.358364047894206,41,70.47445631027222
20,41.2391097759828,32,51.9475576877594
21,46.58635502577999,48,93.26784181594849
22,36.63512594130559,31,45.76665687561035
23,43.186335509509334,37,52.59356451034546
24,46.08578828644701,46,76.56775903701782
25,37.29684866234417,27,49.11944079399109
26,40.63550341733478,39,62.81820726394653
27,45.751425099990065,36,52.47872853279114
28,44.53423619855015,46,78.22965359687805
29,44.841325244748944,36,53.72927761077881
30,46.97121156103045,49,108.12954950332642
31,39.75509549195947,39,59.743266344070435
32,41.239109532312604,37,57.80637264251709
33,41.84257748159541,36,54.34361910820007
34,46.09588009154562,48,100.32644057273865
35,48.55295557762302,43,63.66340255737305
36,46.21672252984315,45,73.26302409172058
37,48.59008974298835,38,65.65106868743896
38,47.7817214700329,44,58.7012734413147
39,48.98646539387488,40,54.3160126209259
40,49.43336037166141,44,69.43588519096375
41,43.164113092067275,40,58.474093437194824
42,41.50086791489096,39,59.25322651863098
43,44.11636514619158,33,62.92500281333923
44,42.0986051607036,43,65.34164953231812
45,42.62485331274162,47,82.12413620948792
46,43.15299587790689,49,103.75128746032715
47,40.48881847958299,30,43.22645545005798
48,43.24182113499377,45,86.51398158073425
49,43.440745065900835,45,67.45942449569702
50,45.69027193632338,49,105.59432792663574
51,39.43693237728733,39,62.558133125305176
52,47.43702053423465,46,97.79397439956665
53,40.11904967277941,42,73.04141902923584
54,41.924498687630816,46,86.01145648956299
55,42.156243048439656,34,56.70681309700012
56,39.679030108251,33,61.47759962081909
57,47.781721467231144,49,115.35376024246216
58,41.095397107342876,36,52.320528984069824
59,43.47377418303308,41,65.72683620452881
60,36.26085411762184,32,48.93050813674927
61,42.95206223492337,43,69.89124011993408
62,47.66725189987569,39,61.22442150115967
63,37.40731798573527,24,43.93566918373108
64,46.46696093853496,44,67.13386344909668
65,40.23044278386928,40,71.59315872192383
66,50.95727485658157,53,186.07806658744812
67,48.56224335934943,53,169.78361582756042
68,49.49668141529454,52,148.52652215957642
69,47.999932772125284,41,66.17417621612549
70,44.56614663279631,42,56.89350700378418
71,45.238047844196466,37,54.525853395462036
72,43.99747393613225,42,68.58560752868652
73,49.21526364902429,39,55.348966121673584
74,45.78195606440802,45,66.14119791984558
75,41.274933875617386,42,70.1813223361969
76,43.36353844507422,42,64.35341811180115
77,44.66167941873164,49,115.28910040855408
78,37.11651096172787,42,64.9438886642456
79,45.954391985019015,50,114.80676913261414
80,42.579447265237,43,62.78883385658264
81,42.92960727122851,46,78.8798418045044
82,50.50782945594817,50,119.61730217933655
83,38.790189562923615,34,57.42186141014099
84,41.725170550783915,41,65.435861825943
85,42.94083681650879,46,99.28563404083252
86,38.15535827251294,34,54.44751024246216
87,37.736436442052344,36,58.37692451477051
88,46.70528700145179,42,69.86239242553711
89,42.25972035454004,33,52.968642234802246
90,33.612162099243356,37,56.77669882774353
91,38.52723078262512,40,57.776413917541504
92,42.45423521271479,33,63.278335094451904
93,49.32450537124099,48,105.68423914909363
94,42.477038995543474,43,74.26455163955688
95,48.32920023947775,41,64.19055199623108
96,37.44864521278139,36,62.7683379650116
97,39.994761109633025,41,63.82815384864807
98,43.44074499506704,37,63.51600503921509
99,40.2180853047231,47,87.05161309242249
100,43.31933326571691,36,56.06695342063904
101,42.94083663849047,36,56.9718222618103
102,39.64092797094518,40,68.27430558204651
103,39.98219243824229,42,62.06089663505554
104,41.56005206267754,47,84.19048929214478
105,44.841325191421625,40,66.95427465438843
106,46.6854969611062,38,52.50774097442627
107,42.76067130347119,34,56.2319393157959
108,42.54534902732905,46,76.72816300392151
109,46.196615257406656,45,68.80820298194885
110,40.069413301660354,36,61.573150873184204
111,41.453439006965844,40,56.01492428779602
112,36.10118729261363,37,59.02306342124939
113,44.25628659376688,44,72.31226873397827
114,44.523592164625256,41,68.7751636505127
115,48.81195476670933,39,68.03590297698975
116,43.10848697129205,44,66.53614330291748
117,47.68635970109159,52,143.10017800331116
118,45.28977413681582,41,64.79069805145264
119,43.74764669686609,50,129.08944058418274
120,45.659649395097695,28,45.905436754226685
121,42.23675526505128,48,85.81488728523254
122,42.54534883616251,48,86.86275506019592
123,48.79352710792751,52,154.26739501953125
124,38.68526952066411,37,59.17237830162048
125,45.33109260222074,42,70.14889764785767
126,48.69197762665673,44,75.61438512802124
127,42.54534895657103,44,65.75249600410461
128,50.55133319377567,45,75.173748254776
129,41.17931025592436,31,49.47775316238403
130,40.40293146526787,45,73.67710852622986
131,32.635950017070414,37,47.36124062538147
132,47.73407788088079,46,100.80017471313477
133,35.99916121932236,33,57.290902853012085
134,40.9630367594025,43,72.92659735679626
135,47.18563452790429,52,155.92599391937256
136,42.24823990495121,44,64.04259324073792
137,40.29215566349102,41,62.21398305892944
138,49.13307704732602,35,54.73155927658081
139,49.980821487292346,50,115.09851121902466
140,47.43702065717586,45,70.89062309265137
141,40.35374644450764,31,43.068153381347656
142,39.88146342659158,40,62.237327098846436
143,43.47377409975954,43,70.36696267127991
144,42.087064610001946,35,55.355814695358276
145,49.03232685037502,40,66.86771655082703
146,50.86274865200936,38,60.18849468231201
147,42.59080507045683,41,56.20683264732361
148,48.22609702995096,48,92.50963473320007
149,44.66167941476264,44,73.8796284198761
150,46.456990686407764,35,51.78771781921387
151,47.2728864617549,47,88.12828707695007
152,38.36839423113297,39,60.5552716255188
153,42.27119623676352,45,71.90331697463989
154,37.37973680061224,41,64.72451066970825
155,47.895764803618256,41,65.01289248466492
156,40.31680639487709,37,55.85574293136597
157,38.97296236907254,35,55.11317300796509
158,44.416948210888535,41,59.43522095680237
159,42.35140953338494,47,88.83534574508667
160,41.560052012665835,47,90.40214967727661
161,39.94445721099422,42,69.81392240524292
162,37.99458807845558,45,77.7527403831482
163,50.716086203522885,42,66.00839376449585
164,40.69641862136605,33,49.54519081115723
165,42.213773107721515,43,67.96541166305542
166,48.75663904733882,55,211.9543423652649
167,49.61393265648951,50,110.62277150154114
168,48.55295555569105,53,165.08771681785583
169,39.70440591373494,38,50.256858825683594
170,39.28306081082391,45,78.24984979629517
171,36.74941519601906,42,58.32044506072998
172,43.89995710276926,45,68.20110702514648
173,49.41524477548957,56,232.12784790992737
174,38.08848753431672,44,73.6237359046936
