,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times
0,34,2,10.3485822711485,23,1.84459929210943,2,14.6081986040205,9,1.1666666666666667,371.7614607810974
1,13,2,10.4347145687142,10,1.18083727951640,2,14.6081986099196,7,0.8166666666666668,384.71456599235535
2,46,2,10.3530327309909,7,1.27596414313439,2,14.6081986589873,3,0.8958333333333335,408.68935680389404
3,42,2,10.4313250700505,6,1.37928788511758,2,14.6081986608876,14,0.9333333333333335,411.80116963386536
4,41,2,10.3900864749816,10,1.12300510857101,2,14.6081986593373,6,0.8,413.5611126422882
5,11,2,10.3681442785198,9,1.49903046717545,2,14.6081986343513,13,0.9875000000000002,434.31470251083374
6,47,2,10.3293569189042,10,1.36840562229828,2,14.6081986464240,12,0.9791666666666667,438.9946753978729
7,31,2,10.3436031440757,12,1.32426226243238,2,14.6081986356927,11,0.9416666666666668,441.19072437286377
8,27,2,10.3580285779344,13,1.55377879397442,2,14.6081986074177,18,1.1708333333333334,462.9222147464752
9,30,2,10.3404443735269,16,1.37817644386321,2,14.6081986439322,16,0.9875000000000002,468.57830905914307
10,0,2,10.3796197320508,12,1.50963295420574,2,14.6081986811020,13,0.9750000000000001,479.7010872364044
11,24,2,10.3681378750046,21,2.01220715320533,2,14.6081986289619,11,1.1583333333333334,485.6250672340393
12,21,2,10.3764494058769,15,1.44614625286686,2,14.6081985823206,18,0.8708333333333335,488.7020926475525
13,8,2,10.3224288516852,16,1.58048403017708,2,14.6081986595342,13,1.0875000000000001,493.4283010959625
14,5,2,10.3928111501091,18,1.71831238824038,2,14.6081986260210,14,1.1666666666666667,506.44946098327637
15,10,2,10.3439829846616,18,1.29045998049728,2,14.6081986390549,9,0.8500000000000001,525.609671831131
16,38,2,10.3886541191629,9,1.47759215971391,2,14.6081985936738,11,1.0666666666666669,533.496187210083
17,35,2,10.3971515776688,9,1.47260533204767,2,14.6081986239461,13,1.0291666666666668,537.8486411571503
18,14,2,10.4198001830387,16,1.51394477803010,2,14.6081985650581,10,0.9250000000000002,550.6515703201294
19,4,2,10.3603506897031,13,1.59363215978951,2,14.6081986218868,12,1.0791666666666668,560.0958089828491
20,26,2,10.4498739589023,20,1.66036960185420,2,14.6081986127097,9,1.0458333333333334,599.7437942028046
21,44,2,10.4255035178769,12,1.55002409137287,2,14.6081986267609,9,0.9583333333333335,601.4301645755768
22,43,2,10.3654364086358,12,1.61303273085587,2,14.6081986536001,16,1.0708333333333335,602.0281820297241
