,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times
0,19,30.48119234512699,42.0170321467655,43,1.38359871273219,37.85415089509696,45.1934438438503,1,0.9308035714285712,2267.191864967346
1,3,30.567089738930736,42.0511353573903,46,1.39397946380099,37.854151007744186,45.1934438959661,37,0.8593749999999998,3102.8318803310394
2,16,30.563799339045104,42.0498283871229,46,1.43412206597106,37.854151075635485,45.1934439273758,45,0.9129464285714284,3370.7243831157684
3,28,30.531413213357062,42.0369669642797,44,1.70564990396360,37.85415102392366,45.1934439034515,43,1.0022321428571426,3404.3941748142242
4,25,30.546647208134555,42.0430162202760,43,1.37992901517435,37.854151080446414,45.1934439296015,37,0.9241071428571426,3409.6309111118317
5,2,30.567457789096302,42.0512815525373,46,1.28747400603801,37.85415092446529,45.1934438574375,42,0.8727678571428569,3445.844702243805
6,41,30.53346640298281,42.0377822034303,46,1.35773994208665,37.85415099861387,45.1934438917420,40,0.8995535714285712,3450.4992315769196
7,1,30.525648772902052,42.0346782371494,49,1.39969096660401,37.85415107331128,45.1934439263005,39,1.0022321428571426,3500.824874162674
8,44,30.510162555001966,42.0285302881780,48,1.50378611436521,37.85415099335396,45.1934438893086,39,0.9464285714285712,3681.1110033988953
9,40,30.490508193819203,42.0207291534912,43,1.36174660800790,37.85415097068845,45.1934438788224,44,0.8861607142857141,3721.82652926445
10,31,30.504564260136593,42.0263080579507,46,1.29155632034297,37.85415092083785,45.1934438557592,45,0.9441964285714284,3770.2200684547424
11,13,30.455301688190975,42.0067594508778,44,1.35997688720779,37.854150906019164,45.1934438489034,43,0.8883928571428569,3778.420987844467
12,14,30.46888550410825,42.0121487576805,40,1.53868709105999,37.8541509286959,45.1934438593947,46,0.9776785714285712,3899.8657896518707
13,7,30.529662911482234,42.0362720045655,1,1.52734297101850,37.854151043145734,45.1934439123445,46,0.9709821428571426,3909.741900920868
14,23,30.58569751617637,42.0585274065286,45,1.32107805247652,37.85415104566267,45.1934439135090,45,0.9531249999999998,4261.060303688049
15,42,30.52402813964442,42.0340348038205,46,1.34022509283987,37.85415086040692,45.1934438278011,47,0.8816964285714284,4288.316868543625
16,21,30.48121312042572,42.0170403910369,45,1.35737082387232,37.854151074140304,45.1934439266840,46,0.9129464285714284,4325.1078152656555
17,8,30.46863983166018,42.0120512810836,47,1.66945629193473,37.854151067432895,45.1934439235809,43,1.042410714285714,4397.863159418106
18,47,30.57405904423225,42.0539037743829,44,1.53788575238465,37.854151049956286,45.1934439154954,46,1.0312499999999998,4436.892019033432
19,4,30.506275855962155,42.0269874570730,51,1.70822536463317,37.8541509561525,45.1934438720975,45,1.1316964285714284,4557.976932287216
20,10,30.558096256054252,42.0475631962573,47,1.29816234656412,37.85415101362298,45.1934438986859,1,0.8147321428571427,4641.829682826996
21,6,30.53749534060848,42.0393819875083,47,1.50937450271856,37.85415094513763,45.1934438670015,46,0.9843749999999998,4643.868042945862
22,46,30.581965478377327,42.0570447089418,45,1.23455878861195,37.85415090350543,45.1934438477404,48,0.8839285714285712,4749.610515356064
23,0,30.507434772243982,42.0274474835810,48,1.35381032706333,37.854150900545186,45.1934438463709,43,0.9598214285714284,4881.799694776535
24,32,30.459567577573704,42.0084518305484,42,1.30827855812494,37.85415090562231,45.1934438487199,43,0.8727678571428569,4887.815938234329
25,5,30.4946203296803,42.0223611837492,51,1.58770487731778,37.85415099770268,45.1934438913204,47,1.0513392857142854,5089.465874195099
26,36,30.50079505706233,42.0248119605324,45,1.51907402792740,37.85415091845479,45.1934438546567,43,0.9999999999999998,5184.8909459114075
27,49,30.50743953506424,42.0274493741731,44,1.65506924698122,37.85415077254817,45.1934437871536,45,1.0022321428571426,2136.8413138389587
28,37,30.544934114790028,42.0423359175640,50,1.69422574007649,37.854151030432554,45.1934439064628,43,1.026785714285714,5250.014333486557
29,15,30.54371420904795,42.0418514772343,44,1.32724063105554,37.85415101056806,45.1934438972726,46,0.9040178571428569,5393.879230976105
30,30,30.509864527213086,42.0284119831996,49,1.55590091443761,37.854150954963416,45.1934438715473,47,1.0535714285714284,5397.726725816727
31,39,30.48946287379935,42.0203142974948,47,1.68727240161054,37.8541509893117,45.1934438874384,45,1.0647321428571426,5401.0908489227295
32,11,30.464634409354144,42.0104620693199,44,1.47389599545136,37.854150961900835,45.1934438747569,45,1.0825892857142854,5405.19929599762
33,53,30.515390021044475,42.0306054454033,46,1.45095957364031,37.85415096426107,45.1934438758488,41,0.9174107142857141,2188.3093812465668
34,22,30.424784726019233,41.9946550336679,47,1.55658784292577,37.85415092482702,45.1934438576048,49,1.0513392857142854,5663.59094452858
35,38,30.517315896905686,42.0313699948591,49,1.69011570882913,37.85415106084112,45.1934439205312,40,1.0669642857142854,5883.124578237534
36,45,30.51736551531822,42.0313896929888,48,1.80373176229679,37.854151009671426,45.1934438968577,45,1.1629464285714284,5893.49661564827
37,55,30.555691244531605,42.0466080002327,46,1.21685266917198,37.85415100957239,45.1934438968119,46,0.8593749999999998,2491.459170103073
38,33,30.491278467106188,42.0210348548672,50,1.58553009239485,37.85415095677193,45.1934438723840,45,1.013392857142857,6016.9964718818665
39,18,30.531762276415748,42.0371055618740,47,1.73296101336759,37.85415097775152,45.1934438820901,48,1.1741071428571426,6145.648671388626
40,12,30.518520599842187,42.0318482558096,47,1.59997586050180,37.85415102783943,45.1934439052631,45,1.0781249999999998,6159.8322031497955
41,9,30.457771633776883,42.0077393270087,47,1.27122082962783,37.854151072553066,45.1934439259497,44,0.8683035714285712,6226.199249267578
42,35,30.510489659076903,42.0286601357237,50,1.76898461708385,37.8541510457854,45.1934439135657,46,1.2187499999999998,6262.629304885864
43,69,30.513720279757138,42.0299425917098,42,1.22462186249970,37.85415093913873,45.1934438642261,43,0.8058035714285712,2101.94828748703
44,27,30.48152612047871,42.0171645992278,50,1.68890603798939,37.85415086311713,45.1934438290550,48,1.1741071428571426,6748.995477437973
45,24,30.55087144494633,42.0446938029033,53,1.71004548901452,37.85415083857504,45.1934438177007,44,1.089285714285714,6914.344850540161
46,65,30.54509022095554,42.0423979098185,46,1.29222304245377,37.854150831322336,45.1934438143452,45,0.8459821428571427,2524.5792338848114
