,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
0,12,42.65409345,49.81379449,1,1.407230162,60.02412684,49.40001666,53.5311882,1,0.9609375,47.47032851,1581.097452,,73,47
1,21,43.04618885,50.01113883,1,1.452703913,62.53336698,49.40001642,53.53118806,1,0.9765625,48.24220354,1759.667617,,58.4,37.6
2,4,43.07395611,50.02516527,1,1.607545662,69.24335129,49.40001658,53.53118815,1,1.09375,54.03126813,1921.544237,,,
3,2,42.4611819,49.71810632,1,1.303915255,55.36578282,49.40001669,53.53118822,1,0.901041667,44.51147339,2498.065579,,Average Custom Embedding Calculated,Average Standard Embedding Calculated
4,0,42.88500937,49.93004996,51,1.349074351,57.85506618,49.40001652,53.53118812,1,0.924479167,45.66928612,2600.705548,,55.61643836,54.21276596
5,19,42.79812111,49.88552845,1,1.692818769,72.44946269,49.40001662,53.53118818,1,0.971354167,47.98491199,2647.876828,,Standard Deviation Custom Embedding Calculated,Standard Deviation Standard Embedding Calculated
6,20,43.01203381,49.99390048,51,1.499440078,64.49396733,49.40001665,53.53118819,1,1.080729167,53.38803884,3550.017981,,3.42632836,2.475410991
7,24,42.91034833,49.9427665,1,1.823868802,78.2628456,49.40001669,53.53118822,1,1.205729167,59.56304097,2012.145005,,,
8,6,43.11694831,50.04690382,1,1.408567999,60.7331536,49.40001659,53.53118816,51,0.9453125,46.69845318,3712.465886,,Average Custom Embedding Norm,Average Standard Embedding Norm
9,27,43.33667673,50.15841208,1,1.625914262,70.46172076,49.40001663,53.53118818,1,1.166666667,57.63335275,1542.013404,,1.465581849,0.990691489
10,10,42.97571707,49.97561367,52,1.203330294,51.71398226,49.40001651,53.53118811,1,0.895833333,44.25418144,4053.137024,,Standard Deviation Custom Embedding Norm,Standard Deviation Standard Embedding Norm
11,14,43.07935224,50.02789234,1,1.288621385,55.51297455,49.40001655,53.53118813,53,0.893229167,44.12553563,4055.60629,,0.152292899,0.074119279
12,29,42.39406802,49.68492396,1,1.673858165,70.9616569,49.40001648,53.53118809,1,1.0390625,51.32970462,1921.838771,,,
13,9,42.97367479,49.97458654,54,1.422352574,61.12371695,49.4000166,53.53118816,1,0.919270833,45.41199441,4808.354696,,Average Predicted Custom Embedding Hardness,Average Predicted Standard Embedding Hardness
14,23,42.73717753,49.85514496,54,1.475627165,63.06414012,49.40001657,53.53118815,1,0.9609375,47.47032842,5128.651669,,42.89523455,49.4000166
15,8,42.93204576,49.95366264,1,1.599516887,68.67053219,49.40001669,53.53118822,55,0.994791667,49.14272495,5130.868149,,Standard Deviation Predicted Custom Embedding Hardness,Standard Deviation Predicted Standard Embedding Hardness
16,34,42.66758504,49.82050355,1,1.758088575,75.01339378,49.40001662,53.53118818,1,1.166666667,57.63335274,1514.765558,,0.325975958,6.68969E-08
17,3,43.27194196,50.12549,51,1.224795343,52.999273,49.40001656,53.53118814,53,0.9140625,45.15470264,5637.131867,,,
18,11,42.75350579,49.86328112,1,1.346181221,57.55396663,49.40001655,53.53118813,56,0.971354167,47.98491193,6197.682518,,Average Custom Embedding Scaled Predicted Hardness,Average Standard Embedding Scaled Predicted Hardness
19,5,42.70174311,49.83749935,1,1.567128413,66.91911491,49.40001662,53.53118818,57,1.067708333,52.7448094,6200.770655,,63.64682469,48.98114563
20,32,42.72631249,49.8497328,50,1.453027862,62.08252249,49.40001662,53.53118818,1,0.9375,46.31251558,2966.983054,,Standard Deviation Custom Embedding Scaled Predicted Hardness,Standard Deviation Standard Embedding Scaled Predicted Hardness
21,13,43.62606555,50.30630256,57,1.251975611,54.61877007,49.40001659,53.53118816,1,0.875,43.22501452,7656.192018,,6.224557006,3.965696619
22,43,43.16458072,50.07101894,1,1.656753736,71.51308037,49.40001658,53.53118815,1,1.1640625,57.5047068,1536.603054,,,
23,37,42.72560266,49.84937927,1,1.714018449,73.2324712,49.40001651,53.53118811,53,1.067708333,52.74480928,3451.248055,,,
24,7,42.70083695,49.8370483,57,1.391970219,59.43829336,49.40001654,53.53118813,51,0.9453125,46.69845314,8304.517851,,,
25,16,43.24383898,50.11121598,58,1.231296708,53.24599658,49.40001653,53.53118812,1,0.888020833,43.86824383,8562.199944,,,
26,17,43.18277014,50.08023619,53,1.550668194,66.96214818,49.4000166,53.53118816,54,1.044270833,51.58699649,8804.47254,,,
27,47,42.90549688,49.94033107,1,1.640714904,70.39568819,49.40001659,53.53118815,1,1.072916667,53.00210115,1087.105275,,,
28,28,42.84067493,49.90782195,54,1.66108471,71.16199009,49.4000167,53.53118823,54,1.049479167,51.84428838,6838.335044,,,
29,1,43.18401374,50.08086654,1,1.527892406,65.98052665,49.40001656,53.53118814,61,1.057291667,52.23022586,9616.081393,,,
30,45,43.25410392,50.11642845,1,1.615567603,69.87992899,49.40001664,53.53118819,1,1.171875,57.8906445,2016.733628,,,
31,41,42.90053288,49.93783948,55,1.244228083,53.37804778,49.40001679,53.53118828,1,0.8671875,42.83907706,4306.801982,,,
32,31,42.77333367,49.87316536,1,1.514226166,64.76850105,49.40001666,53.5311882,56,0.940104167,46.44116151,6732.558829,,,
33,39,42.49052068,49.73262952,56,1.648829001,70.05960276,49.40001664,53.53118819,1,1.0234375,50.55782953,5292.922797,,,
34,46,43.08085145,50.02865008,1,1.254981706,54.06568045,49.40001662,53.53118818,50,0.875,43.22501454,2798.953705,,,
35,22,42.3795846,49.67777045,57,1.506428655,63.84182063,49.40001657,53.53118815,52,1.049479167,51.84428824,10599.96487,,,
36,53,43.00974622,49.9927465,1,1.506687433,64.80224413,49.40001667,53.53118821,1,0.953125,47.08439089,1030.365811,,,
37,44,42.99712988,49.98638637,53,1.351275476,58.10096715,49.40001665,53.53118819,1,0.947916667,46.82709913,4101.343357,,,
38,55,42.72400128,49.84858171,1,1.270872354,54.29675208,49.40001662,53.53118818,1,0.880208333,43.48230628,1465.467915,,,
39,42,42.5603893,49.76725841,56,1.356737652,57.74328265,49.40001656,53.53118814,1,0.947916667,46.82709905,5409.744466,,,
40,57,43.02247075,49.99916636,1,1.393228113,59.94011574,49.40001663,53.53118818,1,0.919270833,45.41199444,1246.575345,,,
41,56,42.30572924,49.64133341,1,1.52946168,64.70499172,49.40001665,53.5311882,1,1.005208333,49.65730839,1373.75052,,,
42,48,43.20284105,50.09041225,54,1.50722443,65.11637748,49.40001662,53.53118818,1,1.046875,51.7156424,3456.483421,,,
43,52,43.07648788,50.02644471,49,1.638332582,70.57361361,49.40001656,53.53118814,1,1.0546875,52.10157997,2361.625413,,,
44,33,42.97660292,49.9760592,57,1.573431863,67.6207564,49.40001667,53.5311882,53,1.0546875,52.10158008,8589.679613,,,
45,40,42.9986183,49.98713543,54,1.363943218,58.64767381,49.40001667,53.53118821,53,0.927083333,45.7979321,7098.256047,,,
46,61,42.9123485,49.94377068,1,1.535811089,65.90526068,49.40001665,53.53118819,1,1.015625,50.17189191,2266.574966,,,
47,15,42.51955131,49.74701064,59,1.437371361,61.11638534,49.40001653,53.53118812,1,0.955729167,47.21303665,13205.19849,,,
48,18,42.85372662,49.91436284,60,1.718562179,73.6467938,49.4000165,53.5311881,1,1.119791667,55.31772683,14519.36749,,,
