,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Actual Results EBDD Calculated,Actual Results Kannan Calculated
0,34,33.74440138,44.67726074,1,1.685746433,40.59028165,47.66664728,1,1.125,2321.656791,,116,108
1,35,33.83717984,44.71505401,1,1.639552812,40.59028172,47.66664731,1,1.094444444,2485.281804,,92.8,86.4
2,37,33.66958462,44.64680237,1,1.693538445,40.59028184,47.66664737,45,1.033333333,3162.866364,,,
3,2,33.74305654,44.6767131,44,1.237526235,40.59028178,47.66664734,46,0.902777778,3294.701181,,Average EBDD Calculated,Average Kannan Calculated
4,0,33.68490212,44.65303689,44,1.340160506,40.59028183,47.66664736,48,0.930555556,3391.313435,,49.18103448,46.87037037
5,32,33.70840321,44.66260362,43,1.32985759,40.5902818,47.66664735,1,0.897222222,3572.342382,,Standard Deviation EBDD Calculated,Standard Deviation Kannan Calculated
6,5,33.72772137,44.67046879,1,1.64917423,40.59028172,47.66664731,46,1.077777778,3590.233159,,2.845588922,2.954776246
7,1,33.74499156,44.67750107,50,1.549273225,40.59028175,47.66664732,1,1.025,3718.060871,,,
8,3,33.73447312,44.67321794,45,1.213604566,40.59028186,47.66664738,1,0.891666667,3981.407622,,,
9,42,33.77864328,44.69120625,48,1.317853019,40.59028174,47.66664732,1,0.897222222,4264.285244,,,
10,28,33.73625993,44.67394551,45,1.660433126,40.59028177,47.66664733,47,1.055555556,5049.110458,,,
11,13,33.79938619,44.69965577,45,1.391862522,40.59028178,47.66664734,44,0.869444444,5096.516394,,,
12,11,33.7314466,44.6719856,47,1.426455972,40.59028177,47.66664734,45,0.988888889,5154.7341,,,
13,9,33.74487025,44.67745167,50,1.481637391,40.59028173,47.66664731,1,0.930555556,5360.653671,,,
14,21,33.7060666,44.66165237,49,1.544067812,40.59028168,47.66664729,44,0.927777778,5556.169957,,,
15,19,33.67555261,44.64923137,49,1.441605368,40.59028178,47.66664734,45,0.955555556,5641.142531,,,
16,43,33.74751804,44.6785299,51,1.709679927,40.59028171,47.66664731,1,1.2,5818.636518,,,
17,29,33.74126637,44.67598413,48,1.682011619,40.5902817,47.6666473,43,1.058333333,5867.492991,,,
18,54,33.78140292,44.69233031,43,1.364795496,40.59028174,47.66664732,38,0.9,2323.610167,,,
19,8,33.73700953,44.67425074,48,1.615263921,40.59028173,47.66664732,43,1.022222222,6151.586967,,,
20,41,33.7395422,44.67528204,49,1.227248166,40.59028182,47.66664736,46,0.866666667,6279.036602,,,
21,7,33.69217705,44.65599816,49,1.43903062,40.59028183,47.66664736,48,0.941666667,6386.277555,,,
22,46,33.74773838,44.67861963,45,1.252185563,40.5902817,47.6666473,45,0.872222222,6477.951842,,,
23,10,33.67621612,44.64950143,46,1.254269421,40.59028174,47.66664732,45,0.869444444,6499.535702,,,
24,14,33.75442337,44.68134199,48,1.316797463,40.59028167,47.66664729,40,0.880555556,6514.270886,,,
25,23,33.65099125,44.63923542,48,1.462675446,40.59028173,47.66664732,41,0.977777778,6635.90234,,,
26,17,33.75268242,44.680633,47,1.508207462,40.59028168,47.66664729,1,1.008333333,6843.288063,,,
27,6,33.73054252,44.67161748,50,1.603942318,40.59028179,47.66664734,48,0.938888889,6888.151837,,,
28,30,33.74843541,44.67890348,50,1.486170984,40.5902818,47.66664735,44,1.025,6968.651556,,,
29,55,33.66151103,44.64351653,48,1.33023229,40.59028171,47.66664731,42,0.875,3318.700673,,,
30,33,33.68573261,44.65337493,48,1.588775256,40.59028182,47.66664736,44,1.038888889,7108.784193,,,
31,25,33.72628036,44.66988206,50,1.344487264,40.59028182,47.66664736,48,0.922222222,7143.03174,,,
32,56,33.71285763,44.66441709,45,1.438678699,40.59028174,47.66664732,48,1.011111111,3282.326806,,,
33,31,33.68037714,44.65119506,52,1.511560952,40.59028171,47.66664731,44,0.952777778,7355.663388,,,
34,26,33.74788838,44.67868071,50,1.527672151,40.5902819,47.6666474,1,1.052777778,7444.288437,,,
35,18,33.73472518,44.67332058,51,1.640941149,40.59028166,47.66664728,1,1.147222222,7643.242436,,,
36,40,33.72772466,44.67047013,50,1.51430352,40.59028188,47.66664738,48,0.944444444,8315.723884,,,
37,12,33.67441591,44.64876872,52,1.446960812,40.59028187,47.66664738,45,0.977777778,8389.556628,,,
38,39,33.74329854,44.67681165,50,1.494257689,40.5902817,47.6666473,49,1.030555556,8680.988692,,,
39,20,33.72669624,44.67005139,50,1.510698821,40.59028173,47.66664732,50,1.111111111,8682.542479,,,
40,47,33.7415637,44.6761052,48,1.502650433,40.5902817,47.6666473,51,1.055555556,8688.075334,,,
41,52,33.6929768,44.65632372,54,1.752310788,40.59028174,47.66664732,45,1.058333333,5510.821299,,,
42,44,33.6700202,44.64697965,48,1.451761343,40.59028179,47.66664735,49,0.961111111,9036.368309,,,
43,15,33.75180424,44.68027537,50,1.342932439,40.59028172,47.66664731,48,0.958333333,9096.104815,,,
44,69,33.7239494,44.66893299,43,1.355797411,40.59028169,47.66664729,40,0.880555556,2720.70498,,,
45,4,33.67752927,44.65003591,52,1.706374152,40.59028165,47.66664728,48,1.1,9218.366224,,,
46,61,33.77659648,44.69037257,48,1.530238429,40.59028166,47.66664728,47,1.019444444,4416.939619,,,
47,22,33.72663938,44.67002824,50,1.603131206,40.59028173,47.66664731,47,1.072222222,9849.5469,,,
48,60,33.73639139,44.67399904,1,1.572589718,40.59028172,47.66664731,48,0.955555556,4794.672982,,,
49,51,33.65483926,44.64080136,54,1.420321551,40.59028171,47.6666473,1,1.019444444,6709.291878,,,
50,16,33.75065605,44.67980779,52,1.382806349,40.59028175,47.66664733,47,0.902777778,10096.75239,,,
51,38,33.69486792,44.65709353,51,1.605426313,40.59028159,47.66664725,50,1.05,10099.61658,,,
52,71,33.78913661,44.6954805,45,1.597621227,40.59028172,47.66664731,49,1.080555556,3912.230628,,,
53,67,33.77631169,44.69025657,45,1.58399098,40.59028165,47.66664728,51,1.077777778,4459.717048,,,
54,27,33.72846036,44.67076968,49,1.752949189,40.59028182,47.66664736,52,1.183333333,10724.30632,,,
55,36,33.70941275,44.66301462,53,1.542976602,40.59028167,47.66664729,49,0.958333333,10758.11734,,,
56,59,33.74115565,44.67593904,48,1.42217981,40.59028179,47.66664734,45,0.983333333,5823.338623,,,
57,85,33.73227592,44.67232328,44,1.385040961,40.59028183,47.66664736,44,0.866666667,2788.148711,,,
58,57,33.68282751,44.65219244,50,1.465135386,40.59028183,47.66664736,45,0.930555556,7245.895001,,,
59,80,33.71544519,44.66547056,48,1.637883885,40.59028184,47.66664737,48,1.011111111,4300.776464,,,
60,63,33.66572496,44.64523151,49,1.635811409,40.59028181,47.66664735,43,1.044444444,6310.347833,,,
61,65,33.74554792,44.67772762,47,1.343868049,40.59028175,47.66664733,45,0.883333333,6136.574099,,,
62,72,33.71485302,44.66522947,51,1.323034767,40.59028171,47.66664731,46,0.916666667,5888.272351,,,
63,50,33.70508767,44.66125385,51,1.529799979,40.59028175,47.66664732,47,0.961111111,9372.993421,,,
64,45,33.74884688,44.67907104,54,1.726979104,40.59028181,47.66664735,50,1.175,12564.62909,,,
65,75,33.78222558,44.6926654,51,1.418670179,40.59028182,47.66664736,49,0.963888889,5776.145183,,,
66,48,33.8218178,44.70879456,53,1.450085819,40.5902818,47.66664735,48,1.047222222,10381.86808,,,
67,89,33.71697027,44.66609147,47,1.500918266,40.59028175,47.66664732,42,0.936111111,3857.625668,,,
68,104,33.69525399,44.65725069,1,1.311077322,40.5902817,47.6666473,44,0.855555556,2401.35371,,,
69,66,33.68596622,44.65347002,48,1.206241378,40.59028181,47.66664735,49,0.875,7624.667499,,,
70,100,33.73481398,44.67335674,49,1.555879068,40.59028178,47.66664734,1,1.102777778,3219.982539,,,
