,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times
0,33.93826336170912,34.6935287695510,41,1.72572359168436,43.52874419806821,40.9573536107883,46,1.0878571428571426,137.44447207450867
1,33.48357483268016,34.4409274678816,43,1.45219832456636,43.5287441569391,40.9573535802907,41,0.9732142857142856,128.18028473854065
2,34.52703647969761,35.0267106588134,46,1.42951343777979,43.52874412344716,40.9573535554562,53,1.0260714285714283,228.57843685150146
3,32.58834323750864,33.9532437018727,36,1.63719508851577,43.52874406085572,40.9573535090441,47,1.0428571428571427,136.38338255882263
4,35.087833519785384,35.3501072955814,45,1.56190868103455,43.52874404000934,40.9573534935863,41,1.0403571428571428,130.75367832183838
5,33.62237104136684,34.5177930981487,40,1.23415529040355,43.52874411811434,40.9573535515018,40,0.8574999999999998,119.57833766937256
6,34.053406146322594,34.7581308019356,52,1.53375987020347,43.528744136628774,40.9573535652305,46,1.031785714285714,217.4209623336792
7,34.402150374052646,34.9556515088907,46,1.74112188174116,43.52874416086311,40.9573535832004,45,0.9292857142857142,148.84177660942078
8,33.05824679498874,34.2058494277940,47,1.66088783434295,43.52874412475926,40.9573535564291,44,1.0003571428571427,151.52411580085754
9,34.95603284239151,35.2732964935487,48,1.52291639905705,43.5287441824005,40.9573535991706,45,0.9628571428571427,164.87055611610413
10,32.71688092413185,34.0219838984420,45,1.71997310208053,43.528744038579894,40.9573534925264,47,1.0717857142857141,154.80211782455444
11,35.30744887871961,35.4792714005281,34,1.28995088560113,43.528744136696105,40.9573535652803,46,0.9207142857142856,130.7842264175415
12,33.19431351172155,34.2804278716679,39,1.12994280363761,43.5287440622876,40.9573535101059,41,0.7857142857142856,121.10604214668274
13,34.46833892645006,34.9932909315453,44,1.25034611703550,43.528744139530225,40.9573535673819,39,0.8989285714285713,124.22311758995056
14,34.81574041464941,35.1926677579601,50,1.97379089702904,43.528744066820735,40.9573535134672,51,1.291785714285714,242.64814400672913
15,34.706484491406,35.1291133124968,38,1.50576855810031,43.528744145686716,40.9573535719470,40,1.0164285714285712,117.73287653923035
16,32.88820257628762,34.1138650192337,42,1.46665402245874,43.52874409998629,40.9573535380597,40,0.894642857142857,124.27109670639038
17,34.60988425840443,35.0739445119197,42,1.47812468614287,43.52874406030852,40.9573535086383,41,1.021785714285714,124.08767914772034
18,34.692265371877475,35.1209863639182,39,1.26312143701684,43.52874422748884,40.9573536326040,40,0.9107142857142856,119.45733523368835
19,32.748554102573685,34.0389480844200,46,1.48319397038650,43.52874399174511,40.9573534577980,29,0.9524999999999998,123.68346977233887
