,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,,EBDD Calc,Kannan Calc
49,40,42.89146908,42.89146908,57,1.472536408,49.4000166,49.4000166,1,0.927083333,4860.776604,,,,
50,65,42.7528904,42.7528904,1,1.305297622,49.40001657,49.40001657,1,0.875,1011.378241,,,,
51,54,42.92294909,42.92294909,56,1.337895496,49.4000166,49.4000166,1,0.872395833,3089.039471,,,,
52,24,42.29856697,42.29856697,59,1.907092723,49.4000167,49.4000167,1,1.205729167,8858.266875,,,,
53,64,42.71700384,42.71700384,52,1.30779826,49.40001653,49.40001653,1,0.8671875,2186.71172,,,,
54,63,42.73602078,42.73602078,53,1.567597173,49.40001658,49.40001658,1,1.0234375,2912.891993,,,,
55,73,42.40895506,42.40895506,1,1.47632666,49.40001678,49.40001678,1,0.9765625,823.5112267,,,,
56,69,43.12215235,43.12215235,51,1.305721533,49.40001659,49.40001659,1,0.875,1805.663344,,,,
57,72,42.92677026,42.92677026,1,1.338135806,49.40001672,49.40001672,1,0.932291667,1398.704933,,,,
58,74,42.86031545,42.86031545,1,1.38733314,49.40001667,49.40001667,1,0.9375,867.2686138,,,,
59,18,42.26536498,42.26536498,61,1.795523265,49.40001652,49.40001652,1,1.119791667,11860.91672,,,,
60,66,42.77130548,42.77130548,50,1.240193653,49.40001655,49.40001655,1,0.8671875,2757.966639,,,,
61,76,42.55647872,42.55647872,1,1.604005345,49.40001642,49.40001642,1,1.044270833,783.2414467,,,,
62,59,42.67971035,42.67971035,54,1.330097663,49.40001648,49.40001648,1,0.96875,4817.415188,,,,
63,46,42.19094978,42.19094978,57,1.337786204,49.40001665,49.40001665,48,0.875,7272.674498,,,,
64,71,42.38365006,42.38365006,55,1.652109745,49.40001658,49.40001658,1,1.078125,3331.442821,,,,
65,29,42.7037907,42.7037907,60,1.604143507,49.40001663,49.40001663,1,1.0390625,10619.77622,,,,
66,44,42.92027199,42.92027199,56,1.380040716,49.40001662,49.40001662,49,0.947916667,8400.800761,,,,
67,75,42.44929388,42.44929388,1,1.446147787,49.40001649,49.40001649,53,0.96875,2640.788874,,,,
68,49,42.7514524,42.7514524,58,1.538220306,49.40001677,49.40001677,1,1.0390625,7607.373514,,,,
69,53,42.72678292,42.72678292,58,1.410343583,49.40001669,49.40001669,1,0.953125,7440.297066,,,,
70,87,42.43775743,42.43775743,1,1.536770522,49.40001649,49.40001649,1,0.966145833,899.4294894,,,,
71,78,42.99411626,42.99411626,56,1.550227174,49.40001661,49.40001661,1,1.083333333,2981.522831,,,,
72,55,43.05758734,43.05758734,52,1.342486835,49.40001663,49.40001663,52,0.880208333,7908.143027,,,,
73,85,42.23948957,42.23948957,1,1.215731979,49.4000166,49.4000166,1,0.848958333,1447.767344,,,,
74,86,43.02758861,43.02758861,1,1.427777436,49.40001653,49.40001653,1,0.9921875,1418.790286,,,,
75,81,42.32627768,42.32627768,53,1.444580714,49.40001658,49.40001658,49,0.90625,3022.568204,,,,
76,57,42.51977073,42.51977073,51,1.394745681,49.40001662,49.40001662,52,0.919270833,8158.304752,,,,
77,77,42.24945078,42.24945078,1,1.472144673,49.40001661,49.40001661,51,0.981770833,3857.241752,,,,
78,79,43.06461732,43.06461732,53,1.370996443,49.40001658,49.40001658,1,0.869791667,3704.109837,,,,
79,90,43.03117838,43.03117838,1,1.512950705,49.40001665,49.40001665,1,0.9921875,1158.645838,,,,
80,62,42.90598694,42.90598694,58,1.60797556,49.40001672,49.40001672,1,1.078125,8022.330999,,,,
81,95,42.84864094,42.84864094,1,1.63523374,49.40001652,49.40001652,1,1.075520833,884.997611,,,,
82,92,42.81231469,42.81231469,1,1.558354135,49.40001653,49.40001653,1,1.046875,1367.620417,,,,
83,80,43.89342489,43.89342489,53,1.385782939,49.40001661,49.40001661,1,1.03125,4293.757049,,,,
84,96,42.96689901,42.96689901,1,1.609942468,49.40001655,49.40001655,1,1.057291667,1299.263908,,,,
85,91,43.41245017,43.41245017,1,1.468606515,49.40001669,49.40001669,53,1.013020833,2260.523052,,,,
86,70,42.61650052,42.61650052,57,1.580896171,49.40001646,49.40001646,55,1.065104167,7370.536446,,,,
87,104,42.67448887,42.67448887,1,1.235627045,49.40001646,49.40001646,1,0.8359375,1295.637886,,,,
88,84,42.02366289,42.02366289,53,1.585269827,49.40001668,49.40001668,1,1.0078125,4828.022565,,,,
89,106,43.08429827,43.08429827,1,1.508939403,49.40001655,49.40001655,1,1.0078125,1534.212331,,,,
90,102,43.00890088,43.00890088,1,1.514455421,49.40001646,49.40001646,1,0.989583333,2703.494515,,,,
91,82,43.26867226,43.26867226,1,1.764170269,49.40001662,49.40001662,57,1.106770833,6487.900115,,,,
92,98,42.29087935,42.29087935,1,1.636470262,49.40001668,49.40001668,52,0.997395833,3730.768135,,,,
93,108,42.66598151,42.66598151,1,1.366702024,49.40001654,49.40001654,1,0.953125,1333.359407,,,,
94,36,43.17460793,43.17460793,61,1.414786864,49.40001659,49.40001659,53,0.986979167,15638.10777,,,,
95,105,42.7636956,42.7636956,55,1.464556829,49.40001666,49.40001666,1,1.026041667,3311.187457,,,,
96,109,42.81219551,42.81219551,1,1.57435943,49.40001665,49.40001665,1,1.0859375,1732.612976,,,,
97,67,42.7402291,42.7402291,55,1.598796967,49.40001649,49.40001649,57,1.049479167,11028.76591,,,,
98,111,43.03460891,43.03460891,1,1.534236065,49.40001666,49.40001666,1,1.091145833,1719.456662,,,,
99,103,43.44710081,43.44710081,54,1.302899874,49.40001676,49.40001676,1,0.872395833,4332.916053,,,,
100,68,42.71666947,42.71666947,58,1.510003771,49.40001643,49.40001643,55,1.015625,11508.40272,,,,
101,97,43.07482591,43.07482591,1,1.683932325,49.40001654,49.40001654,55,1.114583333,5641.5565,,,,
102,94,42.82220528,42.82220528,50,1.171672463,49.40001662,49.40001662,52,0.817708333,6086.491473,,,,
103,101,42.26044027,42.26044027,58,1.47815462,49.40001659,49.40001659,1,0.971354167,5441.199991,,,,
104,115,43.02564386,43.02564386,1,1.549156959,49.40001674,49.40001674,1,1.059895833,1266.640914,,,,
105,119,42.84726154,42.84726154,1,1.401360515,49.40001672,49.40001672,1,0.911458333,1019.204234,,,,
106,93,43.21898632,43.21898632,1,1.360033609,49.40001665,49.40001665,58,0.924479167,7056.463167,,,,
107,118,42.74479855,42.74479855,1,1.452935125,49.40001674,49.40001674,1,0.895833333,1312.277869,,,,
108,121,43.63117569,43.63117569,1,1.563836851,49.40001656,49.40001656,1,1.0078125,823.3437424,,,,
109,99,42.87561965,42.87561965,58,1.483681142,49.40001653,49.40001653,1,1.059895833,6360.0525,,,,
110,112,42.55257568,42.55257568,53,1.28693518,49.40001665,49.40001665,1,0.919270833,3015.822083,,,,
111,125,42.54776703,42.54776703,1,1.620004421,49.40001664,49.40001664,1,1.078125,795.9311886,,,,
112,110,42.90138548,42.90138548,1,1.448184402,49.40001657,49.40001657,54,0.955729167,3672.071282,,,,
113,100,42.5671439,42.5671439,1,1.643918458,49.40001666,49.40001666,1,1.104166667,6624.610202,,,,
114,126,43.48920847,43.48920847,1,1.302330065,49.4000166,49.4000166,1,0.924479167,1073.756111,,,,
115,133,42.58727124,42.58727124,1,1.631295646,49.40001664,49.40001664,1,1.067708333,777.5889647,,,,
116,83,42.89313699,42.89313699,60,1.59187307,49.40001656,49.40001656,1,1.0234375,11401.46864,,,,
117,113,43.09334644,43.09334644,58,1.550724176,49.40001655,49.40001655,1,1.028645833,6117.622078,,,,
118,124,42.60056018,42.60056018,54,1.289851909,49.40001669,49.40001669,1,0.890625,4179.674074,,,,
119,128,42.7313753,42.7313753,56,1.663202922,49.40001649,49.40001649,1,1.075520833,4017.314144,,,,
120,132,43.35300288,43.35300288,53,1.360601967,49.40001661,49.40001661,1,0.950520833,3521.0885,,,,
121,122,42.71880468,42.71880468,1,1.477090408,49.40001653,49.40001653,57,0.9453125,4967.883723,,,,
122,114,42.54466438,42.54466438,1,1.44262885,49.40001649,49.40001649,57,0.9453125,6164.356491,,,,
123,88,43.12190708,43.12190708,59,1.550825941,49.40001653,49.40001653,53,1.065104167,12518.65928,,,,
124,138,41.91485712,41.91485712,1,1.699211707,49.40001664,49.40001664,1,1.171875,1137.995325,,,,
125,129,43.32174835,43.32174835,57,1.341171683,49.40001661,49.40001661,1,0.981770833,4718.416091,,,,
126,140,42.86319731,42.86319731,1,1.411948778,49.4000166,49.4000166,1,0.880208333,965.0749643,,,,
127,143,42.7437074,42.7437074,1,1.354831557,49.40001667,49.40001667,1,0.9296875,1017.213211,,,,
128,130,43.18052727,43.18052727,1,1.616342382,49.40001654,49.40001654,53,0.966145833,5100.830097,,,,
129,142,42.69203599,42.69203599,1,1.430097838,49.40001673,49.40001673,1,0.942708333,1462.184987,,,,
130,89,41.99011478,41.99011478,61,1.528724215,49.40001689,49.40001689,53,0.911458333,13880.14644,,,,
131,144,43.24874552,43.24874552,1,1.417924257,49.4000166,49.4000166,1,0.955729167,1407.208593,,,,
132,123,43.2710195,43.2710195,58,1.480238422,49.40001663,49.40001663,1,0.9765625,6836.925148,,,,
133,137,42.80229074,42.80229074,1,1.477795999,49.4000166,49.4000166,52,1.018229167,3870.47711,,,,
134,152,42.82753653,42.82753653,1,1.482651044,49.40001655,49.40001655,1,0.994791667,1047.419909,,,,
135,116,42.19500842,42.19500842,57,1.618673515,49.40001671,49.40001671,55,1.0078125,9084.990398,,,,
136,145,42.30207182,42.30207182,51,1.156613764,49.40001666,49.40001666,1,0.796875,2624.11727,,,,
137,117,43.61029011,43.61029011,1,1.493336665,49.40001657,49.40001657,59,0.9921875,9584.323482,,,,
138,146,42.32495202,42.32495202,52,1.720046589,49.40001658,49.40001658,1,1.1328125,3096.411685,,,,
139,107,43.39206404,43.39206404,61,1.54993123,49.40001651,49.40001651,1,1.104166667,12490.81579,,,,
140,154,42.52797047,42.52797047,1,1.814730809,49.40001656,49.40001656,1,1.046875,1134.912192,,,,
141,155,42.71029792,42.71029792,1,1.330671386,49.40001661,49.40001661,1,0.96875,1222.342609,,,,
142,139,42.99224943,42.99224943,1,1.701654744,49.40001655,49.40001655,57,1.182291667,4923.350879,,,,
143,149,43.14748951,43.14748951,51,1.627714996,49.40001658,49.40001658,1,1.096354167,3286.487437,,,,
144,131,42.21379444,42.21379444,57,1.60846341,49.40001651,49.40001651,52,1.018229167,8646.007365,,,,
145,156,42.58873804,42.58873804,1,1.476869991,49.40001667,49.40001667,1,0.966145833,1599.357195,,,,
146,157,42.70436986,42.70436986,1,1.710096407,49.40001657,49.40001657,1,1.096354167,1310.646297,,,,
147,136,42.66527707,42.66527707,52,1.48503479,49.40001663,49.40001663,54,0.9609375,7327.071328,,,,
148,141,43.32338283,43.32338283,1,1.666311772,49.40001657,49.40001657,57,1.0859375,5914.688802,,,,
149,147,42.89397686,42.89397686,52,1.276445733,49.40001663,49.40001663,49,0.927083333,4782.317209,,,,
150,161,42.48192226,42.48192226,1,1.321712898,49.4000166,49.4000166,1,0.8828125,1526.87177,,,,
151,166,43.00621435,43.00621435,1,1.635310431,49.40001674,49.40001674,1,1.106770833,1372.961314,,,,
