,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Actual Results EBDD Calculated,Actual Results Kannan Calculated
0,18,42.9408175,49.95806954,1,1.568849161,49.4000167,53.53118822,1,1.119791667,1183.242231,,97,50
1,6,43.07020526,50.02326992,1,1.482883029,49.40001663,53.53118818,1,0.9453125,1283.888489,,48.5,25
2,16,43.00840097,49.99206791,1,1.371807754,49.40001656,53.53118814,1,0.888020833,1644.371894,,,
3,3,43.06134914,50.0187956,1,1.283407922,49.40001656,53.53118814,1,0.9140625,1710.763423,,Average EBDD Calculated,Average Kannan Calculated
4,8,43.03439676,50.0051854,1,1.530412125,49.40001674,53.53118825,1,0.994791667,1736.252241,,56.01030928,54.34
5,22,42.97619747,49.97585528,1,1.566458792,49.40001658,53.53118815,1,1.049479167,1974.735533,,Standard Deviation EBDD Calculated,Standard Deviation Kannan Calculated
6,20,43.02140512,49.99862863,1,1.447681614,49.40001675,53.53118826,1,1.080729167,2036.153458,,3.222624595,2.789265136
7,10,43.0228328,49.99934906,1,1.353307756,49.40001645,53.53118807,1,0.895833333,2115.842605,,,
8,14,43.09302551,50.03480431,1,1.269407924,49.40001667,53.5311882,1,0.893229167,2223.800131,,,
9,15,43.01881239,49.99732039,1,1.40942855,49.40001669,53.53118822,1,0.955729167,2510.808233,,,
10,0,42.98400625,49.97978316,1,1.40305459,49.40001663,53.53118818,53,0.924479167,3025.85288,,,
11,11,42.99236931,49.9839908,49,1.309338919,49.40001649,53.5311881,1,0.971354167,3109.549439,,,
12,25,42.97356691,49.97453228,1,1.386129342,49.40001664,53.53118819,1,0.916666667,2037.360797,,,
13,1,42.96743306,49.97144773,56,1.400679566,49.40001662,53.53118817,1,1.057291667,4118.018749,,,
14,30,43.02117558,49.99851281,1,1.509949362,49.40001665,53.53118819,1,1.015625,2160.667618,,,
15,32,42.95331115,49.96434819,1,1.474675378,49.40001664,53.53118819,1,0.9375,2044.999793,,,
16,21,43.01768114,49.99674961,53,1.394743126,49.4000167,53.53118823,1,0.9765625,4406.593046,,,
17,9,42.97192015,49.97370412,1,1.423531659,49.40001663,53.53118818,53,0.919270833,4751.845028,,,
18,33,42.99788607,49.98676693,1,1.683550213,49.40001652,53.53118811,1,1.0546875,2310.015481,,,
19,31,42.99039638,49.98299808,1,1.443198697,49.4000167,53.53118822,1,0.940104167,2972.671584,,,
20,37,42.98031764,49.97792765,1,1.522536275,49.40001661,53.53118817,1,1.067708333,1373.640412,,,
21,17,43.04124595,50.00864309,1,1.53552211,49.40001654,53.53118813,54,1.044270833,5638.098091,,,
22,36,42.93063284,49.95295289,1,1.520734688,49.40001668,53.53118821,1,0.986979167,2582.220739,,,
23,38,43.04000152,50.00801481,1,1.687825535,49.40001656,53.53118814,1,1.0390625,1715.251557,,,
24,7,43.00562662,49.99066853,55,1.439074038,49.40001665,53.53118819,1,0.9453125,6240.4305,,,
25,4,43.0115739,49.99366847,58,1.638729874,49.40001656,53.53118814,1,1.09375,6420.906705,,,
26,5,43.05272236,50.01443821,58,1.684602894,49.40001657,53.53118814,1,1.067708333,6734.869232,,,
27,44,43.02168654,49.99877064,1,1.340738292,49.40001658,53.53118815,1,0.947916667,1261.788894,,,
28,2,42.9860127,49.98079256,58,1.374344361,49.4000167,53.53118822,1,0.901041667,6835.649098,,,
29,19,43.03001844,50.00297544,56,1.654509292,49.40001663,53.53118818,1,0.971354167,6849.365777,,,
30,42,43.01938801,49.99761082,1,1.418098775,49.40001656,53.53118814,1,0.947916667,2117.124521,,,
31,27,42.9763819,49.97594804,55,1.66825353,49.40001674,53.53118825,1,1.166666667,5325.950664,,,
32,13,42.97015837,49.97281815,57,1.332445422,49.4000166,53.53118816,1,0.875,7666.484558,,,
33,28,42.92885082,49.95205777,56,1.631843052,49.40001662,53.53118817,1,1.049479167,6228.68989,,,
34,29,43.04533006,50.01070519,55,1.504699726,49.40001653,53.53118812,1,1.0390625,6421.090733,,,
35,52,43.03775864,50.00688251,1,1.463414674,49.40001657,53.53118814,1,1.0546875,1631.147125,,,
36,41,43.00652411,49.99112122,1,1.328281237,49.40001661,53.53118817,1,0.8671875,3777.78186,,,
37,55,42.96893898,49.97220497,1,1.513804266,49.40001648,53.53118809,1,0.880208333,2978.70072,,,
38,58,42.96484128,49.97014454,1,1.455506631,49.40001662,53.53118818,1,0.950520833,1642.091802,,,
39,54,43.03033852,50.00313699,1,1.362530994,49.40001667,53.53118821,1,0.872395833,3193.230552,,,
40,50,43.04245198,50.009252,53,1.421980035,49.40001658,53.53118815,1,0.96875,3516.287051,,,
41,34,42.99146504,49.98353579,59,1.815667884,49.40001655,53.53118813,1,1.166666667,7682.527236,,,
42,12,43.01635702,49.99608154,58,1.367680847,49.40001656,53.53118814,53,0.9609375,11301.90128,,,
43,35,42.9640986,49.96977113,52,1.678385076,49.40001666,53.5311882,56,1.111979167,8389.58367,,,
44,51,43.02478102,50.00033219,56,1.341296628,49.40001662,53.53118817,1,1.010416667,4766.048324,,,
45,61,43.01173963,49.99375208,1,1.578753852,49.40001665,53.53118819,1,1.015625,1672.942667,,,
46,59,43.04613581,50.01111204,1,1.444506355,49.4000166,53.53118816,53,0.96875,3645.037904,,,
47,46,43.03349195,50.00472868,56,1.307288453,49.40001671,53.53118823,50,0.875,6308.059094,,,
48,23,42.96093751,49.96818186,59,1.49731694,49.40001665,53.53118819,1,0.9609375,12750.34521,,,
49,43,42.97913685,49.97733371,56,1.654758363,49.40001661,53.53118817,52,1.1640625,8298.107883,,,
50,45,42.96511487,49.97028211,1,1.624290404,49.40001666,53.5311882,52,1.171875,7959.427298,,,
51,57,42.97261457,49.97405334,57,1.355764432,49.4000165,53.5311881,1,0.919270833,5745.650589,,,
52,65,43.09428301,50.03544012,51,1.238269346,49.4000167,53.53118823,1,0.875,3281.206077,,,
53,66,43.02487672,50.00038049,51,1.159819489,49.40001668,53.53118821,1,0.8671875,3374.536159,,,
54,53,42.96990495,49.97269072,57,1.403847077,49.40001662,53.53118817,1,0.953125,8322.670245,,,
55,64,42.9661914,49.97082339,52,1.316696197,49.40001664,53.53118819,50,0.8671875,4940.735304,,,
56,26,43.03415445,50.00506309,60,1.671168034,49.40001655,53.53118813,1,1.041666667,13904.85392,,,
57,70,43.03579816,50.00589282,1,1.540313587,49.40001657,53.53118815,53,1.065104167,3541.955134,,,
58,63,43.00246572,49.98907431,1,1.553278623,49.40001665,53.53118819,55,1.0234375,5588.33259,,,
59,75,42.97592537,49.97571843,1,1.466798509,49.40001659,53.53118815,1,0.96875,2074.955941,,,
60,56,42.98790063,49.98174239,57,1.634630098,49.40001678,53.53118827,1,1.005208333,8197.093858,,,
61,74,43.01096168,49.99335963,1,1.439163823,49.40001664,53.53118818,1,0.9375,2303.090305,,,
62,77,43.03675151,50.00637408,1,1.403455002,49.40001661,53.53118817,1,0.981770833,1424.674025,,,
63,24,42.98112487,49.9783337,60,1.845408904,49.40001662,53.53118817,1,1.205729167,15007.39915,,,
64,40,42.99620716,49.98592202,52,1.315987189,49.40001664,53.53118819,56,0.927083333,11794.98078,,,
65,69,42.97637243,49.97594328,54,1.262084006,49.4000167,53.53118822,1,0.875,4526.267442,,,
66,60,43.02562431,50.00075776,55,1.529118621,49.40001665,53.53118819,56,1.002604167,7741.539198,,,
67,78,43.02340761,49.99963911,1,1.505059853,49.40001666,53.5311882,1,1.083333333,1488.163833,,,
68,49,42.98952642,49.98256037,60,1.609696683,49.40001671,53.53118823,1,1.0390625,10393.17526,,,
69,85,42.98046807,49.97800332,1,1.257979748,49.40001664,53.53118819,1,0.848958333,1520.426614,,,
70,89,42.97970722,49.97762061,1,1.268955673,49.40001665,53.5311882,1,0.911458333,1463.412262,,,
71,84,43.00928298,49.99251282,1,1.493890934,49.40001659,53.53118815,1,1.0078125,1894.451343,,,
72,90,43.05658024,50.0163867,1,1.509544558,49.40001652,53.53118811,1,0.9921875,1505.729516,,,
73,72,43.00148572,49.98858007,51,1.306611035,49.4000167,53.53118822,1,0.932291667,5716.147277,,,
74,67,43.01262165,49.99419703,54,1.615299079,49.40001664,53.53118819,54,1.049479167,7066.300459,,,
75,82,43.00616396,49.99093956,1,1.613929731,49.40001658,53.53118815,1,1.106770833,3220.504903,,,
76,88,42.98050756,49.97802319,1,1.644152434,49.40001661,53.53118817,1,1.065104167,2782.577961,,,
77,87,42.98829654,49.98194157,1,1.472930988,49.40001659,53.53118816,51,0.966145833,3528.829549,,,
78,62,42.98547219,49.98052064,1,1.669055502,49.40001665,53.53118819,54,1.078125,9748.436623,,,
79,98,43.02662799,50.00126428,1,1.41329779,49.40001668,53.53118821,1,0.997395833,1663.493291,,,
80,81,42.99111856,49.98336145,55,1.318741806,49.40001665,53.5311882,1,0.90625,5008.808484,,,
81,100,43.02050738,49.99817564,1,1.630207389,49.40001653,53.53118812,1,1.104166667,2169.402747,,,
82,86,43.00120193,49.98843695,55,1.384490564,49.40001665,53.53118819,1,0.9921875,5111.180031,,,
83,99,42.9957459,49.98568991,1,1.623823643,49.4000165,53.53118811,1,1.059895833,2432.228008,,,
84,95,43.04763248,50.0118678,1,1.916157385,49.40001669,53.53118822,48,1.075520833,3684.330404,,,
85,91,43.02642441,50.00116154,49,1.521578208,49.40001661,53.53118817,53,1.013020833,5014.962698,,,
86,79,42.9934187,49.98451883,57,1.297562403,49.40001656,53.53118814,1,0.869791667,6488.42375,,,
87,101,43.02613476,50.00101537,1,1.543285701,49.4000166,53.53118816,1,0.971354167,2078.872811,,,
88,104,42.99845272,49.9870521,1,1.32896809,49.40001655,53.53118813,1,0.8359375,1504.631997,,,
89,94,43.07623883,50.02631885,47,1.194467249,49.40001663,53.53118818,52,0.817708333,4637.546251,,,
90,71,42.99404283,49.98483289,59,1.680609854,49.40001672,53.53118823,1,1.078125,10388.83314,,,
91,96,43.03426805,50.00512043,1,1.593463653,49.40001657,53.53118815,55,1.057291667,5022.725886,,,
92,108,43.02587057,50.00088204,1,1.423990819,49.40001657,53.53118814,1,0.953125,1412.307263,,,
93,105,43.02465958,50.00027091,1,1.406569014,49.4000166,53.53118816,1,1.026041667,1804.357746,,,
94,103,43.02424897,50.0000637,50,1.300270172,49.40001664,53.53118819,1,0.872395833,2749.287756,,,
95,48,42.96566097,49.97055669,58,1.509311608,49.40001666,53.5311882,59,1.046875,16961.5558,,,
96,110,42.96745973,49.97146114,1,1.38782582,49.40001667,53.53118821,1,0.955729167,1617.796998,,,
97,83,42.97049681,49.97298834,57,1.612733536,49.40001674,53.53118825,1,1.0234375,7592.662133,,,
98,80,42.9737804,49.97463965,58,1.564816381,49.40001658,53.53118815,1,1.03125,7845.336782,,,
99,113,42.98595063,49.98076133,1,1.685428701,49.40001654,53.53118812,1,1.028645833,1787.182855,,,
100,114,43.04033066,50.00818098,1,1.434402665,49.40001662,53.53118817,1,0.9453125,1528.942805,,,
101,92,43.02666509,50.00128301,57,1.616330725,49.40001658,53.53118815,1,1.046875,7670.7845,,,
102,112,43.01591713,49.9958596,1,1.240905445,49.40001658,53.53118815,1,0.919270833,2363.384749,,,
103,47,43.1111297,50.04396019,59,1.665046658,49.4000167,53.53118822,55,1.072916667,18642.6582,,,
104,93,43.05075732,50.01344582,53,1.318613406,49.40001658,53.53118815,55,0.924479167,7312.385559,,,
105,118,43.04491163,50.01049391,1,1.423196867,49.40001673,53.53118824,1,0.895833333,1832.970693,,,
106,122,43.01838225,49.99710335,1,1.514338989,49.40001651,53.53118811,1,0.9453125,1669.21902,,,
107,73,42.93170334,49.95349063,55,1.395969488,49.40001666,53.5311882,57,0.9765625,12024.86117,,,
