,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
34,39,23.02631217,27.53748002,37,1.662753007,38.2870698,33.43828442,32.62192726,33,1.084765625,36.2727015,115.4525185,,,
35,41,23.46804486,27.79886069,36,1.085530483,25.47527807,33.43828436,32.62192723,31,0.787890625,26.34571076,108.5922258,,,
36,46,23.12937538,27.59818814,31,1.326132448,30.67261519,33.43828429,32.62192719,26,0.79296875,26.5155145,110.3594646,,,
37,45,24.18027012,28.22949377,40,1.249855894,30.22185313,33.43828435,32.62192722,36,1.03203125,34.5093544,124.5459948,,,
38,48,22.98718247,27.51461059,35,1.369958106,31.49147696,33.43828428,32.62192718,29,0.9609375,32.1321013,112.5902972,,,
39,9,23.2182669,27.65068326,32,1.508883313,35.03365548,33.43828428,32.62192718,38,0.919921875,30.76060917,366.0666356,,,
40,53,22.78885937,27.4004688,36,1.458160605,33.22981697,33.43828438,32.62192724,37,0.93359375,31.21777331,115.7046878,,,
41,55,22.35488021,27.15205739,36,1.406963365,31.45249748,33.43828422,32.62192714,35,0.9640625,32.23659588,113.275511,,,
42,54,22.69538447,27.34687594,31,1.428788204,32.42689762,33.43828436,32.62192723,39,0.9984375,33.38603704,122.4431386,,,
43,57,22.71115674,27.35590963,39,1.320660375,29.99372478,33.43828435,32.62192722,27,0.97265625,32.52395626,111.4763188,,,
44,56,21.97797263,26.93970079,23,1.503037114,33.03370855,33.43828431,32.6219272,40,1.051953125,35.17550767,120.3847985,,,
45,49,22.50739258,27.2386597,47,1.686587164,37.96067942,33.43828417,32.62192712,40,1.10234375,36.86048357,161.2265327,,,
46,51,22.55733734,27.26709022,30,1.067934773,24.08976493,33.43828435,32.62192722,26,0.759375,25.39219718,174.0790849,,,
47,37,22.94688609,27.49137055,33,1.702044996,39.05663264,33.43828429,32.62192719,32,1.078125,36.05065025,218.0619345,,,
