,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,EBDD Caluclated Actual,Kannan Calculated Actual
50,103,43.03392483,50.00494718,57,1.347584,49.40001672,53.53118823,54,0.872395833,11423.66953,,,
51,139,42.97878095,49.9771547,1,1.912083341,49.40001663,53.53118818,1,1.182291667,2406.553237,,,
52,110,43.03364969,50.0048083,55,1.559702974,49.40001663,53.53118818,53,0.955729167,10352.37889,,,
53,129,42.96273383,49.96908496,53,1.383493673,49.40001667,53.53118821,50,0.981770833,4889.960464,,,
54,147,42.97544153,49.97547508,1,1.310073936,49.40001667,53.53118821,1,0.927083333,1681.864933,,,
55,125,42.99488858,49.98525848,56,1.766998994,49.40001655,53.53118813,1,1.078125,6313.541314,,,
56,111,42.96140465,49.96841671,58,1.615789527,49.40001665,53.53118819,58,1.091145833,11207.73395,,,
57,124,43.01974648,49.9977917,55,1.251531599,49.40001664,53.53118819,54,0.890625,6642.37664,,,
58,108,43.03061334,50.0032757,56,1.36727045,49.40001656,53.53118814,55,0.953125,12117.40968,,,
59,152,42.99482446,49.98522622,1,1.517123519,49.4000166,53.53118816,1,0.994791667,1589.199709,,,
60,96,43.02243527,49.99914845,1,1.610679584,49.40001672,53.53118823,61,1.057291667,15237.15684,,,
61,150,43.03106211,50.00350221,1,1.599903501,49.40001651,53.53118811,1,1.078125,2288.786083,,,
62,135,42.97724226,49.97638077,1,1.756315725,49.40001653,53.53118812,55,1.1484375,5735.406268,,,
63,141,43.03039897,50.0031675,57,1.654679333,49.40001673,53.53118824,1,1.0859375,5387.709626,,,
64,145,42.98311168,49.97933314,54,1.296016822,49.40001649,53.5311881,1,0.796875,4494.096351,,,
65,158,42.99632891,49.98598329,1,1.64763909,49.40001655,53.53118813,1,1.046875,1423.860408,,,
66,144,42.9965322,49.9860856,1,1.328831491,49.40001672,53.53118824,48,0.955729167,5036.941396,,,
67,138,43.04726335,50.0116814,57,1.573581465,49.4000166,53.53118816,1,1.171875,6488.78344,,,
68,127,43.0278779,50.0018951,1,1.629927714,49.40001652,53.53118811,54,1.046875,9160.054229,,,
