,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times
0,3,37.80738044057512,43.8722256360919,42,1.21197455843143,45.08333623179402,47.7240181281692,47,0.8834134615384616,1013.7301931381226
1,9,37.85074887056396,43.8935148585087,44,1.26992393478426,45.08333613468235,47.7240180718715,47,0.9002403846153846,1120.672492980957
2,21,37.82993577928385,43.8832966147462,46,1.36494103237765,45.083336260492764,47.7240181448066,49,0.9206730769230769,1300.072340965271
3,4,37.76837367917183,43.8530861795049,46,1.42270110663223,45.083336118632616,47.7240180625671,49,1.0612980769230769,1360.5161805152893
4,7,37.7867041765035,43.8620793840593,47,1.25981389285348,45.08333612057277,47.7240180636919,41,0.8930288461538461,1416.2358422279358
5,20,37.80935324729117,43.8731938519360,49,1.37792793292301,45.08333616545649,47.7240180897119,44,1.0096153846153846,1615.5435156822205
6,10,37.771716792931656,43.8547262232586,51,1.23693075983864,45.08333626675051,47.7240181484343,42,0.8257211538461539,1671.1797342300415
7,2,37.762254838387506,43.8500845940807,46,1.17834281613593,45.0833362099003,47.7240181154770,44,0.8016826923076923,1734.2475254535675
8,19,37.84184970482814,43.8891455048056,48,1.55422583069356,45.08333614584389,47.7240180783421,49,0.9459134615384616,1796.486619234085
9,13,37.78532731745442,43.8614038140948,47,1.24510208704571,45.08333614329529,47.7240180768646,51,0.8966346153846154,1845.728805065155
10,12,37.760073361447915,43.8490145239704,48,1.49455404669873,45.08333619704444,47.7240181080242,47,1.0997596153846154,1899.8079297542572
11,0,37.80708663520029,43.8720814438218,45,1.46476163993276,45.08333617422117,47.7240180947930,48,0.9759615384615384,1902.4428136348724
12,16,37.749102438324954,43.8436333982983,48,1.48801752370169,45.0833361359215,47.7240180725899,50,0.9579326923076923,2033.4206104278564
13,6,37.80395774912731,43.8705458942935,50,1.38088801157629,45.08333622195987,47.7240181224682,49,0.9759615384615384,2034.224426984787
14,23,37.84493795890701,43.8906617420869,47,1.42876617536401,45.08333613335455,47.7240180711017,50,0.9723557692307693,2039.7291343212128
15,15,37.82884482981589,43.8827610742150,48,1.32615383671306,45.083336200718136,47.7240181101539,48,0.8834134615384616,2087.4150128364563
