,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
0,21,42.80083218,42.47685387,49,1.248471056,53.43560015,51.06579244,48.46245817,45,0.822265625,41.98964574,531.7836788,,125,125
1,9,42.7121808,42.41790671,45,1.319043696,56.33923283,51.06579262,48.46245832,48,0.937890625,47.89412816,552.0816362,,100,100
2,7,42.78589789,42.46691728,52,1.358632757,58.13032241,51.06579249,48.46245821,48,0.925,47.23585805,695.5941155,,,
3,23,42.74587812,42.44030254,44,1.307296476,55.88153583,51.06579245,48.46245818,47,0.9546875,48.75187373,752.8096049,,Average Custom Embedding Calculated,Average Standard Embedding Calculated
4,16,42.70103694,42.41050319,50,1.354958052,57.85811383,51.06579243,48.46245816,51,0.955859375,48.81171644,760.4462845,,51.96,49.688
5,5,42.78047613,42.46331053,53,1.512516127,64.70616007,51.06579246,48.46245818,49,1.065625,54.41698509,838.9246066,,Standard Deviation Custom Embedding Calculated,Standard Deviation Standard Embedding Calculated
6,2,42.69195253,42.40446893,45,1.141818781,48.7464732,51.0657925,48.46245822,45,0.78515625,40.09462614,872.6924484,,4.809935953,4.556838179
7,0,42.73273591,42.43156644,48,1.350366418,57.70485152,51.06579246,48.46245819,38,0.965234375,49.29045827,901.3656194,,,
8,8,42.69430806,42.40603349,51,1.481205809,63.23905711,51.06579246,48.46245819,51,1.015625,51.86369547,909.8093805,,Average Custom Embedding Norm,Average Standard Embedding Norm
9,1,42.80257762,42.47801538,54,1.408734237,60.29745653,51.06579238,48.46245812,48,1.0109375,51.62432448,924.3532314,,1.485262924,0.989346875
10,3,42.71189564,42.41771725,46,1.200409483,51.27176456,51.06579236,48.46245811,48,0.860546875,43.94450803,965.7969568,,Standard Deviation Custom Embedding Norm,Standard Deviation Standard Embedding Norm
11,13,42.71868016,42.42222528,54,1.274699943,54.45349916,51.06579242,48.46245815,45,0.846875,43.24634296,986.1781268,,0.17220192,0.094415701
12,15,42.6937554,42.4056664,51,1.362004405,58.14908292,51.06579237,48.46245812,50,0.90078125,45.99910828,990.3701217,,,
13,11,42.58906785,42.33619542,56,1.568318016,66.79320239,51.06579244,48.46245817,46,0.99765625,50.94610699,995.5291772,,Average Predicted Custom Embedding Hardness,Average Predicted Standard Embedding Hardness
14,22,42.56860616,42.32263193,54,1.523450591,64.85116821,51.06579248,48.4624582,55,0.9984375,50.98600218,1040.331946,,42.72624811,51.06579247
15,12,42.78437432,42.46590371,48,1.517184303,64.91178113,51.06579251,48.46245823,53,0.9734375,49.7093574,1051.235413,,Standard Deviation Predicted Custom Embedding Hardness,Standard Deviation Predicted Standard Embedding Hardness
16,17,42.73658022,42.43412169,47,1.415681229,60.50137441,51.06579244,48.46245817,54,0.97421875,49.74925248,1286.732971,,0.070294215,6.03294E-08
17,20,42.69209586,42.40456413,52,1.485438904,63.41650008,51.06579246,48.46245819,53,0.989453125,50.52720793,1292.655746,,,
18,10,42.75564152,42.4467939,55,1.210383904,51.7507403,51.06579249,48.46245821,40,0.818359375,41.79017003,1334.178709,,Average Custom Embedding Scaled Predicted Hardness,Average Standard Embedding Scaled Predicted Hardness
19,4,42.70492302,42.41308477,49,1.498575212,63.99653907,51.06579243,48.46245816,56,1.06640625,54.45688021,1395.581114,,63.45867861,50.5217822
20,14,42.78066833,42.46343838,53,1.450239698,62.04222352,51.06579245,48.46245818,50,0.9703125,49.54977674,1400.674625,,Standard Deviation Custom Embedding Scaled Predicted Hardness,Standard Deviation Standard Embedding Scaled Predicted Hardness
21,31,42.63635302,42.36755821,50,1.421861465,60.62298737,51.06579241,48.46245815,46,0.91953125,46.95659193,543.9224081,,7.348327593,4.821412606
22,33,42.81636612,42.48719213,50,1.486169131,63.63236163,51.0657925,48.46245822,52,1.01953125,52.06317126,643.4511211,,,
23,6,42.70484042,42.4130299,55,1.58116736,67.52349979,51.06579242,48.46245815,43,0.97421875,49.74925246,1635.127505,,,
24,35,42.76743504,42.45463647,47,1.672686002,71.53648993,51.06579264,48.46245833,49,1.064453125,54.35714256,700.9882283,,,
25,25,42.7405211,42.43674129,53,1.487578746,63.57989078,51.06579242,48.46245816,57,0.946875,48.3529222,1145.658614,,,
26,29,42.70665443,42.41423504,57,1.654588502,70.66193938,51.06579254,48.46245825,50,1.052734375,53.75871519,1024.502479,,,
27,38,42.69074512,42.40366699,52,1.484388416,63.36964753,51.06579241,48.46245815,53,1.058203125,54.03798111,865.5408807,,,
