,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
0,5,43.05560463,50.01589393,1,1.612478832,69.42625106,49.4000167,53.53118823,1,1.067708333,52.74480948,1114.577921,,83,62
1,3,43.02509842,50.00049237,1,1.263230271,54.35060674,49.40001668,53.53118821,1,0.9140625,45.15470275,1143.2001,,41.5,31
2,10,43.02930265,50.00261417,1,1.252195939,53.88111804,49.40001659,53.53118816,1,0.895833333,44.25418151,1153.695431,,,
3,12,43.02460455,50.00024314,1,1.490972993,64.14852342,49.40001669,53.53118821,1,0.9609375,47.47032854,1316.177264,,Average Custom Embedding Calculated,Average Standard Embedding Calculated
4,6,43.07141308,50.02388022,1,1.417895045,61.07074319,49.40001663,53.53118818,1,0.9453125,46.69845322,1445.54511,,56.03614458,54.0483871
5,19,43.0915992,50.03408317,1,1.840826324,79.32415015,49.40001666,53.5311882,1,0.971354167,47.98491203,1482.009118,,Standard Deviation Custom Embedding Calculated,Standard Deviation Standard Embedding Calculated
6,18,43.06313453,50.01969753,1,1.583943631,68.20957767,49.40001651,53.53118811,1,1.119791667,55.31772684,1483.570021,,2.761376395,3.308968358
7,16,43.05841893,50.01731544,1,1.3659037,58.81365373,49.40001665,53.53118819,1,0.888020833,43.86824394,1865.629947,,,
8,0,43.06485667,50.02056756,1,1.438485719,61.94818131,49.40001663,53.53118818,1,0.924479167,45.66928622,2411.805855,,Average Custom Embedding Norm,Average Standard Embedding Norm
9,21,43.05321079,50.01468489,1,1.450054495,62.42950183,49.40001665,53.5311882,1,0.9765625,48.24220376,1478.386951,,1.523371696,0.992775538
10,7,43.09692715,50.03677711,1,1.327300906,57.20259045,49.40001655,53.53118814,53,0.9453125,46.69845314,3230.996085,,Standard Deviation Custom Embedding Norm,Standard Deviation Standard Embedding Norm
11,24,43.10519155,50.04095656,1,1.737682976,74.90315753,49.40001671,53.53118823,1,1.205729167,59.563041,2222.064501,,0.154231018,0.080169566
12,11,43.03332946,50.00464666,53,1.474330344,63.44534343,49.40001663,53.53118818,1,0.971354167,47.984912,3745.104108,,,
13,15,43.04060134,50.00831764,55,1.355871797,58.35753748,49.40001656,53.53118814,1,0.955729167,47.21303668,4218.238949,,Average Predicted Custom Embedding Hardness,Average Predicted Standard Embedding Hardness
14,29,43.02889871,50.0024103,1,1.714912635,73.79080207,49.4000165,53.5311881,1,1.0390625,51.32970464,1609.255321,,43.0526021,49.40001662
15,17,43.02577638,50.00083451,1,1.490381003,64.12479976,49.40001672,53.53118824,55,1.044270833,51.58699661,4854.112592,,Standard Deviation Predicted Custom Embedding Hardness,Standard Deviation Predicted Standard Embedding Hardness
16,14,43.02296443,49.99941548,55,1.427546387,61.41727743,49.40001661,53.53118817,1,0.893229167,44.12553569,4960.964932,,0.033328343,5.81077E-08
17,9,43.08916847,50.03285427,57,1.378490356,59.39800318,49.40001676,53.53118826,1,0.919270833,45.41199456,5094.809634,,,
18,31,43.02770515,50.00180791,1,1.431603155,61.59859845,49.40001657,53.53118815,1,0.940104167,46.44116143,1454.648832,,Average Custom Embedding Scaled Predicted Hardness,Average Standard Embedding Scaled Predicted Hardness
19,32,43.08403634,50.0302599,1,1.331285823,57.35716678,49.40001662,53.53118817,1,0.9375,46.31251558,1416.801978,,63.97813726,48.97805815
20,2,43.07549625,50.02594358,53,1.301298107,56.05406173,49.40001665,53.5311882,55,0.901041667,44.51147335,5342.333378,,Standard Deviation Custom Embedding Scaled Predicted Hardness,Standard Deviation Standard Embedding Scaled Predicted Hardness
21,28,43.0810481,50.02874947,1,1.650802411,71.11829807,49.40001664,53.53118819,54,1.049479167,51.84428831,3175.255939,,6.169917589,3.94600671
22,8,43.0362666,50.00612929,57,1.576176703,67.8327608,49.40001664,53.53118819,1,0.994791667,49.1427249,5708.555248,,,
23,33,43.07518913,50.02578837,1,1.505117073,64.83320258,49.40001652,53.53118811,1,1.0546875,52.10157992,1559.440834,,,
24,20,43.04553675,50.01080955,1,1.599512996,68.85189545,49.40001661,53.53118817,57,1.080729167,53.3880388,4874.226558,,,
25,25,42.99232808,49.98397005,55,1.357250065,58.35134008,49.4000166,53.53118816,1,0.916666667,45.28334857,4843.798405,,,
26,38,43.04733681,50.0117185,1,1.625946897,69.99268371,49.40001663,53.53118818,1,1.0390625,51.32970478,1230.640986,,,
27,1,43.0820005,50.02923086,59,1.570481176,67.65947081,49.40001656,53.53118814,1,1.057291667,52.23022586,6633.988687,,,
28,39,43.01359365,49.99468738,1,1.694318713,72.87873663,49.40001661,53.53118817,1,1.0234375,50.5578295,1992.176485,,,
29,44,43.08888491,50.03271092,1,1.475913339,63.59546,49.40001658,53.53118815,1,0.947916667,46.82709907,1507.268683,,,
30,30,43.07055327,50.02344577,53,1.557708845,67.09138179,49.40001653,53.53118812,1,1.015625,50.17189179,4304.719831,,,
31,4,43.03263131,50.00429426,1,1.603134598,68.9871001,49.40001659,53.53118816,59,1.09375,54.03126815,7601.228885,,,
32,42,43.07162181,50.02398569,1,1.519697882,65.45585244,49.40001657,53.53118814,1,0.947916667,46.82709906,2052.876769,,,
33,13,43.05231868,50.01423434,59,1.388017455,59.75736981,49.40001663,53.53118818,1,0.875,43.22501455,7841.477404,,,
34,43,43.03941427,50.00771834,1,1.81719145,78.21085562,49.40001662,53.53118817,1,1.1640625,57.50470685,2209.763139,,,
35,50,43.0897297,50.03313801,1,1.492040866,64.29163762,49.40001662,53.53118817,1,0.96875,47.8562661,1157.480317,,,
36,23,43.0700417,50.02318728,56,1.526324695,65.73886826,49.40001669,53.53118822,53,0.9609375,47.47032854,7431.640634,,,
37,41,43.03060606,50.00327202,53,1.257459872,54.10926039,49.40001654,53.53118813,1,0.8671875,42.83907684,3363.101556,,,
38,49,43.03174951,50.00384917,1,1.561289399,67.18501433,49.40001667,53.5311882,1,1.0390625,51.32970482,1608.349272,,,
39,35,43.0449459,50.01051121,54,1.698790212,73.12433277,49.40001653,53.53118812,1,1.111979167,54.93178923,4413.259523,,,
40,51,43.06533635,50.0208099,1,1.383995753,59.60224261,49.4000166,53.53118816,1,1.010416667,49.91460012,1782.576407,,,
41,34,43.03740944,50.00670622,56,1.767885665,76.08521921,49.40001654,53.53118812,1,1.166666667,57.63335265,5700.981071,,,
42,46,43.09480188,50.03570247,1,1.170507671,50.44279618,49.40001667,53.53118821,52,0.875,43.22501459,3580.535528,,,
43,57,43.0539173,50.01504171,1,1.377087439,59.28900871,49.40001649,53.5311881,1,0.919270833,45.41199431,1240.320923,,,
44,22,43.04898467,50.01255063,57,1.649621139,71.01451512,49.40001657,53.53118815,54,1.049479167,51.84428824,9149.728561,,,
45,59,43.07251485,50.02443696,1,1.43230683,61.6930572,49.40001665,53.53118819,1,0.96875,47.85626613,1259.413574,,,
46,56,43.08073647,50.02859197,1,1.51199437,65.137831,49.4000166,53.53118816,1,1.005208333,49.65730834,2041.699686,,,
47,52,43.05986392,50.01804534,1,1.479479255,63.70617539,49.40001665,53.53118819,51,1.0546875,52.10158006,3334.090455,,,
48,60,43.05181164,50.01397827,1,1.577417721,67.9106906,49.40001664,53.53118818,1,1.002604167,49.52866253,1749.092269,,,
49,26,43.03966315,50.00784398,60,1.59720879,68.7433283,49.40001657,53.53118815,1,1.041666667,51.45835061,9946.344459,,,
50,55,43.02264276,49.99925315,1,1.350815919,58.11567072,49.40001668,53.53118821,50,0.880208333,43.48230633,2837.389897,,,
51,64,43.11016182,50.04347058,1,1.310809076,56.50919138,49.40001666,53.5311882,1,0.8671875,42.83907695,1278.962197,,,
52,47,43.04823385,50.01217148,58,1.697150704,73.05934038,49.40001661,53.53118817,1,1.072916667,53.00210117,5077.134661,,,
53,58,43.05298715,50.01457194,1,1.411754427,60.7802452,49.40001661,53.53118817,1,0.950520833,46.95574494,2708.572272,,,
54,54,42.99447941,49.98505258,1,1.338779177,57.56011376,49.40001665,53.5311882,50,0.872395833,43.09636868,3876.392865,,,
55,53,43.04450889,50.01029055,1,1.432726435,61.67100577,49.40001661,53.53118817,53,0.953125,47.08439083,4053.332711,,,
56,40,43.04574312,50.01091376,57,1.519324091,65.40043454,49.40001665,53.5311882,48,0.927083333,45.79793209,6634.88807,,,
57,67,43.10505711,50.04088857,1,1.374289975,59.23884786,49.40001665,53.53118819,1,1.049479167,51.84428832,1118.445878,,,
58,66,43.0169294,49.99637032,1,1.176761786,50.62067867,49.40001666,53.5311882,45,0.8671875,42.83907695,1674.131394,,,
59,68,43.02706691,50.0014858,1,1.655587153,71.23505921,49.40001655,53.53118813,1,1.015625,50.17189181,1383.002183,,,
60,45,43.04160996,50.00882687,57,1.611579845,69.36499111,49.40001654,53.53118813,1,1.171875,57.89064438,6208.74587,,,
61,72,43.05214673,50.0141475,1,1.299337088,55.93925096,49.40001657,53.53118814,1,0.932291667,46.0552238,1109.220544,,,
62,70,43.03537826,50.00568086,1,1.470194061,63.27035753,49.40001663,53.53118818,1,1.065104167,52.61616356,1777.458441,,,
63,73,43.04169623,50.00887043,1,1.345478498,57.91167679,49.40001668,53.53118821,1,0.9765625,48.24220379,1714.7557,,,
64,37,43.06568626,50.02098668,60,1.687523224,72.67434572,49.40001674,53.53118825,1,1.067708333,52.74480952,8774.070338,,,
65,69,43.02922391,50.00257443,1,1.284437649,55.2683552,49.40001656,53.53118814,1,0.875,43.22501449,2479.823468,,,
66,78,43.00147824,49.9885763,1,1.582422256,68.04649621,49.40001669,53.53118822,1,1.083333333,53.51668473,1511.610814,,,
67,81,43.02438995,50.00013484,1,1.426720351,61.38377273,49.40001671,53.53118823,1,0.90625,44.76876514,1255.820523,,,
68,80,42.99754173,49.98659364,1,1.568630616,67.44726037,49.40001668,53.53118821,1,1.03125,50.9437672,2015.958467,,,
69,76,43.03785029,50.00692877,52,1.436932946,61.84250501,49.40001669,53.53118821,1,1.044270833,51.58699658,2782.617861,,,
70,62,43.02675389,50.00132782,52,1.531674108,65.90296488,49.40001659,53.53118816,51,1.078125,53.25939289,4890.624434,,,
71,86,43.01686666,49.99633866,1,1.538640635,66.18749903,49.40001667,53.53118821,1,0.9921875,49.01407904,1074.295942,,,
72,27,43.05854947,50.01738137,53,1.689429622,72.74438895,49.40001657,53.53118814,59,1.166666667,57.63335268,13188.95245,,,
73,61,43.00765571,49.99169199,1,1.445915604,62.18544048,49.40001664,53.53118819,56,1.015625,50.1718919,5473.132242,,,
74,74,43.08212231,50.02929243,1,1.375094853,59.24200464,49.40001659,53.53118816,54,0.9375,46.31251555,3914.252883,,,
75,36,43.12771305,50.05235096,58,1.406866261,60.6749244,49.40001659,53.53118816,55,0.986979167,48.75678722,10990.56574,,,
76,65,43.05735809,50.01677959,51,1.263251147,54.39225699,49.40001662,53.53118817,52,0.875,43.22501454,5594.377403,,,
77,91,43.1461557,50.06168703,1,1.587461235,68.49284961,49.4000167,53.53118822,1,1.013020833,50.04324607,1317.102698,,,
78,88,43.04075487,50.00839516,1,1.57273262,67.69159917,49.40001666,53.5311882,1,1.065104167,52.61616359,2010.532062,,,
79,79,43.09557169,50.03609172,1,1.330870793,57.35463767,49.40001661,53.53118817,55,0.869791667,42.9677228,4248.12825,,,
80,63,43.04026749,50.00814909,58,1.654246108,71.19919498,49.40001658,53.53118815,1,1.0234375,50.55782947,6866.55227,,,
81,83,43.05951968,50.01787146,54,1.619897483,69.75200755,49.40001663,53.53118818,1,1.0234375,50.55782952,3545.491178,,,
82,94,43.09953441,50.03809554,1,1.130441862,48.72151793,49.40001652,53.53118811,1,0.817708333,40.39480516,1771.714182,,,
83,98,43.04516779,50.01062325,1,1.405239528,60.48877127,49.40001655,53.53118813,1,0.997395833,49.27137066,1165.968527,,,
84,75,43.04633665,50.01121346,1,1.410335462,60.70977509,49.40001661,53.53118817,57,0.96875,47.85626609,5956.004602,,,
85,85,43.02421192,50.000045,1,1.300432818,55.95009715,49.40001668,53.53118821,53,0.848958333,41.93855581,3972.672428,,,
86,100,43.04713281,50.01161548,1,1.634211398,70.34811509,49.40001659,53.53118816,1,1.104166667,54.54585167,1371.210041,,,
87,48,42.97925923,49.97739527,57,1.477977999,63.52239956,49.40001664,53.53118819,58,1.046875,51.71564242,11461.4809,,,
88,84,43.10479455,50.04075577,55,1.556464734,67.09109258,49.40001665,53.53118819,1,1.0078125,49.78595428,4915.622522,,,
89,95,43.06641729,50.02135601,1,1.800147015,77.52588253,49.40001661,53.53118817,1,1.075520833,53.13074701,2875.307479,,,
90,82,43.04642868,50.01125993,56,1.533486327,66.01110981,49.40001658,53.53118815,1,1.106770833,54.6744975,5715.315227,,,
91,97,43.11221761,50.04451053,1,1.640225086,70.71374084,49.40001669,53.53118822,1,1.114583333,55.06043525,2852.353073,,,
92,105,42.99449336,49.9850596,1,1.464926287,62.98376352,49.40001674,53.53118825,1,1.026041667,50.68647553,1400.836493,,,
93,93,43.01994086,49.99788978,53,1.330426318,57.23486152,49.40001665,53.53118819,1,0.924479167,45.66928624,4330.697137,,,
94,102,43.06198686,50.01911776,1,1.42745844,61.46919659,49.40001661,53.53118817,1,0.989583333,48.88543309,2238.171378,,,
95,108,43.13510508,50.0560924,1,1.428861175,61.63407693,49.40001675,53.53118825,1,0.953125,47.08439096,1039.414176,,,
96,77,43.03059851,50.00326822,54,1.444201695,62.14486331,49.40001661,53.53118817,55,0.981770833,48.49949546,8427.107902,,,
97,112,43.03513826,50.0055597,1,1.303400863,56.09203635,49.40001673,53.53118824,1,0.919270833,45.41199453,1460.77863,,,
98,113,43.05544703,50.01581433,1,1.537255815,66.18723631,49.40001659,53.53118815,1,1.028645833,50.81512122,1577.159919,,,
99,71,42.99243332,49.984023,1,1.587531565,68.25184495,49.40001662,53.53118818,59,1.078125,53.25939292,9800.376646,,,
100,99,43.03396294,50.00496642,56,1.538071496,66.18931176,49.4000167,53.53118822,1,1.059895833,52.35887185,4739.458346,,,
101,96,43.03851829,50.007266,1,1.522120379,65.50980577,49.40001668,53.53118821,57,1.057291667,52.23022599,5386.380318,,,
102,116,43.10536989,50.04104677,1,1.505416438,64.8915324,49.40001665,53.5311882,1,1.0078125,49.78595428,1711.267608,,,
103,110,43.1073999,50.04207353,1,1.370968611,59.09889216,49.4000166,53.53118816,52,0.955729167,47.21303671,3462.846251,,,
104,119,43.08661124,50.03156151,1,1.488048573,64.11497037,49.40001662,53.53118817,1,0.911458333,45.0260568,1564.440642,,,
105,120,43.08145032,50.02895277,1,1.306078771,56.26776769,49.40001667,53.53118821,1,0.984375,48.62814141,1474.085974,,,
106,118,43.13660614,50.05685224,1,1.443397758,62.26328059,49.40001661,53.53118817,1,0.895833333,44.25418153,1678.523968,,,
107,104,42.99934565,49.98750148,54,1.272887215,54.73331733,49.4000167,53.53118822,1,0.8359375,41.29532646,5396.37623,,,
108,106,43.02251862,49.99919051,54,1.41854688,61.02945956,49.40001668,53.53118821,1,1.0078125,49.78595431,4924.784739,,,
109,101,43.02073212,49.99828904,52,1.371400782,58.99866567,49.40001664,53.53118819,54,0.971354167,47.98491201,6299.346955,,,
110,107,43.07638729,50.02639388,56,1.67756505,72.2634418,49.40001663,53.53118818,1,1.104166667,54.54585171,5263.724962,,,
111,103,43.05369491,50.01492939,58,1.401864917,60.35546444,49.40001659,53.53118816,48,0.872395833,43.09636862,6228.412987,,,
112,89,43.01238152,49.99407589,59,1.551133583,66.71794946,49.40001648,53.53118809,1,0.911458333,45.02605667,9245.702791,,,
113,117,43.10044509,50.03855608,1,1.620964738,69.86430168,49.40001653,53.53118812,53,0.9921875,49.0140789,3437.624874,,,
114,114,43.0199393,49.99788899,56,1.34159376,57.71528212,49.40001661,53.53118817,1,0.9453125,46.6984532,4554.758069,,,
115,127,43.04430908,50.01018966,1,1.620045075,69.73372093,49.40001663,53.53118818,1,1.046875,51.71564241,1431.021202,,,
116,92,43.01326702,49.99452261,54,1.54622728,66.50828687,49.40001654,53.53118813,57,1.046875,51.71564232,9735.663001,,,
117,122,42.9914376,49.98352198,1,1.49692438,64.35493107,49.40001652,53.53118812,1,0.9453125,46.69845312,2600.562307,,,
