,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Actual Results EBDD Calculated,Actual Results Kannan Calculated
56,56,34.09730677,35.32639138,45,1.788000181,43.07452578,41.05994409,44,1.165895062,262.9500947,,,
57,59,34.10955702,35.33319002,43,1.397902199,43.07452597,41.05994423,38,0.984182099,242.8221972,,,
58,64,34.22109927,35.39516464,41,1.106362789,43.07452595,41.05994422,39,0.807484568,244.9321337,,,
59,46,33.91520161,35.22591643,42,1.18868838,43.07452592,41.0599442,41,0.872685185,583.6437624,,,
60,62,34.10043253,35.32812597,48,1.747573022,43.07452584,41.05994414,42,1.176311728,301.8373594,,,
61,66,34.05428456,35.30252719,39,1.13433413,43.07452589,41.05994417,40,0.800154321,234.8635681,,,
62,63,34.0024098,35.27377795,39,1.545411037,43.07452604,41.05994428,49,1.076388889,319.9197109,,,
63,69,33.95037611,35.24520687,34,1.217065533,43.07452592,41.05994419,40,0.783950617,245.260663,,,
64,47,33.98953177,35.2666955,51,1.336627512,43.07452597,41.05994423,40,0.942901235,650.4387527,,,
65,72,33.98709052,35.26535528,47,1.252944025,43.07452596,41.05994423,45,0.831790123,308.9493825,,,
66,68,34.00992916,35.27794349,49,1.861823082,43.07452586,41.05994415,43,1.06095679,338.2426088,,,
67,65,34.12185218,35.34001513,31,1.108087663,43.07452585,41.05994415,35,0.850308642,421.911521,,,
68,79,34.10413404,35.33018018,41,1.479842879,43.0745259,41.05994418,32,1.012345679,249.9324012,,,
69,81,34.01142771,35.27877372,36,1.339983262,43.074526,41.05994425,38,0.913194444,244.8630896,,,
70,71,34.06355487,35.30766777,51,1.637298578,43.07452594,41.05994421,35,1.023919753,338.8334939,,,
71,67,34.09709432,35.32627349,47,1.42549033,43.07452595,41.05994422,39,0.910493827,390.2596991,,,
72,80,33.79189226,35.15839086,45,1.518419845,43.07452589,41.05994417,45,1.042824074,271.4634137,,,
73,75,34.10066008,35.32825224,50,1.651312346,43.07452584,41.05994414,38,1.072145062,333.0284722,,,
74,70,33.94448546,35.24197544,42,1.542853803,43.07452583,41.05994413,39,1.041280864,470.07884,,,
75,82,34.02299357,35.28518225,48,1.538948219,43.07452597,41.05994423,42,1.103395062,314.0286047,,,
76,60,33.97813519,35.26043944,46,1.674704081,43.07452587,41.05994416,47,1.049768519,615.127322,,,
77,83,34.04490757,35.29732836,41,1.584375011,43.07452586,41.05994415,40,1.06867284,306.8688023,,,
78,85,33.94180916,35.24050741,47,1.262845662,43.07452595,41.05994422,40,0.804783951,296.8129864,,,
79,84,34.08711409,35.32073583,47,1.580748459,43.0745259,41.05994418,42,0.96257716,319.4798329,,,
80,87,33.78852314,35.15654807,45,1.680818022,43.07452594,41.05994421,37,1.075231481,277.6218791,,,
81,61,33.88784331,35.2109213,42,1.50036076,43.07452597,41.05994423,37,0.980324074,644.8752046,,,
82,86,33.96843329,35.25511471,47,1.410025915,43.07452583,41.05994413,33,0.985725309,295.6741209,,,
83,78,33.91832337,35.22762796,44,1.421729527,43.07452584,41.05994414,39,0.954475309,451.6311288,,,
84,94,33.9801814,35.26156259,41,1.168538035,43.07452588,41.05994417,33,0.799768519,213.5178025,,,
85,92,34.05709663,35.30408644,39,1.339262832,43.07452595,41.05994422,35,0.947145062,241.2568693,,,
86,89,34.00572183,35.27561266,43,1.468409273,43.07452586,41.05994415,44,1.078317901,275.8371508,,,
87,74,34.05223217,35.30138922,41,1.15949963,43.07452597,41.05994423,45,0.886188272,588.7489374,,,
88,77,34.02119077,35.28418324,44,1.320799086,43.07452587,41.05994416,34,0.853780864,586.872673,,,
89,90,34.03993463,35.29457161,51,1.741199468,43.07452591,41.05994419,43,1.029320988,358.883091,,,
90,96,33.9755618,35.25902699,49,1.634211065,43.07452591,41.05994419,36,1.051697531,338.9666064,,,
91,95,34.11387307,35.3355857,45,1.755804288,43.07452585,41.05994414,48,1.09220679,376.5892613,,,
92,93,33.97021456,35.25609226,51,1.602672886,43.07452584,41.05994414,41,0.959490741,403.3856161,,,
93,97,34.2114781,35.38981394,48,1.563758854,43.07452593,41.0599442,47,1.121141975,361.7231064,,,
94,99,34.08767671,35.32104798,44,1.617045552,43.07452586,41.05994415,43,1.005015432,286.0344129,,,
95,103,33.96622522,35.25390298,39,1.321989388,43.07452586,41.05994415,42,0.990740741,270.279372,,,
96,73,33.97108948,35.25657242,48,1.431917446,43.07452586,41.05994415,43,0.892361111,762.5354965,,,
97,102,33.89260794,35.21353225,35,1.318907317,43.07452594,41.05994421,48,0.927083333,312.5118721,,,
98,104,33.90184537,35.2185949,44,1.288491409,43.07452581,41.05994412,38,0.896604938,293.6056104,,,
99,108,34.15210314,35.35681424,42,1.302710998,43.07452592,41.05994419,45,0.907407407,260.1543932,,,
100,110,34.01370465,35.28003524,41,1.389298813,43.07452591,41.05994419,40,0.878858025,260.071903,,,
101,101,34.13736179,35.34862683,49,1.425705772,43.07452586,41.05994415,47,0.946759259,385.8926232,,,
102,88,33.95368228,35.24702069,46,1.59666238,43.07452583,41.05994413,50,1.146990741,687.6509931,,,
103,114,33.91417708,35.22535475,43,1.423493005,43.0745259,41.05994418,43,0.895447531,246.0269673,,,
104,100,33.96468313,35.25305675,39,1.654532344,43.07452584,41.05994414,46,1.06558642,487.0038943,,,
105,106,34.06450637,35.30819544,43,1.490170533,43.07452591,41.05994419,40,1.012731481,446.5975513,,,
106,116,34.00312637,35.27417489,40,1.440692407,43.074526,41.05994426,35,1.001929012,222.670315,,,
107,118,33.94634841,35.24299735,37,1.612279483,43.07452591,41.05994419,32,0.97337963,224.7287109,,,
108,113,34.0000471,35.27246919,45,1.454895838,43.07452589,41.05994418,47,1.03125,315.3591599,,,
109,115,33.85171304,35.19112995,40,1.44532723,43.07452597,41.05994424,47,0.988425926,276.9342537,,,
110,107,34.06979248,35.31112715,46,1.434970042,43.07452581,41.05994412,44,1.012345679,477.3832932,,,
111,105,34.06188289,35.30674055,33,1.251593466,43.07452588,41.05994417,38,0.834104938,503.8662453,,,
112,119,34.18873661,35.3771703,44,1.291508488,43.07452593,41.05994421,44,0.972993827,246.0993838,,,
113,76,33.92155443,35.22939952,52,1.742014168,43.07452598,41.05994424,41,1.005787037,959.8575835,,,
114,123,33.95660554,35.24862454,44,1.47185677,43.0745258,41.05994411,41,0.933641975,240.3053908,,,
115,112,34.10118494,35.32854352,43,1.409193465,43.0745259,41.05994418,38,0.90007716,420.5181432,,,
116,91,34.29565452,35.43665973,45,1.503759994,43.07452588,41.05994417,45,1.117283951,741.4149208,,,
117,98,33.90936721,35.22271794,53,1.512745213,43.07452589,41.05994418,42,1.023919753,632.8404934,,,
118,121,33.94106874,35.24010129,46,1.710029404,43.07452593,41.0599442,46,1.036265432,304.913842,,,
119,120,34.02760277,35.28773654,45,1.449801357,43.07452591,41.05994419,42,0.888888889,311.7126672,,,
120,124,34.08784187,35.32113961,43,1.641067923,43.07452591,41.05994419,46,1.03742284,260.9557579,,,
121,109,33.87176926,35.20211464,56,1.817198893,43.07452586,41.05994415,38,1.079475309,538.4455919,,,
122,122,33.94097925,35.2400522,49,1.353345003,43.07452591,41.05994419,44,0.90162037,321.6524179,,,
123,111,33.90204719,35.21870551,49,1.774515994,43.07452593,41.0599442,51,1.062885802,600.5479739,,,
124,117,34.10080521,35.32833279,54,1.836261476,43.074526,41.05994425,52,1.16242284,576.6147935,,,
