,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Actual Results EBDD Calculated,Actual Results Kannan Calculated
0,14,33.96581848,35.25367978,43,1.52695572,43.07452602,41.05994427,39,0.997299383,213.0486388,,125,125
1,15,34.01079362,35.27842242,44,1.257925168,43.07452597,41.05994423,36,0.857253086,233.6547942,,100,100
2,13,34.1280919,35.34347944,43,1.40247036,43.07452592,41.05994419,41,0.895447531,234.232873,,,
3,6,33.96019976,35.25059662,43,1.561944466,43.07452593,41.0599442,40,0.97029321,235.6353168,,Average EBDD Calculated,Average Kannan Calculated
4,22,33.98796175,35.26583357,45,1.365595565,43.07452581,41.05994411,38,0.994212963,238.8396921,,44.576,42.056
5,4,33.91261792,35.22449998,41,1.704596657,43.07452592,41.05994419,44,1.055555556,239.8203342,,Standard Deviation EBDD Calculated,Standard Deviation Kannan Calculated
6,12,33.93753384,35.23816243,46,1.484468513,43.0745258,41.05994411,45,0.991898148,270.8351729,,5.257016644,4.639489627
7,19,34.01794018,35.28238204,48,1.545770458,43.07452588,41.05994417,42,1.076003086,274.185463,,,
8,16,34.01504786,35.28077946,42,1.359283882,43.07452603,41.05994428,48,0.966049383,282.6643138,,,
9,23,33.88213463,35.20779332,52,1.545258836,43.07452591,41.05994419,39,1.011959877,349.0782387,,,
10,3,34.06499101,35.30846421,40,1.091972674,43.07452587,41.05994416,36,0.833333333,357.5626519,,,
11,8,34.01840904,35.28264184,45,1.450590899,43.07452593,41.0599442,52,1.078703704,364.3421185,,,
12,5,33.93725929,35.23801185,47,1.542388087,43.07452599,41.05994425,40,1.051697531,395.9764109,,,
13,17,34.14644307,35.35367035,40,1.33037963,43.07452585,41.05994415,49,0.988425926,459.4898357,,,
14,26,34.11490174,35.33615672,43,1.69323218,43.07452587,41.05994416,45,1.062114198,233.0866807,,,
15,7,34.05201312,35.30126776,44,1.48738885,43.07452589,41.05994417,37,0.923611111,472.6731358,,,
16,25,34.00694689,35.27629132,47,1.614061243,43.07452594,41.05994421,35,0.951774691,246.0987549,,,
17,29,33.90374437,35.21963576,46,1.558780656,43.07452589,41.05994418,43,1.023533951,252.4429655,,,
18,30,33.84636152,35.18819964,37,1.541109776,43.0745258,41.05994411,36,1.031635802,227.2079713,,,
19,9,34.07957173,35.31655154,32,1.371909988,43.074526,41.05994426,47,0.918981481,499.0588527,,,
20,31,34.10180618,35.32888828,41,1.309006459,43.07452595,41.05994422,43,0.863040123,228.8558176,,,
21,11,33.98574993,35.26461934,46,1.576209526,43.07452585,41.05994414,42,0.995756173,504.5375764,,,
22,33,34.00072714,35.27284588,41,1.52436143,43.07452589,41.05994417,44,1.048611111,232.1254368,,,
23,2,34.01452109,35.28048759,48,1.268201952,43.07452579,41.0599441,41,0.794753086,583.3048654,,,
24,21,34.01005414,35.27801274,37,1.282920551,43.07452582,41.05994413,43,0.884259259,586.9648743,,,
