,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Actual Results EBDD Calculated,Actual Results Kannan Calculated
0,6,30.56207817,42.04914475,44,1.462127731,37.85415099,45.19344389,41,0.984375,1441.676384,,125,125
1,0,30.58276494,42.05736232,47,1.371614039,37.85415094,45.19344387,40,0.959821429,1475.032588,,100,100
2,23,30.58072206,42.05655072,44,1.358821172,37.85415101,45.1934439,45,0.953125,1609.48357,,,
3,13,30.57227947,42.05319685,45,1.333807408,37.85415087,45.19344383,40,0.888392857,1783.18868,,Average EBDD Calculated,Average Kannan Calculated
4,11,30.54256664,42.04139577,46,1.520431565,37.85415084,45.19344382,45,1.082589286,1806.207504,,46.688,44.864
5,7,30.58284951,42.05739592,45,1.340362672,37.85415101,45.19344389,43,0.970982143,1853.480118,,Standard Deviation EBDD Calculated,Standard Deviation Kannan Calculated
6,14,30.50500435,42.02648275,42,1.734701538,37.85415095,45.19344387,42,0.977678571,2007.926535,,3.006487609,2.852118624
7,10,30.53594569,42.03876665,45,1.247978554,37.8541511,45.19344394,43,0.814732143,2167.189151,,,
8,18,30.56426143,42.05001193,43,1.638003045,37.85415097,45.19344388,45,1.174107143,2203.708529,,,
9,21,30.61511073,42.07021512,45,1.272722005,37.85415103,45.19344391,46,0.912946429,2223.763339,,,
10,1,30.55062591,42.04459629,48,1.493315313,37.85415105,45.19344391,45,1.002232143,2226.825689,,,
11,2,30.52519138,42.03449664,47,1.308044385,37.85415099,45.19344389,48,0.872767857,2277.673225,,,
12,19,30.58001559,42.05627007,45,1.42423627,37.854151,45.19344389,48,0.930803571,2327.8079,,,
13,3,30.58608128,42.05867988,50,1.332863321,37.8541511,45.19344394,42,0.859375,2539.400385,,,
14,22,30.51792106,42.03161024,46,1.512761828,37.85415108,45.19344393,47,1.051339286,2550.185522,,,
15,17,30.52725412,42.03531561,40,1.465952283,37.85415098,45.19344388,44,1.011160714,2708.449895,,,
16,15,30.5770969,42.05511057,49,1.37627193,37.8541509,45.19344385,39,0.904017857,2716.064346,,,
17,4,30.52120126,42.03291249,46,1.557932405,37.85415093,45.19344386,51,1.131696429,2859.758036,,,
18,16,30.55945258,42.0481019,50,1.508091354,37.85415097,45.19344388,41,0.912946429,2906.621503,,,
19,8,30.55053262,42.04455924,50,1.543825931,37.85415103,45.19344391,48,1.042410714,2957.760751,,,
20,9,30.6177973,42.07128285,48,1.404452624,37.854151,45.19344389,47,0.868303571,3171.971131,,,
21,5,30.57639027,42.05482985,54,1.590975526,37.85415091,45.19344385,45,1.051339286,3239.700556,,,
22,25,30.52388038,42.03397614,47,1.4068065,37.85415094,45.19344387,48,0.924107143,1845.923204,,,
23,12,30.54174112,42.04106795,51,1.583507459,37.85415099,45.19344389,47,1.078125,3336.092979,,,
24,20,30.53218612,42.03727385,49,1.544344988,37.85415086,45.19344383,49,1.095982143,3367.583612,,,
25,24,30.56152368,42.04892451,45,1.738971503,37.85415093,45.19344386,47,1.089285714,1938.694824,,,
26,26,30.53281316,42.03752283,44,1.528373348,37.85415086,45.19344383,45,1.046875,1926.589676,,,
27,34,30.54278132,42.04148102,46,1.619405853,37.85415087,45.19344383,44,1.120535714,1410.330348,,,
28,28,30.52529463,42.03453763,44,1.568462553,37.85415089,45.19344384,45,1.002232143,2330.957964,,,
