,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times
0,1,23.340669657669828,39.1726757685710,42,1.60471633133868,30.59902725726363,42.0638236719573,42,1.0029761904761907,2024.6929705142975
1,2,23.325992707187883,39.1634788850316,40,1.45853619801704,30.599027265268802,42.0638236751382,41,0.9047619047619049,2179.7709262371063
2,13,23.28798357856596,39.1396755994423,34,1.29566427026891,30.59902723711679,42.0638236639519,36,0.9017857142857144,2522.871120452881
3,25,23.32984404483459,39.1658919208769,39,1.31908326824136,30.599027287349887,42.0638236839123,42,0.9434523809523812,2610.8326168060303
4,0,23.35379639266662,39.1809038203458,46,1.39518934069624,30.599027315424824,42.0638236950680,39,0.9523809523809526,2753.6237807273865
5,14,23.34169369592898,39.1733175652734,34,1.38728710948343,30.5990272272112,42.0638236600158,37,0.8809523809523812,2932.586914539337
6,40,23.369094108865884,39.1904957421410,43,1.36253697352491,30.59902715878473,42.0638236328261,41,0.9345238095238096,2937.340135574341
7,46,23.331745929373746,39.1670836136628,32,1.20412635463286,30.59902723432492,42.0638236628425,43,0.8660714285714287,2941.848750591278
8,34,23.331663625319464,39.1670320421057,44,1.71243961013235,30.599027190125828,42.0638236452796,44,1.1071428571428574,3081.239043235779
9,11,23.29453155986114,39.1437748451251,42,1.39306866760804,30.599027427852434,42.0638237397419,41,0.9970238095238096,3200.05367064476
10,37,23.34335537917783,39.1743590253510,41,1.53864205232276,30.599027321539015,42.0638236974976,39,1.0297619047619049,3218.0361733436584
11,39,23.366113200319845,39.1886264040252,41,1.60745061764614,30.59902726447321,42.0638236748221,43,1.0714285714285716,3247.557738304138
12,31,23.347227894101223,39.1767862750633,36,1.26555428152882,30.599027235335036,42.0638236632438,40,0.9375000000000001,3251.8282730579376
13,43,23.293725716691398,39.1432703292565,45,1.69892596566504,30.599027295043843,42.0638236869695,41,1.2142857142857144,3252.107254743576
14,6,23.275268885837896,39.1307407484646,41,1.42643885451444,30.59902712882331,42.0638236209207,42,0.9494047619047621,3259.7645604610443
15,7,23.28724990018724,39.1392163305653,39,1.42333225195482,30.59902735537477,42.0638237109425,41,0.9494047619047621,3269.905416727066
16,22,23.35006358312396,39.1785637875801,39,1.49880341124526,30.59902723305113,42.0638236623363,39,1.0714285714285716,3313.639048099518
17,44,23.37970651853827,39.1971518401843,31,1.43398078711464,30.59902722819655,42.0638236604073,36,0.9583333333333335,3324.2360229492188
18,47,23.317029305316726,39.1578637169844,43,1.55289962080412,30.59902726074636,42.0638236733412,44,1.0267857142857144,3336.169599533081
19,4,23.356737067483206,39.1827474160020,44,1.77902935403677,30.5990271920076,42.0638236460274,42,1.1160714285714288,3436.550906896591
20,41,23.31603940306291,39.1572436567894,44,1.28608590197793,30.599027261842124,42.0638236737766,38,0.8541666666666669,3452.1323034763336
21,29,23.30203115786557,39.1484705684597,43,1.58947173808662,30.59902726409639,42.0638236746724,41,1.0535714285714288,3514.346143245697
22,15,23.369324787955996,39.1906404070312,45,1.48667597661876,30.59902725411234,42.0638236707051,41,0.955357142857143,3524.1995038986206
23,8,23.311144508374213,39.1541777685061,41,1.67703665401405,30.59902729123794,42.0638236854572,43,1.0416666666666667,3549.080789089203
24,27,23.30765693252634,39.1519935506085,42,1.68338761963352,30.599027224699068,42.0638236590176,42,1.1458333333333335,3668.712817668915
25,16,23.29882327919399,39.1464619232429,41,1.40031925244635,30.599027282557373,42.0638236820080,43,0.9196428571428573,3714.2656683921814
26,35,23.319625544320484,39.1594900280785,44,1.52855691758420,30.599027270131167,42.0638236770703,42,1.0892857142857144,3727.4690856933594
27,10,23.335025553309656,39.1691386969306,40,1.22696645321119,30.59902724905896,42.0638236686972,40,0.8482142857142858,3756.023704767227
28,18,23.328302831771516,39.1649262567584,45,1.75566802913168,30.599027421932156,42.0638237373895,44,1.1964285714285716,3828.824224948883
29,3,23.349592911305734,39.1782687456127,40,1.32160647525507,30.599027193812972,42.0638236467448,45,0.9077380952380953,3851.1457393169403
30,17,23.290837157632737,39.1414619576700,45,1.39594895829084,30.59902722481539,42.0638236590638,44,1.0029761904761907,3891.7901453971863
31,33,23.318189603128324,39.1585905279210,44,1.57075602582427,30.59902733741832,42.0638237038073,39,1.0386904761904763,4044.201220035553
32,32,23.330700273507976,39.1664284148438,43,1.28582618842695,30.599027482042867,42.0638237612748,37,0.836309523809524,4176.191425561905
33,20,23.32811088751891,39.1648059942948,46,1.44336678938316,30.599027206128866,42.0638236516386,44,1.0208333333333335,4273.903011798859
34,49,23.307025475844775,39.1515980966883,43,1.67903141709047,30.599027235462952,42.0638236632946,44,1.0000000000000002,2100.032249212265
35,21,23.318418281763638,39.1587337745193,46,1.37280716686915,30.59902722632941,42.0638236596654,38,0.9345238095238096,4356.589029312134
36,12,23.307952073708833,39.1521783866370,41,1.46151879544397,30.599027374584978,42.0638237185758,40,1.0029761904761907,4359.473313093185
37,9,23.31794978045786,39.1584403013738,43,1.28373437722459,30.599027322457836,42.0638236978626,41,0.9345238095238096,4430.366563796997
