,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times
0,2,45.64297030982408,45.7245676374571,53,1.13283164148966,53.61617021407856,51.5665003286001,48,0.7679924242424244,2094.2957718372345
1,41,45.73430090565387,45.7845921976521,48,1.21373578038166,53.61617027130619,51.5665003758369,43,0.8399621212121214,2355.5276606082916
2,32,45.632662086563364,45.7177995734128,48,1.34666713138462,53.61617030806777,51.5665004061804,50,0.8948863636363639,2430.513394355774
3,0,45.692300327710335,45.7569751199216,52,1.51420700351049,53.616170272878676,51.5665003771348,56,1.0089962121212124,2500.555808544159
4,21,45.75278683745038,45.7967546553027,55,1.40248560882372,53.61617026582469,51.5665003713123,49,0.8702651515151517,2505.9338393211365
5,9,45.672284905914374,45.7438221644907,49,1.47539963246891,53.61617025864395,51.5665003653852,53,0.9285037878787881,2728.6720836162567
6,44,45.773898451730304,45.8106500271839,50,1.32245685338586,53.616170322657446,51.5665004182230,52,0.9270833333333335,2827.509438276291
7,17,45.68269811583885,45.7506644689294,49,1.30915179113328,53.61617031074646,51.5665004083915,55,1.0089962121212124,2830.3281276226044
8,46,45.772172335147125,45.8095137049900,43,1.24699791309641,53.616170194435306,51.5665003123862,54,0.9223484848484851,3003.3123965263367
9,7,45.7413630943724,45.7892381060888,54,1.34900164870973,53.61617025188517,51.5665003598063,45,0.9275568181818183,3037.451632976532
10,30,45.823179275702174,45.8431084117605,55,1.55793768945837,53.61617035526092,51.5665004451344,50,1.03219696969697,3140.6892347335815
11,31,45.725561615667345,45.7788438876493,58,1.32096929790867,53.616170203014086,51.5665003194673,52,0.931818181818182,3355.3840930461884
12,15,45.70334971042232,45.7642383321981,46,1.33488914312833,53.61617026694407,51.5665003722361,52,0.9053030303030305,3427.6615827083588
13,1,45.593664365961665,45.6922071946449,54,1.52207233370192,53.616170253369134,51.5665003610312,58,0.9900568181818183,3474.2167539596558
