,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
0,2,22.81273342,27.41417775,33,1.245875526,28.42182625,33.43828446,32.62192728,27,0.811328125,27.12942063,109.8620768,,125,125
1,15,22.85538718,27.43869173,35,1.232743709,28.17483476,33.43828435,32.62192722,28,0.8796875,29.41524076,111.1993151,,100,100
2,13,22.86869348,27.44634474,33,1.342882712,30.70997312,33.43828438,32.62192724,33,0.911328125,30.47324901,118.698693,,,
3,9,22.871948,27.44821696,38,1.292964562,29.57261823,33.43828426,32.62192717,28,0.919921875,30.76060915,123.1775374,,Average Custom Embedding Calculated,Average Standard Embedding Calculated
4,3,22.88320572,27.45469438,35,1.128543408,25.82469097,33.43828435,32.62192722,32,0.826953125,27.65189374,124.7887201,,36.144,34.376
5,16,22.77388819,27.39187641,32,1.271002951,28.9456791,33.43828429,32.62192719,33,0.9515625,31.81861739,125.434423,,Standard Deviation Custom Embedding Calculated,Standard Deviation Standard Embedding Calculated
6,1,22.9744684,27.50727538,35,1.399861493,32.16107364,33.43828439,32.62192725,35,1.016015625,33.97381941,130.1055379,,5.860892809,5.636379529
7,0,22.93496836,27.48450198,36,1.425349648,32.69034908,33.43828441,32.62192726,29,0.959375,32.07985411,147.2452216,,,
8,4,22.83697038,27.42810386,35,1.729688831,39.5008526,33.43828437,32.62192724,31,1.065234375,35.61960995,150.9223037,,Average Custom Embedding Norm,Average Standard Embedding Norm
9,7,22.87271214,27.44865657,32,1.32555692,30.31908186,33.43828429,32.62192719,29,0.890625,29.78097195,151.95207,,1.472494662,0.9821625
10,10,22.91358474,27.47218328,42,1.352895652,30.99968917,33.43828428,32.62192718,31,0.798046875,26.68531828,163.569308,,Standard Deviation Custom Embedding Norm,Standard Deviation Standard Embedding Norm
11,11,22.68354102,27.34009496,38,1.340841444,30.4150319,33.43828438,32.62192724,31,0.908984375,30.39487803,164.1555746,,0.188571585,0.104274137
12,12,22.96602963,27.50240809,42,1.365604127,31.36250484,33.43828428,32.62192718,40,1.003515625,33.55584075,180.1591835,,,
13,17,22.88265769,27.45437901,30,1.442528007,33.00887459,33.43828437,32.62192724,40,1.01953125,34.09137586,189.6465309,,Average Predicted Custom Embedding Hardness,Average Predicted Standard Embedding Hardness
14,6,22.84348423,27.43184811,45,1.697297879,38.77219733,33.4382843,32.62192719,27,0.960546875,32.11903949,197.8516741,,22.84297373,33.43828433
15,14,22.8217132,27.41933634,33,1.358791243,31.00994405,33.43828433,32.62192721,39,0.96875,32.39333794,226.7327409,,Standard Deviation Predicted Custom Embedding Hardness,Standard Deviation Predicted Standard Embedding Hardness
16,21,22.91997341,27.47586295,42,1.475297754,33.81378529,33.43828429,32.62192719,27,0.925390625,30.9434748,129.3292994,,0.080879549,6.44779E-08
17,25,22.75360546,27.38024095,22,1.278299293,29.08591777,33.43828431,32.6219272,40,0.827734375,27.67801736,119.0744555,,,
18,18,22.88327666,27.4547352,42,1.490013252,34.09638547,33.43828436,32.62192723,38,1.0015625,33.49053168,244.8365932,,Average Custom Embedding Scaled Predicted Hardness,Average Standard Embedding Scaled Predicted Hardness
19,23,22.85821195,27.44031616,36,1.48194372,33.87458365,33.43828427,32.62192717,40,0.912109375,30.49937257,127.8004332,,33.63654323,32.84182893
20,5,22.85556568,27.43879438,43,1.652050238,37.75854272,33.43828422,32.62192715,42,1.1,36.78211264,252.4885561,,Standard Deviation Custom Embedding Scaled Predicted Hardness,Standard Deviation Standard Embedding Scaled Predicted Hardness
21,20,22.81232675,27.41394416,40,1.323331686,30.18827482,33.43828428,32.62192718,42,0.928515625,31.04796943,142.7557523,,4.312631776,3.486748234
22,22,22.82376664,27.42051614,37,1.502237464,34.28671732,33.43828435,32.62192722,35,1.016015625,33.97381937,134.4453361,,,
23,30,22.81833646,27.41739637,29,1.34941834,30.79148171,33.43828439,32.62192724,22,0.985546875,32.95499669,100.1777251,,,
24,8,22.93843363,27.48649891,49,1.685695348,38.66721086,33.43828433,32.62192721,34,1.0984375,36.72986544,266.4527087,,,
25,26,22.89136097,27.45938791,35,1.648334658,37.73262366,33.43828435,32.62192722,41,1.16875,39.08099483,138.447295,,,
26,27,22.88466593,27.45553469,39,1.718636884,39.33043095,33.43828435,32.62192722,30,1.14140625,38.16666675,144.4691772,,,
27,32,23.00327042,27.52393044,29,1.400713458,32.22099046,33.4382844,32.62192725,30,0.93515625,31.27002065,113.9718816,,,
28,31,22.73486479,27.36949559,26,1.294110185,29.42142008,33.43828435,32.62192722,32,0.9015625,30.14670323,141.2571149,,,
29,24,22.92537302,27.47897343,49,1.935472575,44.37143075,33.43828439,32.62192724,37,1.218359375,40.73984727,183.3248835,,,
30,29,22.81604672,27.41608099,31,1.825290241,41.64590742,33.43828434,32.62192722,44,1.070703125,35.80247554,157.1355476,,,
31,19,22.90442326,27.46690764,47,1.612105871,36.92435521,33.43828434,32.62192721,37,1.187109375,39.69490082,310.0052886,,,
32,28,22.89990126,27.46430411,35,1.819287887,41.66151298,33.43828446,32.62192729,31,1.11171875,37.1739678,192.9840474,,,
33,41,22.83102256,27.42468554,20,1.401608539,32.00015617,33.43828437,32.62192724,25,0.787890625,26.34571077,95.91081405,,,
34,36,22.84215978,27.43108675,30,1.360602999,31.0791111,33.43828436,32.62192723,40,0.989453125,33.08561495,131.3345063,,,
35,42,22.8600281,27.44136062,35,1.484833225,33.94332925,33.43828426,32.62192717,27,0.931640625,31.15246405,128.850076,,,
36,37,22.88824406,27.45759394,40,1.764561078,40.38770461,33.43828436,32.62192723,36,1.078125,36.05065033,139.6635394,,,
37,39,22.77771581,27.39407287,35,1.58198415,36.03398538,33.43828426,32.62192717,41,1.084765625,36.27270132,141.9567597,,,
38,45,22.77524344,27.39265409,35,1.449415952,33.01080115,33.43828429,32.62192719,37,1.03203125,34.50935433,134.2166629,,,
39,46,22.88573778,27.45615153,25,1.100541986,25.18671531,33.43828427,32.62192718,26,0.79296875,26.51551448,115.4052835,,,
40,43,22.91479998,27.47288318,40,1.54837781,35.48076781,33.43828424,32.62192716,43,1.115625,37.30458586,144.042505,,,
41,49,22.78159964,27.39630181,31,1.724162753,39.27918555,33.43828421,32.62192714,33,1.10234375,36.86048361,129.4793239,,,
42,33,22.85508028,27.43851526,39,1.541127656,35.2225963,33.43828441,32.62192726,42,1.117578125,37.36989519,264.6799955,,,
43,47,22.76955392,27.38938948,44,1.459829,33.23965513,33.43828432,32.6219272,44,0.983203125,32.87662564,160.4002497,,,
44,34,22.75189392,27.37925938,43,1.761118324,40.06877729,33.43828423,32.62192716,38,1.158203125,38.72832529,257.5336092,,,
45,38,22.80961704,27.41238777,42,1.526126528,34.81036166,33.43828432,32.62192721,35,1.070703125,35.80247552,214.4814522,,,
46,51,22.86572932,27.4446397,37,1.092222483,24.97446365,33.43828424,32.62192716,23,0.759375,25.39219709,176.0193841,,,
47,52,22.74566154,27.37568549,40,1.41944047,32.28611251,33.43828428,32.62192718,35,1.074609375,35.93309377,145.7985961,,,
48,53,22.94269504,27.48895487,42,1.40101451,32.14304865,33.43828438,32.62192724,33,0.93359375,31.21777331,142.3244443,,,
49,54,22.77937134,27.39502295,35,1.49237873,33.99544927,33.43828441,32.62192725,27,0.9984375,33.38603709,126.8303039,,,
50,44,22.93420285,27.48406086,38,1.432221075,32.84684866,33.43828427,32.62192718,28,0.909765625,30.42100159,237.8590789,,,
