,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times
0,6,43.027853074581,50.0018825648956,1,1.42284834918888,49.400016628293095,53.5311881802308,1,0.9453125000000001,1000.2585899829865
1,5,43.011924363573286,49.9938452651775,1,1.61818776399775,49.40001670475215,53.5311882264454,1,1.0677083333333335,1053.709174156189
2,3,42.98122234752332,49.9783827385433,1,1.26689101874354,49.40001667777508,53.5311882101396,1,0.9140625000000001,1344.9957015514374
3,11,42.98958103684166,49.9825878456737,1,1.47960152947297,49.400016627235786,53.5311881795918,1,0.9713541666666669,1613.3112304210663
4,19,43.048187575534556,50.0121481077716,1,1.84993615525738,49.400016655025716,53.5311881963889,1,0.9713541666666669,1646.9617280960083
5,14,42.979173872456556,49.9773523362592,1,1.43314601268379,49.40001661423517,53.5311881717337,1,0.8932291666666669,1665.7592368125916
6,9,43.04574333338424,50.0109138650466,1,1.38330433450153,49.400016761013624,53.5311882604518,1,0.9192708333333335,1831.944569349289
7,18,43.01952418931966,49.9976795368591,1,1.58880844010110,49.400016512251426,53.5311881100912,1,1.1197916666666667,1974.2457473278046
8,10,42.98552054143594,49.9805449611492,53,1.25593242877946,49.40001659101662,53.5311881576997,1,0.8958333333333335,3372.31839966774
9,2,43.0321019034754,50.0040270378221,1,1.30549404793453,49.400016653712,53.5311881955949,55,0.9010416666666669,3461.936578273773
10,24,43.06189881540514,50.0190732792830,1,1.74325802222859,49.400016708233345,53.5311882285495,1,1.2057291666666667,1846.7332282066345
11,1,43.038659794411075,50.0073374398203,55,1.57585936436755,49.40001656409789,53.5311881414290,1,1.0572916666666667,3865.080703020096
12,16,43.0149019414176,49.9953474191972,55,1.37091281488890,49.40001665112003,53.5311881940282,1,0.8880208333333335,4179.54080414772
13,8,42.99246375512532,49.9840383160267,55,1.58226963606700,49.400016640916924,53.5311881878612,1,0.9947916666666669,4256.355320453644
14,7,43.05352925278748,50.0148457289472,48,1.33130547160731,49.400016553877414,53.5311881352514,53,0.9453125000000001,4540.924764156342
15,0,43.02140795323846,49.9986300606146,57,1.44387262467933,49.40001663041891,53.5311881815158,1,0.9244791666666669,4612.043776035309
16,15,42.99689693106067,49.9862691421589,57,1.36006629480872,49.400016557474274,53.5311881374255,1,0.9557291666666669,4811.452686786652
17,31,42.983922228493896,49.9797408936771,1,1.43675430216121,49.40001657434812,53.5311881476246,1,0.9401041666666669,1041.1126191616058
18,12,42.98074708576052,49.9781436721712,56,1.49652667483645,49.400016685192895,53.5311882146231,1,0.9609375000000001,4981.817683696747
19,30,43.027027237618356,50.0014657770804,1,1.56338909881626,49.400016528233415,53.5311881197513,1,1.0156250000000002,1919.2038776874542
20,13,43.00865439620452,49.9921957472638,57,1.39339406796068,49.40001662607732,53.5311881788915,1,0.8750000000000001,5530.515037059784
21,25,42.948269815909704,49.9618144158449,53,1.36186797915303,49.40001659954773,53.5311881628562,1,0.9166666666666669,4061.516101837158
22,33,43.03176592299581,50.0038574522164,1,1.50983932689974,49.40001651883156,53.5311881140685,1,1.0546875000000002,1517.876569032669
23,35,43.00134246842482,49.9885078262432,1,1.70493976568258,49.40001652717463,53.5311881191113,1,1.1119791666666667,1483.7226247787476
24,21,43.00954403052966,49.9926445037879,57,1.45501730701346,49.40001665353356,53.5311881954871,1,0.9765625000000001,5300.809122562408
25,4,42.988842440637626,49.9822162318222,1,1.60847260292195,49.400016587228166,53.5311881554098,59,1.0937500000000002,6574.505462884903
26,38,43.00360298013525,49.9896478816902,1,1.63209650410094,49.40001662980786,53.5311881811464,1,1.0390625000000002,1681.249443769455
27,20,43.00183471861882,49.9887560791999,1,1.60494976452310,49.4000166143685,53.5311881718143,57,1.0807291666666667,5826.176675796509
28,43,42.99568202308533,49.9856577589055,1,1.82403473728590,49.40001661870464,53.5311881744352,1,1.1640625000000002,1192.2667417526245
29,41,42.98679066043241,49.9811839486799,1,1.26155105037205,49.40001654189034,53.5311881280060,1,0.8671875000000001,1756.1896319389343
30,26,42.99599102317674,49.9858132563667,57,1.60303026401463,49.40001657039035,53.5311881452324,1,1.0416666666666667,6140.387365102768
31,40,43.002100470280624,49.9888901052135,1,1.52553019551254,49.400016654640076,53.5311881961559,48,0.9270833333333335,2529.5873441696167
32,45,42.997876098663276,49.9867619077982,1,1.61618890208831,49.40001653929918,53.5311881264398,1,1.1718750000000002,1741.9007031917572
33,34,42.993570631268376,49.9845952833697,55,1.77418555799505,49.40001653566986,53.5311881242461,1,1.1666666666666667,4312.121404886246
34,17,42.981921949102095,49.9787346581647,58,1.49505743872524,49.40001672139477,53.5311882365048,55,1.0442708333333335,8856.509017467499
35,47,43.004594520808624,49.9901479730901,1,1.70369151784183,49.40001660810863,53.5311881680306,1,1.0729166666666667,2114.9432170391083
36,50,43.04636684992879,50.0112287075405,1,1.49752401970699,49.400016615903496,53.5311881727421,1,0.9687500000000001,1128.7283968925476
37,32,43.04055232732417,50.0082928964549,53,1.33541372527898,49.40001661937802,53.5311881748422,1,0.9375000000000001,4953.571666955948
38,37,43.022110166226355,49.9989844012581,55,1.69401803232341,49.40001674165267,53.5311882487493,1,1.0677083333333335,4266.640920162201
39,51,43.02188463117775,49.9988705942435,1,1.38791249879955,49.40001659549276,53.5311881604052,1,1.0104166666666667,1499.6687438488007
40,36,43.08444289484344,50.0304654097672,51,1.41126790539852,49.40001659318002,53.5311881590073,1,0.9869791666666669,5067.817480802536
41,46,43.05149292707016,50.0138173089727,1,1.17360691668332,49.40001667242274,53.5311882069044,52,0.8750000000000001,3671.3850224018097
42,58,43.009314027178185,49.9925284825776,1,1.41658872127744,49.40001660610058,53.5311881668169,1,0.9505208333333335,1197.5536482334137
43,22,43.00535207916526,49.9905300629463,59,1.65590971202653,49.40001657434127,53.5311881476205,55,1.0494791666666667,9098.485491514206
44,23,43.0263167889325,50.0011072316935,53,1.53224904943056,49.4000166870373,53.5311882157379,57,0.9609375000000001,8865.812925338745
45,56,43.037264063215396,50.0066328287171,1,1.51730627611880,49.40001659962482,53.5311881629028,1,1.0052083333333335,1445.0054697990417
46,52,43.0162130376957,49.9960088917341,1,1.48393258146439,49.40001664798064,53.5311881921307,51,1.0546875000000002,2815.677592277527
47,63,42.99653907129395,49.9860890527402,1,1.66085582815873,49.40001657854702,53.5311881501626,1,1.0234375000000002,1204.914116859436
48,53,43.00077361286241,49.9882209436919,1,1.43775306284306,49.400016605640936,53.5311881665391,53,0.9531250000000001,3137.713680267334
49,48,42.93505180043595,49.9551727432431,1,1.48249676999933,49.40001664258479,53.5311881888693,57,1.0468750000000002,4811.006288290024
50,42,43.02813358684889,50.0020241375040,58,1.52569014767269,49.40001656572895,53.5311881424149,1,0.9479166666666669,6415.126158237457
51,44,43.04550469754837,50.0107933681608,58,1.48144733429118,49.400016578783784,53.5311881503057,1,0.9479166666666669,6081.034361362457
52,29,42.98509727686914,49.9803320248630,59,1.72199386952695,49.40001650213865,53.5311881039786,1,1.0390625000000002,9152.80902671814
53,55,42.97882889483035,49.9771788150252,1,1.35574917628958,49.40001668285504,53.5311882132100,50,0.8802083333333335,3683.119297504425
54,28,43.03762636588566,50.0068157284182,58,1.65710319450605,49.40001664256162,53.5311881888552,54,1.0494791666666667,9370.824026823044
55,67,43.061821683087274,50.0190343144859,1,1.37769636295883,49.40001664706046,53.5311881915745,1,1.0494791666666667,1243.130319595337
56,70,42.991583509139915,49.9835953985892,1,1.47444067544694,49.4000166283426,53.5311881802607,1,1.0651041666666667,1112.0676763057709
57,69,42.985450277267525,49.9805096124204,1,1.28872937293829,49.40001656074112,53.5311881394001,1,0.8750000000000001,1425.409259557724
58,66,42.973147946468046,49.9743215784390,49,1.18000840758475,49.40001666220944,53.5311882007311,45,0.8671875000000001,2790.506008386612
59,73,42.99794199962123,49.9867950729056,1,1.34934674553244,49.40001667675364,53.5311882095221,1,0.9765625000000001,1757.845633983612
60,64,43.06678547197553,50.0215420331371,54,1.31545895859830,49.40001665690205,53.5311881975231,1,0.8671875000000001,4094.2280883789062
61,60,43.008182618246956,49.9919577737247,54,1.58344155663417,49.400016635861256,53.5311881848053,1,1.0026041666666667,4718.3890907764435
62,59,43.02893945338539,50.0024308589320,57,1.43716530423342,49.40001664705256,53.5311881915697,1,0.9687500000000001,5205.858349084854
63,27,43.014940221084714,49.9953667316617,1,1.69490808537890,49.40001656945256,53.5311881446656,59,1.1666666666666667,12798.297799110413
64,57,43.0103421829207,49.9930471237048,57,1.38188680906811,49.40001649421226,53.5311880991877,1,0.9192708333333335,6310.743618965149
65,61,42.963847122133174,49.9696446960293,1,1.45042585376939,49.40001664474743,53.5311881901765,57,1.0156250000000002,5393.339107990265
66,68,42.9832604630923,49.9794079880715,54,1.66229301530649,49.40001654797948,53.5311881316865,1,1.0156250000000002,3768.9885020256042
67,82,43.002782640439676,49.9892341472849,1,1.53795907664909,49.4000165820821,53.5311881522993,1,1.1067708333333335,1311.448976278305
68,75,43.00267896986105,49.9891818621959,1,1.41496348336278,49.40001661026644,53.5311881693349,53,0.9687500000000001,3360.2009751796722
69,74,43.03864099347311,50.0073279483057,1,1.37968137789920,49.400016593046566,53.5311881589266,54,0.9375000000000001,4025.346633195877
70,84,43.061543111623244,50.0188935897252,1,1.56221572829958,49.40001664863071,53.5311881925236,1,1.0078125000000002,1349.6660871505737
71,76,42.99410937102802,49.9848663772120,54,1.44104875460499,49.40001668511848,53.5311882145781,1,1.0442708333333335,3579.2895612716675
72,83,43.01594153081515,49.9958719094670,1,1.62614794303204,49.400016632271445,53.5311881826355,1,1.0234375000000002,2270.1562559604645
73,62,42.98288406089094,49.9792186391020,52,1.53642786306693,49.40001659209372,53.5311881583507,56,1.0781250000000002,7043.638140678406
74,65,43.01378798254071,49.9947854251044,54,1.26732098000835,49.40001661833071,53.5311881742092,54,0.8750000000000001,7493.360701799393
75,88,42.996934645577774,49.9862881217240,1,1.57805266623996,49.40001665722043,53.5311881977155,1,1.0651041666666667,1788.6531052589417
76,78,42.9574827255182,49.9664450807916,54,1.58765224476497,49.40001669177631,53.5311882186023,1,1.0833333333333335,4119.967421293259
77,49,42.98790501265363,49.9817445896491,60,1.56676266102758,49.400016665745014,53.5311882028681,1,1.0390625000000002,10682.351259708405
78,54,42.950453020297886,49.9629116480131,57,1.34366653236498,49.40001665420041,53.5311881958901,53,0.8723958333333335,9362.89202618599
79,80,42.95346117061906,49.9644235895272,54,1.57426151435962,49.40001668134765,53.5311882122989,1,1.0312500000000002,3665.7607083320618
80,89,42.968459876335196,49.9719640500639,1,1.55783605209950,49.40001647941569,53.5311880902441,1,0.9114583333333335,1591.9604198932648
81,39,42.96966378445351,49.9725694399459,61,1.70134894287526,49.4000166085555,53.5311881683007,1,1.0234375000000002,13154.358006715775
82,79,43.052195704126056,50.0141722308639,1,1.33570332412086,49.40001660977382,53.5311881690371,51,0.8697916666666667,4263.5298953056335
83,93,42.976207857787074,49.9758605067698,1,1.33468157388072,49.400016646881106,53.5311881914661,1,0.9244791666666669,1283.3027908802032
84,77,42.98677887523195,49.9811780195286,1,1.44904884131728,49.40001660986721,53.5311881690936,58,0.9817708333333335,5674.615523815155
85,97,43.068886701344645,50.0226036836494,1,1.64573390745838,49.40001669362025,53.5311882197169,1,1.1145833333333335,1145.86545753479
86,98,43.00150849275221,49.9885915557037,1,1.40951443268636,49.40001655024802,53.5311881330577,1,0.9973958333333335,1236.8733868598938
87,95,43.02286054095978,49.9993630522358,1,1.80773940068740,49.40001661179516,53.5311881702590,1,1.0755208333333335,1687.3293974399567
88,85,42.980456982252235,49.9779977457329,1,1.30516442559849,49.400016684870884,53.5311882144285,54,0.8489583333333335,4469.402987718582
89,72,43.00850492851305,49.9921203526542,59,1.30318465990814,49.40001656543377,53.5311881422364,1,0.9322916666666669,7789.729655265808
90,71,42.948282591986484,49.9618208366362,57,1.59286974423181,49.40001662135276,53.5311881760359,54,1.0781250000000002,8262.92097043991
91,86,42.972949657711084,49.9742218571242,58,1.54436730735364,49.40001667293742,53.5311882072155,1,0.9921875000000001,5164.938308238983
92,87,42.92275202668915,49.9489946518301,1,1.55636878833101,49.400016627047435,53.5311881794779,57,0.9661458333333335,4917.981846809387
93,91,43.10296754633019,50.0398317522565,56,1.59348135899813,49.40001670096862,53.5311882241585,1,1.0130208333333335,4303.783265113831
94,81,42.98055185447099,49.9780454677599,59,1.43217528797058,49.400016708774864,53.5311882288768,1,0.9062500000000001,7110.7790105342865
95,92,42.96938114720027,49.9724273128849,1,1.55146032792517,49.40001653971456,53.5311881266909,55,1.0468750000000002,4836.307001829147
96,94,43.05620814591579,50.0161987578938,57,1.13372092244748,49.40001651580911,53.5311881122416,1,0.8177083333333335,3950.769224882126
97,90,43.04259371802707,50.0093235611725,54,1.56566457662049,49.40001658370209,53.5311881532785,55,0.9921875000000001,5700.8158938884735
98,96,42.994764505504016,49.9851960463374,57,1.52699250759565,49.40001668438916,53.5311882141373,54,1.0572916666666667,4904.390035390854
99,99,42.990215823310514,49.9829072352679,61,1.54308309006144,49.40001669903143,53.5311882229876,1,1.0598958333333335,5604.117414474487
