,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
0,8,45.69850923,45.7610563,52,1.317565543,60.21078113,53.61617033,51.56650042,52,0.972537879,52.14375657,1168.058165,,125,125
1,2,45.67575318,45.74610094,54,1.207098351,55.13512634,53.61617015,51.56650027,47,0.767992424,41.17681248,1182.68528,,100,100
2,7,45.7601294,45.80158677,52,1.422101835,65.07556399,53.61617039,51.56650047,51,0.927556818,49.7320444,1234.446259,,,
3,1,45.75032387,45.79513394,51,1.510379269,69.10034072,53.61617024,51.56650035,54,0.990056818,53.0830549,1238.12143,,Average Custom Embedding Calculated,Average Standard Embedding Calculated
4,5,45.79815308,45.8266212,49,1.551628466,71.06171801,53.61617031,51.56650041,52,1.090435606,58.46498116,1280.944191,,55.136,53.056
5,20,45.74703522,45.79297002,51,1.502646972,68.74164395,53.61617025,51.56650036,55,1.012310606,54.2762178,1326.764417,,Standard Deviation Custom Embedding Calculated,Standard Deviation Standard Embedding Calculated
6,16,45.68596604,45.75281204,47,1.391452236,63.5698396,53.61617033,51.56650042,56,0.989109848,53.03228209,1410.249944,,4.639146195,3.51334782
7,15,45.73920712,45.78781972,48,1.354589751,61.95786118,53.61617034,51.56650044,50,0.90530303,48.53888147,1460.881521,,,
8,21,45.76811359,45.80684194,55,1.384366613,63.35984839,53.61617038,51.56650046,50,0.870265152,46.66028467,1487.778411,,Average Custom Embedding Norm,Average Standard Embedding Norm
9,22,45.61757618,45.70789709,49,1.494236797,68.16346092,53.61617024,51.56650035,56,1.066761364,57.1956589,1533.891165,,1.487934113,0.991939394
10,3,45.6857302,45.75265705,57,1.292315269,59.04036671,53.6161703,51.5665004,47,0.910037879,48.7927459,1624.533795,,Standard Deviation Custom Embedding Norm,Standard Deviation Standard Embedding Norm
11,10,45.71728271,45.77339931,56,1.360344586,62.19125802,53.61617026,51.56650036,50,0.824337121,44.19779943,1669.992993,,0.160263035,0.087515852
12,23,45.73797075,45.78700635,56,1.521713804,69.60010146,53.61617031,51.56650041,53,0.931344697,49.93513589,1691.786424,,,
13,13,45.76254656,45.80317765,54,1.393934767,63.79000468,53.61617031,51.5665004,54,0.924715909,49.57972567,2090.340183,,Average Predicted Custom Embedding Hardness,Average Predicted Standard Embedding Hardness
14,14,45.63276382,45.71786636,54,1.381247335,63.03013342,53.61617029,51.56650039,55,0.946969697,50.77288853,2317.515122,,45.71502483,53.61617029
15,6,45.72071996,45.77565969,56,1.667088508,76.22048682,53.61617021,51.56650033,51,0.999526515,53.59078376,2466.494985,,Standard Deviation Predicted Custom Embedding Hardness,Standard Deviation Predicted Standard Embedding Hardness
16,12,45.71106192,45.76930881,54,1.479620192,67.63501021,53.61617029,51.56650039,50,0.987215909,52.93073629,2585.291594,,0.056462875,5.70162E-08
17,9,45.72433995,45.77804041,57,1.381953311,63.18890299,53.61617031,51.5665004,55,0.928503788,49.78281723,2813.432669,,,
18,29,45.66286419,45.73763321,56,1.647989066,75.25190091,53.61617028,51.56650038,44,0.997159091,53.46385162,1593.466355,,Average Custom Embedding Scaled Predicted Hardness,Average Standard Embedding Scaled Predicted Hardness
19,17,45.63273941,45.71785034,55,1.384243836,63.16683825,53.61617034,51.56650043,54,1.008996212,54.09851278,3041.279343,,68.02136593,53.18399146
20,0,45.73457487,45.78477242,58,1.358901912,62.14880124,53.61617023,51.56650034,58,1.008996212,54.09851266,3136.129319,,Standard Deviation Custom Embedding Scaled Predicted Hardness,Standard Deviation Standard Embedding Scaled Predicted Hardness
21,32,45.75442498,45.79783265,57,1.435383094,65.67512809,53.61617022,51.56650034,53,0.894886364,47.98037962,1720.913691,,7.331614161,4.692264848
22,33,45.76850553,45.80709994,57,1.528845275,69.97296342,53.61617017,51.56650029,54,0.989583333,53.05766838,1929.892009,,,
23,28,45.73889652,45.78761538,58,1.659270091,75.89318299,53.61617021,51.56650032,58,1.086647727,58.26188949,2310.087531,,,
